지역,측정소명,날짜,아황산가스 농도
춘천시,중앙로,2018-04-01,0.003
춘천시,석사동,2018-04-01,0.003
원주시,중앙동,2018-04-01,0.004
원주시,반곡동,2018-04-01,0.004
강릉시,옥천동,2018-04-01,0.004
동해시,천곡동,2018-04-01,0.005
삼척시,남양동,2018-04-01,0.005
평창군,평창읍,2018-04-01,0.001
춘천시,중앙로,2018-04-02,0.004
춘천시,석사동,2018-04-02,0.003
원주시,중앙동,2018-04-02,0.004
원주시,반곡동,2018-04-02,0.003
강릉시,옥천동,2018-04-02,0.002
동해시,천곡동,2018-04-02,0.004
삼척시,남양동,2018-04-02,0.003
평창군,평창읍,2018-04-02,0.001
춘천시,중앙로,2018-04-03,0.003
춘천시,석사동,2018-04-03,0.004
원주시,중앙동,2018-04-03,0.004
원주시,반곡동,2018-04-03,0.003
강릉시,옥천동,2018-04-03,0.001
동해시,천곡동,2018-04-03,0.002
삼척시,남양동,2018-04-03,0.002
평창군,평창읍,2018-04-03,3.502
춘천시,중앙로,2018-04-04,0.001
춘천시,석사동,2018-04-04,0.003
원주시,중앙동,2018-04-04,0.002
원주시,반곡동,2018-04-04,0.002
강릉시,옥천동,2018-04-04,0.001
동해시,천곡동,2018-04-04,0.001
삼척시,남양동,2018-04-04,0.001
평창군,평창읍,2018-04-04,0.001
춘천시,중앙로,2018-04-05,0.001
춘천시,석사동,2018-04-05,0.003
원주시,중앙동,2018-04-05,0.001
원주시,반곡동,2018-04-05,0.001
강릉시,옥천동,2018-04-05,0.001
동해시,천곡동,2018-04-05,0.002
삼척시,남양동,2018-04-05,0.001
평창군,평창읍,2018-04-05,0.001
춘천시,중앙로,2018-04-06,0.002
춘천시,석사동,2018-04-06,0.003
원주시,중앙동,2018-04-06,0.001
원주시,반곡동,2018-04-06,0.001
강릉시,옥천동,2018-04-06,0.001
동해시,천곡동,2018-04-06,0.001
삼척시,남양동,2018-04-06,0.002
평창군,평창읍,2018-04-06,0.001
춘천시,중앙로,2018-04-07,0.002
춘천시,석사동,2018-04-07,0.003
원주시,중앙동,2018-04-07,0.001
원주시,반곡동,2018-04-07,0.002
강릉시,옥천동,2018-04-07,0.001
동해시,천곡동,2018-04-07,0.001
삼척시,남양동,2018-04-07,0.002
평창군,평창읍,2018-04-07,0.001
춘천시,중앙로,2018-04-08,0.002
춘천시,석사동,2018-04-08,0.004
원주시,중앙동,2018-04-08,0.002
원주시,반곡동,2018-04-08,0.002
강릉시,옥천동,2018-04-08,0.002
동해시,천곡동,2018-04-08,0.002
삼척시,남양동,2018-04-08,0.002
평창군,평창읍,2018-04-08,0.001
춘천시,중앙로,2018-04-09,0.003
춘천시,석사동,2018-04-09,0.003
원주시,중앙동,2018-04-09,0.002
원주시,반곡동,2018-04-09,0.002
강릉시,옥천동,2018-04-09,0.002
동해시,천곡동,2018-04-09,0.003
삼척시,남양동,2018-04-09,0.002
평창군,평창읍,2018-04-09,0.001
춘천시,중앙로,2018-04-10,0.003
춘천시,석사동,2018-04-10,0.003
원주시,중앙동,2018-04-10,0.001
원주시,반곡동,2018-04-10,0.003
강릉시,옥천동,2018-04-10,0.003
동해시,천곡동,2018-04-10,0.004
삼척시,남양동,2018-04-10,0.003
평창군,평창읍,2018-04-10,0.001
춘천시,중앙로,2018-04-11,0.003
춘천시,석사동,2018-04-11,0.003
원주시,중앙동,2018-04-11,0.001
원주시,반곡동,2018-04-11,0.002
강릉시,옥천동,2018-04-11,0.001
동해시,천곡동,2018-04-11,0.002
삼척시,남양동,2018-04-11,0.002
평창군,평창읍,2018-04-11,0.001
춘천시,중앙로,2018-04-12,0.003
춘천시,석사동,2018-04-12,0.004
원주시,중앙동,2018-04-12,0.003
원주시,반곡동,2018-04-12,0.002
강릉시,옥천동,2018-04-12,0.001
동해시,천곡동,2018-04-12,0.005
삼척시,남양동,2018-04-12,0.011
평창군,평창읍,2018-04-12,0.001
춘천시,중앙로,2018-04-13,0.003
춘천시,석사동,2018-04-13,0.003
원주시,중앙동,2018-04-13,0.002
원주시,반곡동,2018-04-13,0.002
강릉시,옥천동,2018-04-13,0.001
동해시,천곡동,2018-04-13,0.002
삼척시,남양동,2018-04-13,0.002
평창군,평창읍,2018-04-13,0.001
춘천시,중앙로,2018-04-14,0.002
춘천시,석사동,2018-04-14,0.003
원주시,중앙동,2018-04-14,0.002
원주시,반곡동,2018-04-14,0.001
강릉시,옥천동,2018-04-14,0.001
동해시,천곡동,2018-04-14,0.001
삼척시,남양동,2018-04-14,0.002
평창군,평창읍,2018-04-14,0.001
춘천시,중앙로,2018-04-15,0.002
춘천시,석사동,2018-04-15,0.003
원주시,중앙동,2018-04-15,0.001
원주시,반곡동,2018-04-15,0.002
강릉시,옥천동,2018-04-15,0.001
동해시,천곡동,2018-04-15,0.002
삼척시,남양동,2018-04-15,0.002
평창군,평창읍,2018-04-15,0.001
춘천시,중앙로,2018-04-16,0.002
춘천시,석사동,2018-04-16,0.003
원주시,중앙동,2018-04-16,0.002
원주시,반곡동,2018-04-16,0.002
강릉시,옥천동,2018-04-16,0.002
동해시,천곡동,2018-04-16,0.002
삼척시,남양동,2018-04-16,0.002
평창군,평창읍,2018-04-16,0.001
춘천시,중앙로,2018-04-17,0.003
춘천시,석사동,2018-04-17,0.004
원주시,중앙동,2018-04-17,0.001
원주시,반곡동,2018-04-17,0.002
강릉시,옥천동,2018-04-17,0.002
동해시,천곡동,2018-04-17,0.003
삼척시,남양동,2018-04-17,0.003
평창군,평창읍,2018-04-17,0.001
춘천시,중앙로,2018-04-18,0.003
춘천시,석사동,2018-04-18,0.004
원주시,중앙동,2018-04-18,0.002
원주시,반곡동,2018-04-18,0.003
강릉시,옥천동,2018-04-18,0.002
동해시,천곡동,2018-04-18,0.003
삼척시,남양동,2018-04-18,0.003
평창군,평창읍,2018-04-18,0.001
춘천시,중앙로,2018-04-19,0.004
춘천시,석사동,2018-04-19,0.005
원주시,중앙동,2018-04-19,0.003
원주시,반곡동,2018-04-19,0.003
강릉시,옥천동,2018-04-19,0.002
동해시,천곡동,2018-04-19,0.003
삼척시,남양동,2018-04-19,0.003
평창군,평창읍,2018-04-19,0.002
춘천시,중앙로,2018-04-20,0.004
춘천시,석사동,2018-04-20,0.004
원주시,중앙동,2018-04-20,0.003
원주시,반곡동,2018-04-20,0.004
강릉시,옥천동,2018-04-20,0.002
동해시,천곡동,2018-04-20,0.003
삼척시,남양동,2018-04-20,0.004
평창군,평창읍,2018-04-20,0.001
춘천시,중앙로,2018-04-21,0.003
춘천시,석사동,2018-04-21,0.004
원주시,중앙동,2018-04-21,0.002
원주시,반곡동,2018-04-21,0.003
강릉시,옥천동,2018-04-21,0.002
동해시,천곡동,2018-04-21,0.004
삼척시,남양동,2018-04-21,0.004
평창군,평창읍,2018-04-21,0.001
춘천시,중앙로,2018-04-22,0.002
춘천시,석사동,2018-04-22,0.004
원주시,중앙동,2018-04-22,0.001
원주시,반곡동,2018-04-22,0.002
강릉시,옥천동,2018-04-22,0.001
동해시,천곡동,2018-04-22,0.002
삼척시,남양동,2018-04-22,0.003
평창군,평창읍,2018-04-22,0.001
춘천시,중앙로,2018-04-23,0.002
춘천시,석사동,2018-04-23,0.003
원주시,중앙동,2018-04-23,0.001
원주시,반곡동,2018-04-23,0.001
강릉시,옥천동,2018-04-23,0.001
동해시,천곡동,2018-04-23,0.001
삼척시,남양동,2018-04-23,0.002
평창군,평창읍,2018-04-23,0.001
춘천시,중앙로,2018-04-24,0.002
춘천시,석사동,2018-04-24,0.003
원주시,중앙동,2018-04-24,0.001
원주시,반곡동,2018-04-24,0.001
강릉시,옥천동,2018-04-24,0.001
동해시,천곡동,2018-04-24,0.001
삼척시,남양동,2018-04-24,0.002
평창군,평창읍,2018-04-24,0.001
춘천시,중앙로,2018-04-25,0.003
춘천시,석사동,2018-04-25,0.003
원주시,중앙동,2018-04-25,0.002
원주시,반곡동,2018-04-25,0.001
강릉시,옥천동,2018-04-25,0.001
동해시,천곡동,2018-04-25,0.007
삼척시,남양동,2018-04-25,0.002
평창군,평창읍,2018-04-25,1.167
춘천시,중앙로,2018-04-26,0.003
춘천시,석사동,2018-04-26,0.003
원주시,중앙동,2018-04-26,0.004
원주시,반곡동,2018-04-26,0.003
강릉시,옥천동,2018-04-26,0.002
동해시,천곡동,2018-04-26,0.003
삼척시,남양동,2018-04-26,0.005
평창군,평창읍,2018-04-26,0.001
춘천시,중앙로,2018-04-27,0.003
춘천시,석사동,2018-04-27,0.003
원주시,중앙동,2018-04-27,0.004
원주시,반곡동,2018-04-27,0.004
강릉시,옥천동,2018-04-27,0.001
동해시,천곡동,2018-04-27,0.002
삼척시,남양동,2018-04-27,0.002
평창군,평창읍,2018-04-27,0.001
춘천시,중앙로,2018-04-28,0.003
춘천시,석사동,2018-04-28,0.004
원주시,중앙동,2018-04-28,0.004
원주시,반곡동,2018-04-28,0.004
강릉시,옥천동,2018-04-28,0.002
동해시,천곡동,2018-04-28,0.003
삼척시,남양동,2018-04-28,0.003
평창군,평창읍,2018-04-28,0.002
춘천시,중앙로,2018-04-29,0.003
춘천시,석사동,2018-04-29,0.004
원주시,중앙동,2018-04-29,0.003
원주시,반곡동,2018-04-29,0.004
강릉시,옥천동,2018-04-29,0.002
동해시,천곡동,2018-04-29,0.003
삼척시,남양동,2018-04-29,0.003
평창군,평창읍,2018-04-29,0.002
춘천시,중앙로,2018-04-30,0.003
춘천시,석사동,2018-04-30,0.004
원주시,중앙동,2018-04-30,0.003
원주시,반곡동,2018-04-30,0.003
강릉시,옥천동,2018-04-30,0.002
동해시,천곡동,2018-04-30,0.002
삼척시,남양동,2018-04-30,0.003
평창군,평창읍,2018-04-30,0.001
춘천시,중앙로,2018-04-31,0
춘천시,석사동,2018-04-31,0
원주시,중앙동,2018-04-31,0
원주시,반곡동,2018-04-31,0
강릉시,옥천동,2018-04-31,0
동해시,천곡동,2018-04-31,0
삼척시,남양동,2018-04-31,0
평창군,평창읍,2018-04-31,0
