지역,측정소명,날짜,아황산가스 농도
춘천시,중앙로,2021-08-01,0.002
춘천시,석사동,2021-08-01,0.002
춘천시,신사우동,2021-08-01,0.002
양구군,양구읍,2021-08-01,0.002
원주시,중앙동,2021-08-01,0.002
원주시,반곡동,2021-08-01,0.002
원주시,문막읍,2021-08-01,0.003
강릉시,옥천동,2021-08-01,0.001
동해시,천곡동,2021-08-01,0.002
삼척시,남양동,2021-08-01,0.002
평창군,평창읍,2021-08-01,0.001
정선군,정선읍,2021-08-01,0.003
횡성군,횡성읍,2021-08-01,0.001
고성군,상리,2021-08-01,0.002
양양군,양양읍,2021-08-01,0.002
속초시,금호동,2021-08-01,0.002
철원군,갈말읍,2021-08-01,0.004
홍천군,홍천읍,2021-08-01,0.003
영월군,영월읍,2021-08-01,0.002
화천군,화천읍,2021-08-01,0.001
태백시,황지동,2021-08-01,0.002
인제군,인제읍,2021-08-01,0.002
춘천시,중앙로,2021-08-02,0.003
춘천시,석사동,2021-08-02,0.002
춘천시,신사우동,2021-08-02,0.002
양구군,양구읍,2021-08-02,0.002
원주시,중앙동,2021-08-02,0.002
원주시,반곡동,2021-08-02,0.002
원주시,문막읍,2021-08-02,0.003
강릉시,옥천동,2021-08-02,0.001
동해시,천곡동,2021-08-02,0.001
삼척시,남양동,2021-08-02,0.002
평창군,평창읍,2021-08-02,3.502
정선군,정선읍,2021-08-02,1.170
횡성군,횡성읍,2021-08-02,0.001
고성군,상리,2021-08-02,0.002
양양군,양양읍,2021-08-02,0.002
속초시,금호동,2021-08-02,0.002
철원군,갈말읍,2021-08-02,0.004
홍천군,홍천읍,2021-08-02,0.004
영월군,영월읍,2021-08-02,0.002
화천군,화천읍,2021-08-02,0.001
태백시,황지동,2021-08-02,0.002
인제군,인제읍,2021-08-02,0.002
춘천시,중앙로,2021-08-03,0.002
춘천시,석사동,2021-08-03,0.002
춘천시,신사우동,2021-08-03,0.002
양구군,양구읍,2021-08-03,0.002
원주시,중앙동,2021-08-03,0.002
원주시,반곡동,2021-08-03,0.002
원주시,문막읍,2021-08-03,0.003
강릉시,옥천동,2021-08-03,0.010
동해시,천곡동,2021-08-03,0.002
삼척시,남양동,2021-08-03,0.002
평창군,평창읍,2021-08-03,0.001
정선군,정선읍,2021-08-03,0.003
횡성군,횡성읍,2021-08-03,0.001
고성군,상리,2021-08-03,0.002
양양군,양양읍,2021-08-03,0.002
속초시,금호동,2021-08-03,0.002
철원군,갈말읍,2021-08-03,0.004
홍천군,홍천읍,2021-08-03,0.004
영월군,영월읍,2021-08-03,0.002
화천군,화천읍,2021-08-03,0.001
태백시,황지동,2021-08-03,1.169
인제군,인제읍,2021-08-03,0.002
춘천시,중앙로,2021-08-04,0.002
춘천시,석사동,2021-08-04,0.002
춘천시,신사우동,2021-08-04,0.002
양구군,양구읍,2021-08-04,0.002
원주시,중앙동,2021-08-04,0.002
원주시,반곡동,2021-08-04,0.002
원주시,문막읍,2021-08-04,0.003
강릉시,옥천동,2021-08-04,0.002
동해시,천곡동,2021-08-04,0.002
삼척시,남양동,2021-08-04,0.002
평창군,평창읍,2021-08-04,0.001
정선군,정선읍,2021-08-04,0.003
횡성군,횡성읍,2021-08-04,0.001
고성군,상리,2021-08-04,0.002
양양군,양양읍,2021-08-04,0.002
속초시,금호동,2021-08-04,0.002
철원군,갈말읍,2021-08-04,0.004
홍천군,홍천읍,2021-08-04,0.004
영월군,영월읍,2021-08-04,0.002
화천군,화천읍,2021-08-04,0.001
태백시,황지동,2021-08-04,0.002
인제군,인제읍,2021-08-04,0.002
춘천시,중앙로,2021-08-05,0.002
춘천시,석사동,2021-08-05,0.002
춘천시,신사우동,2021-08-05,0.002
양구군,양구읍,2021-08-05,0.002
원주시,중앙동,2021-08-05,0.002
원주시,반곡동,2021-08-05,0.002
원주시,문막읍,2021-08-05,0.003
강릉시,옥천동,2021-08-05,0.002
동해시,천곡동,2021-08-05,0.002
삼척시,남양동,2021-08-05,0.002
평창군,평창읍,2021-08-05,0.001
정선군,정선읍,2021-08-05,0.003
횡성군,횡성읍,2021-08-05,0.002
고성군,상리,2021-08-05,0.002
양양군,양양읍,2021-08-05,0.002
속초시,금호동,2021-08-05,0.002
철원군,갈말읍,2021-08-05,0.004
홍천군,홍천읍,2021-08-05,0.004
영월군,영월읍,2021-08-05,0.002
화천군,화천읍,2021-08-05,0.001
태백시,황지동,2021-08-05,0.002
인제군,인제읍,2021-08-05,0.002
춘천시,중앙로,2021-08-06,0.002
춘천시,석사동,2021-08-06,0.002
춘천시,신사우동,2021-08-06,0.002
양구군,양구읍,2021-08-06,0.002
원주시,중앙동,2021-08-06,0.002
원주시,반곡동,2021-08-06,0.002
원주시,문막읍,2021-08-06,0.003
강릉시,옥천동,2021-08-06,0.002
동해시,천곡동,2021-08-06,0.002
삼척시,남양동,2021-08-06,0.002
평창군,평창읍,2021-08-06,0.001
정선군,정선읍,2021-08-06,0.003
횡성군,횡성읍,2021-08-06,0.001
고성군,상리,2021-08-06,0.002
양양군,양양읍,2021-08-06,0.002
속초시,금호동,2021-08-06,0.002
철원군,갈말읍,2021-08-06,0.004
홍천군,홍천읍,2021-08-06,0.004
영월군,영월읍,2021-08-06,0.002
화천군,화천읍,2021-08-06,0.001
태백시,황지동,2021-08-06,0.002
인제군,인제읍,2021-08-06,0.002
춘천시,중앙로,2021-08-07,0.002
춘천시,석사동,2021-08-07,0.002
춘천시,신사우동,2021-08-07,0.002
양구군,양구읍,2021-08-07,0.002
원주시,중앙동,2021-08-07,0.002
원주시,반곡동,2021-08-07,0.002
원주시,문막읍,2021-08-07,0.003
강릉시,옥천동,2021-08-07,0.002
동해시,천곡동,2021-08-07,0.002
삼척시,남양동,2021-08-07,0.002
평창군,평창읍,2021-08-07,0.001
정선군,정선읍,2021-08-07,0.003
횡성군,횡성읍,2021-08-07,0.001
고성군,상리,2021-08-07,0.002
양양군,양양읍,2021-08-07,0.002
속초시,금호동,2021-08-07,0.003
철원군,갈말읍,2021-08-07,0.004
홍천군,홍천읍,2021-08-07,0.004
영월군,영월읍,2021-08-07,0.002
화천군,화천읍,2021-08-07,0.001
태백시,황지동,2021-08-07,0.002
인제군,인제읍,2021-08-07,0.002
춘천시,중앙로,2021-08-08,0.002
춘천시,석사동,2021-08-08,0.002
춘천시,신사우동,2021-08-08,0.002
양구군,양구읍,2021-08-08,0.002
원주시,중앙동,2021-08-08,0.002
원주시,반곡동,2021-08-08,0.002
원주시,문막읍,2021-08-08,0.003
강릉시,옥천동,2021-08-08,0.002
동해시,천곡동,2021-08-08,0.002
삼척시,남양동,2021-08-08,0.002
평창군,평창읍,2021-08-08,0.001
정선군,정선읍,2021-08-08,0.003
횡성군,횡성읍,2021-08-08,0.001
고성군,상리,2021-08-08,0.002
