지역,측정소명,날짜,아황산가스 농도
춘천시,중앙로,2018-03-01,0.002
춘천시,석사동,2018-03-01,0.003
원주시,중앙동,2018-03-01,0.005
원주시,반곡동,2018-03-01,0.002
강릉시,옥천동,2018-03-01,0.006
동해시,천곡동,2018-03-01,0.001
삼척시,남양동,2018-03-01,0.002
평창군,평창읍,2018-03-01,0.001
춘천시,중앙로,2018-03-02,0.002
춘천시,석사동,2018-03-02,0.004
원주시,중앙동,2018-03-02,0.005
원주시,반곡동,2018-03-02,0.003
강릉시,옥천동,2018-03-02,0.005
동해시,천곡동,2018-03-02,0.003
삼척시,남양동,2018-03-02,0.004
평창군,평창읍,2018-03-02,0.001
춘천시,중앙로,2018-03-03,0.003
춘천시,석사동,2018-03-03,0.005
원주시,중앙동,2018-03-03,0.006
원주시,반곡동,2018-03-03,0.005
강릉시,옥천동,2018-03-03,0.007
동해시,천곡동,2018-03-03,0.004
삼척시,남양동,2018-03-03,0.005
평창군,평창읍,2018-03-03,0.002
춘천시,중앙로,2018-03-04,0.002
춘천시,석사동,2018-03-04,0.004
원주시,중앙동,2018-03-04,0.007
원주시,반곡동,2018-03-04,0.006
강릉시,옥천동,2018-03-04,0.006
동해시,천곡동,2018-03-04,0.002
삼척시,남양동,2018-03-04,0.004
평창군,평창읍,2018-03-04,0.002
춘천시,중앙로,2018-03-05,0.002
춘천시,석사동,2018-03-05,0.003
원주시,중앙동,2018-03-05,0.003
원주시,반곡동,2018-03-05,0.002
강릉시,옥천동,2018-03-05,0.006
동해시,천곡동,2018-03-05,0.001
삼척시,남양동,2018-03-05,0.001
평창군,평창읍,2018-03-05,0.001
춘천시,중앙로,2018-03-06,0.002
춘천시,석사동,2018-03-06,0.003
원주시,중앙동,2018-03-06,0.004
원주시,반곡동,2018-03-06,0.003
강릉시,옥천동,2018-03-06,0.007
동해시,천곡동,2018-03-06,0.002
삼척시,남양동,2018-03-06,0.002
평창군,평창읍,2018-03-06,2.335
춘천시,중앙로,2018-03-07,0.003
춘천시,석사동,2018-03-07,0.004
원주시,중앙동,2018-03-07,0.004
원주시,반곡동,2018-03-07,0.002
강릉시,옥천동,2018-03-07,0.004
동해시,천곡동,2018-03-07,0.015
삼척시,남양동,2018-03-07,0.002
평창군,평창읍,2018-03-07,0.001
춘천시,중앙로,2018-03-08,0.002
