지역,측정소명,날짜,아황산가스 농도
춘천시,중앙로,2019-01-01,0.003
춘천시,석사동,2019-01-01,0.005
양구군,양구읍,2019-01-01,0.002
원주시,중앙동,2019-01-01,0.005
원주시,반곡동,2019-01-01,0.005
원주시,문막읍,2019-01-01,0.003
강릉시,옥천동,2019-01-01,0.002
동해시,천곡동,2019-01-01,0.002
삼척시,남양동,2019-01-01,0.003
평창군,평창읍,2019-01-01,0.003
정선군,정선읍,2019-01-01,0.002
횡성군,횡성읍,2019-01-01,0.002
고성군,상리,2019-01-01,0.002
양양군,양양읍,2019-01-01,0.001
속초시,금호동,2019-01-01,0.005
철원군,갈말읍,2019-01-01,0.004
홍천군,홍천읍,2019-01-01,0
영월군,영월읍,2019-01-01,9.336
화천군,화천읍,2019-01-01,0
태백시,황지동,2019-01-01,0
춘천시,중앙로,2019-01-02,0.003
춘천시,석사동,2019-01-02,0.005
양구군,양구읍,2019-01-02,0.002
원주시,중앙동,2019-01-02,0.007
원주시,반곡동,2019-01-02,0.006
원주시,문막읍,2019-01-02,0.003
강릉시,옥천동,2019-01-02,0.003
동해시,천곡동,2019-01-02,0.002
삼척시,남양동,2019-01-02,0.003
평창군,평창읍,2019-01-02,0.002
정선군,정선읍,2019-01-02,0.002
횡성군,횡성읍,2019-01-02,0.002
고성군,상리,2019-01-02,0.002
양양군,양양읍,2019-01-02,0.001
속초시,금호동,2019-01-02,0.005
철원군,갈말읍,2019-01-02,0.010
홍천군,홍천읍,2019-01-02,0
영월군,영월읍,2019-01-02,0
화천군,화천읍,2019-01-02,0
태백시,황지동,2019-01-02,0
춘천시,중앙로,2019-01-03,0.004
춘천시,석사동,2019-01-03,0.005
양구군,양구읍,2019-01-03,0.002
원주시,중앙동,2019-01-03,0.007
원주시,반곡동,2019-01-03,0.007
원주시,문막읍,2019-01-03,0.004
강릉시,옥천동,2019-01-03,0.003
동해시,천곡동,2019-01-03,0.004
삼척시,남양동,2019-01-03,0.004
평창군,평창읍,2019-01-03,0.003
정선군,정선읍,2019-01-03,0.002
횡성군,횡성읍,2019-01-03,0.002
고성군,상리,2019-01-03,0.002
양양군,양양읍,2019-01-03,0.001
속초시,금호동,2019-01-03,0.009
철원군,갈말읍,2019-01-03,0.004
홍천군,홍천읍,2019-01-03,0
영월군,영월읍,2019-01-03,3.112
화천군,화천읍,2019-01-03,0
태백시,황지동,2019-01-03,0
춘천시,중앙로,2019-01-04,0.004
춘천시,석사동,2019-01-04,0.005
양구군,양구읍,2019-01-04,0.002
원주시,중앙동,2019-01-04,0.011
원주시,반곡동,2019-01-04,0.008
원주시,문막읍,2019-01-04,0.004
강릉시,옥천동,2019-01-04,0.004
동해시,천곡동,2019-01-04,0.005
삼척시,남양동,2019-01-04,0.005
평창군,평창읍,2019-01-04,0.004
정선군,정선읍,2019-01-04,0.003
횡성군,횡성읍,2019-01-04,0.003
고성군,상리,2019-01-04,0.003
양양군,양양읍,2019-01-04,0.002
속초시,금호동,2019-01-04,0.010
철원군,갈말읍,2019-01-04,0.005
홍천군,홍천읍,2019-01-04,0
영월군,영월읍,2019-01-04,0.001
화천군,화천읍,2019-01-04,0
태백시,황지동,2019-01-04,0
춘천시,중앙로,2019-01-05,0.004
춘천시,석사동,2019-01-05,0.005
양구군,양구읍,2019-01-05,0.003
원주시,중앙동,2019-01-05,0.011
원주시,반곡동,2019-01-05,0.008
원주시,문막읍,2019-01-05,0.005
강릉시,옥천동,2019-01-05,0.005
동해시,천곡동,2019-01-05,0.003
삼척시,남양동,2019-01-05,0.004
평창군,평창읍,2019-01-05,0.003
정선군,정선읍,2019-01-05,0.003
횡성군,횡성읍,2019-01-05,0.003
고성군,상리,2019-01-05,0.003
양양군,양양읍,2019-01-05,0.002
속초시,금호동,2019-01-05,0.007
철원군,갈말읍,2019-01-05,0.004
홍천군,홍천읍,2019-01-05,0
영월군,영월읍,2019-01-05,0.001
화천군,화천읍,2019-01-05,0
태백시,황지동,2019-01-05,0
춘천시,중앙로,2019-01-06,0.004
춘천시,석사동,2019-01-06,0.005
양구군,양구읍,2019-01-06,0.002
원주시,중앙동,2019-01-06,0.007
원주시,반곡동,2019-01-06,0.007
원주시,문막읍,2019-01-06,0.004
강릉시,옥천동,2019-01-06,0.005
동해시,천곡동,2019-01-06,0.004
삼척시,남양동,2019-01-06,0.004
평창군,평창읍,2019-01-06,0.003
정선군,정선읍,2019-01-06,0.002
횡성군,횡성읍,2019-01-06,0.002
고성군,상리,2019-01-06,0.002
양양군,양양읍,2019-01-06,0.001
속초시,금호동,2019-01-06,0.011
철원군,갈말읍,2019-01-06,0.004
홍천군,홍천읍,2019-01-06,0
영월군,영월읍,2019-01-06,0.000
화천군,화천읍,2019-01-06,0
태백시,황지동,2019-01-06,0
춘천시,중앙로,2019-01-07,0.005
춘천시,석사동,2019-01-07,0.006
양구군,양구읍,2019-01-07,0.002
원주시,중앙동,2019-01-07,0.009
원주시,반곡동,2019-01-07,0.008
원주시,문막읍,2019-01-07,0.008
강릉시,옥천동,2019-01-07,0.004
동해시,천곡동,2019-01-07,0.003
삼척시,남양동,2019-01-07,0.004
평창군,평창읍,2019-01-07,0.003
정선군,정선읍,2019-01-07,0.003
횡성군,횡성읍,2019-01-07,0.003
고성군,상리,2019-01-07,0.002
양양군,양양읍,2019-01-07,0.002
속초시,금호동,2019-01-07,0.007
철원군,갈말읍,2019-01-07,0.005
홍천군,홍천읍,2019-01-07,0
영월군,영월읍,2019-01-07,0.001
화천군,화천읍,2019-01-07,0
태백시,황지동,2019-01-07,0
춘천시,중앙로,2019-01-08,0.003
춘천시,석사동,2019-01-08,0.005
양구군,양구읍,2019-01-08,0.002
원주시,중앙동,2019-01-08,0.015
원주시,반곡동,2019-01-08,0.007
원주시,문막읍,2019-01-08,0.004
강릉시,옥천동,2019-01-08,0.004
동해시,천곡동,2019-01-08,0.003
삼척시,남양동,2019-01-08,0.003
평창군,평창읍,2019-01-08,1.169
정선군,정선읍,2019-01-08,0.002
횡성군,횡성읍,2019-01-08,0.002
고성군,상리,2019-01-08,0.002
양양군,양양읍,2019-01-08,0.001
속초시,금호동,2019-01-08,0.004
철원군,갈말읍,2019-01-08,0.005
홍천군,홍천읍,2019-01-08,0
영월군,영월읍,2019-01-08,0.001
화천군,화천읍,2019-01-08,0
태백시,황지동,2019-01-08,0
춘천시,중앙로,2019-01-09,0.003
춘천시,석사동,2019-01-09,0.006
양구군,양구읍,2019-01-09,0.002
원주시,중앙동,2019-01-09,0.008
원주시,반곡동,2019-01-09,0.006
원주시,문막읍,2019-01-09,0.004
강릉시,옥천동,2019-01-09,0.016
동해시,천곡동,2019-01-09,0.012
삼척시,남양동,2019-01-09,0.011
평창군,평창읍,2019-01-09,0.003
정선군,정선읍,2019-01-09,0.002
횡성군,횡성읍,2019-01-09,0.002
고성군,상리,2019-01-09,0.002
양양군,양양읍,2019-01-09,0.001
속초시,금호동,2019-01-09,0.009
철원군,갈말읍,2019-01-09,0.004
홍천군,홍천읍,2019-01-09,0
영월군,영월읍,2019-01-09,0.001
화천군,화천읍,2019-01-09,0
태백시,황지동,2019-01-09,0
춘천시,중앙로,2019-01-10,0.004
춘천시,석사동,2019-01-10,0.005
양구군,양구읍,2019-01-10,0.003
원주시,중앙동,2019-01-10,0.008
원주시,반곡동,2019-01-10,0.007
원주시,문막읍,2019-01-10,0.005
강릉시,옥천동,2019-01-10,0.002
동해시,천곡동,2019-01-10,0.003
삼척시,남양동,2019-01-10,0.002
평창군,평창읍,2019-01-10,0.003
정선군,정선읍,2019-01-10,1.170
횡성군,횡성읍,2019-01-10,0.002
고성군,상리,2019-01-10,0.002
양양군,양양읍,2019-01-10,0.001
속초시,금호동,2019-01-10,0.005
철원군,갈말읍,2019-01-10,0.005
홍천군,홍천읍,2019-01-10,0
영월군,영월읍,2019-01-10,0.001
화천군,화천읍,2019-01-10,0
태백시,황지동,2019-01-10,0
춘천시,중앙로,2019-01-11,0.004
춘천시,석사동,2019-01-11,0.005
양구군,양구읍,2019-01-11,0.003
원주시,중앙동,2019-01-11,0.009
원주시,반곡동,2019-01-11,0.006
원주시,문막읍,2019-01-11,0.005
강릉시,옥천동,2019-01-11,0.004
동해시,천곡동,2019-01-11,0.004
삼척시,남양동,2019-01-11,0.003
평창군,평창읍,2019-01-11,0.003
정선군,정선읍,2019-01-11,0.003
