"		¡ˆ¡°π¯»£",¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’«≥º”(m/s),√÷¥Î«≥º”(m/s),√÷¥Î«≥º”«≥«‚(deg),"	√÷¥Î«≥º”Ω√∞¢",√÷¥Îº¯∞£«≥º”(m/s),√÷¥Îº¯∞£«≥º”«≥«‚(deg),"	√÷¥Îº¯∞£«≥º”Ω√∞¢"
"		101",√·√µ,2023-04-08,2.5,6.4,250,13:09,12,290,11:01
"		101",√·√µ,2023-04-09,2.1,6.4,200,14:52,11.1,230,15:02
"		101",√·√µ,2023-04-10,1.6,4.2,200,16:03,8.2,200,13:23
"		101",√·√µ,2023-04-11,2.2,6,250,13:25,10.5,200,14:55
"		101",√·√µ,2023-04-12,2.4,6.2,250,10:28,10.5,250,10:23
"		101",√·√µ,2023-04-13,1.4,4.9,200,16:15,8.4,200,13:56
"		101",√·√µ,2023-04-14,1.3,4.5,290,16:16,6.6,290,17:09
"		101",√·√µ,2023-04-15,0.9,3,290,14:35,3.9,250,13:58
"		101",√·√µ,2023-04-16,1.5,7.8,270,17:31,15.2,340,17:28
"		101",√·√µ,2023-04-17,1.3,2.8,20,17:31,3.9,140,12:37
"		101",√·√µ,2023-04-18,1.6,3.5,320,1:15,6.6,320,1:25
"		101",√·√µ,2023-04-19,1.3,2.8,270,16:49,4.3,270,17:28
"		101",√·√µ,2023-04-20,1.8,4.3,250,13:33,9,250,14:24
"		101",√·√µ,2023-04-21,2.2,4.8,50,7:54,8.5,50,18:20
"		101",√·√µ,2023-04-22,1.7,5.1,50,12:26,8.4,360,12:29
"		101",√·√µ,2023-04-23,1.3,2.9,230,12:36,4.8,250,12:57
"		101",√·√µ,2023-04-24,2,4.9,360,10:51,7.8,50,10:44
"		101",√·√µ,2023-04-25,1.1,3,230,12:02,4.8,270,12:02
"		101",√·√µ,2023-04-26,2.2,5.9,230,12:12,9.4,270,12:32
"		101",√·√µ,2023-04-27,1.4,3.4,200,15:44,6.6,230,14:36
"		101",√·√µ,2023-04-28,1.8,5.9,230,13:44,9.7,250,13:42
"		101",√·√µ,2023-04-29,1.9,5.2,200,20:02,9.9,180,20:33
"		101",√·√µ,2023-04-30,2.7,5,200,11:12,8.9,180,20:08
"		101",√·√µ,2023-05-01,1.7,5.1,320,11:51,9.3,320,11:43
"		101",√·√µ,2023-05-02,1.3,3.1,230,14:03,5.9,180,16:13
"		101",√·√µ,2023-05-03,1.5,3.9,200,14:18,7.4,200,14:13
"		101",√·√µ,2023-05-04,1,2.6,270,15:05,4.7,320,14:16
"		101",√·√µ,2023-05-05,1.2,4.9,320,19:13,7.4,250,19:28
"		101",√·√µ,2023-05-06,2.2,5.3,20,3:01,10.6,70,6:15
"		101",√·√µ,2023-05-07,2.3,4.7,50,11:47,8.6,50,10:42
"		101",√·√µ,2023-05-08,1.5,4,200,17:51,7.1,200,18:02
"		101",√·√µ,2023-05-09,1.6,4.9,230,17:12,8.5,230,14:56
"		101",√·√µ,2023-05-10,1.3,4.1,270,18:09,6.2,200,16:09
"		101",√·√µ,2023-05-11,2.1,3.9,340,6:28,5.9,250,14:29
"		101",√·√µ,2023-05-12,1.3,3,200,16:42,5,250,16:27
"		101",√·√µ,2023-05-13,1.4,4,290,16:07,6.3,340,15:53
"		101",√·√µ,2023-05-14,1.9,4.3,180,15:01,7.1,200,16:45
"		101",√·√µ,2023-05-15,1.5,3.8,250,15:28,5.8,270,14:35
"		101",√·√µ,2023-05-16,1.6,4.7,230,17:06,9.5,230,17:48
"		101",√·√µ,2023-05-17,1.9,7.4,230,15:25,11.7,230,15:35
"		101",√·√µ,2023-05-18,1.5,5.4,160,14:40,12.4,160,14:31
"		101",√·√µ,2023-05-19,2.2,5.3,50,12:14,9.3,20,12:08
"		101",√·√µ,2023-05-20,2.2,6,250,17:18,9.8,200,17:08
"		101",√·√µ,2023-05-21,2.8,5,200,14:49,9,200,14:09
"		101",√·√µ,2023-05-22,1.8,4.4,20,15:48,7.7,290,13:44
"		101",√·√µ,2023-05-23,1.6,4.6,290,16:25,6.5,320,16:10
"		101",√·√µ,2023-05-24,1.5,3.5,250,17:08,6.6,250,16:51
"		101",√·√µ,2023-05-25,1.7,3.9,250,15:30,7.6,250,15:22
"		101",√·√µ,2023-05-26,1.6,3.7,230,14:57,6.6,230,12:38
"		101",√·√µ,2023-05-27,1,2.4,320,2:03,4.7,200,14:00
"		101",√·√µ,2023-05-28,0.5,1.7,50,3:39,2.8,70,3:38
"		101",√·√µ,2023-05-29,1.3,3.6,50,13:47,5.8,20,13:30
"		101",√·√µ,2023-05-30,2.2,4.2,70,13:57,7.6,50,13:43
"		101",√·√µ,2023-05-31,1.8,3.8,250,13:55,6.8,250,12:22
"		101",√·√µ,2023-06-01,1.2,2.8,320,21:18,4.3,230,17:14
"		101",√·√µ,2023-06-02,1.5,4.8,270,15:36,7.2,270,15:30
"		101",√·√µ,2023-06-03,2.1,5.7,270,14:25,10.5,270,14:21
"		101",√·√µ,2023-06-04,1.8,5.3,250,14:25,10.4,200,14:08
"		101",√·√µ,2023-06-05,2.3,5.8,200,18:16,9.2,180,18:15
"		101",√·√µ,2023-06-06,1.9,4.4,250,16:27,7.5,230,16:24
"		101",√·√µ,2023-06-07,2.1,4.2,200,15:08,7.8,230,14:16
"		101",√·√µ,2023-06-08,1.6,4.3,250,12:09,7.7,230,12:21
"		101",√·√µ,2023-06-09,1.6,3.3,230,0:29,7.5,250,16:27
"		101",√·√µ,2023-06-10,1.7,6.8,290,17:15,10.7,290,17:06
"		101",√·√µ,2023-06-11,1.4,3.4,160,17:36,5.5,140,17:29
"		101",√·√µ,2023-06-12,1.8,3.9,320,16:59,7.5,340,16:59
"		101",√·√µ,2023-06-13,2.1,4.7,230,15:52,8.1,320,17:04
"		101",√·√µ,2023-06-14,1.7,4.6,70,17:31,7.4,50,17:36
"		101",√·√µ,2023-06-15,1.2,2.9,250,18:09,4.8,250,14:13
"		101",√·√µ,2023-06-16,1.5,4,230,16:08,7,270,15:57
"		101",√·√µ,2023-06-17,1.5,3.7,200,15:22,6.1,250,17:16
"		101",√·√µ,2023-06-18,1.4,3.2,320,23:53,4.7,250,14:40
"		101",√·√µ,2023-06-19,2.2,3.8,50,23:32,6.2,50,23:27
"		101",√·√µ,2023-06-20,1.8,3.9,20,14:00,6,360,13:56
"		101",√·√µ,2023-06-21,1.7,2.9,320,14:54,4.5,50,0:34
"		101",√·√µ,2023-06-22,1.4,4.2,360,17:38,7.5,200,11:21
"		101",√·√µ,2023-06-23,1.2,2.7,270,13:46,4.1,270,13:42
"		101",√·√µ,2023-06-24,1.5,2.9,290,13:18,4.3,230,11:59
"		101",√·√µ,2023-06-25,1.4,2.8,290,14:00,4.2,270,14:09
"		101",√·√µ,2023-06-26,0.9,2.5,20,2:14,4.1,160,19:19
"		101",√·√µ,2023-06-27,2.2,4.4,180,4:04,8,200,9:46
"		101",√·√µ,2023-06-28,1.7,4,250,14:44,6.3,250,14:38
"		101",√·√µ,2023-06-29,1,3,250,12:02,5.3,250,12:00
"		101",√·√µ,2023-06-30,1.6,3.2,320,8:09,4.8,290,8:06
"		101",√·√µ,2023-07-01,1.7,3.5,230,15:38,5.7,270,16:11
"		101",√·√µ,2023-07-02,1.3,3,230,14:52,5.6,180,18:24
"		101",√·√µ,2023-07-03,1.5,2.9,320,2:00,4.3,250,13:17
"		101",√·√µ,2023-07-04,1.6,4.3,180,16:38,7.6,200,16:29
