"		瘤痢锅龋",瘤痢疙,老矫,乞闭浅加(m/s),弥措浅加(m/s),弥措浅加浅氢(deg),"	弥措浅加矫阿",弥措鉴埃浅加(m/s),弥措鉴埃浅加浅氢(deg),"	弥措鉴埃浅加矫阿"
"		114",盔林,2017-03-11,0.7,2,160,15:00,4.7,160,14:58
"		114",盔林,2017-03-12,1.1,3.3,290,13:39,5.9,250,16:44
"		114",盔林,2017-03-13,1.2,2.4,200,14:10,5.8,230,14:06
"		114",盔林,2017-03-14,1,4.8,20,18:33,9.6,360,18:29
"		114",盔林,2017-03-15,0.7,2.3,230,13:17,3.8,250,13:15
"		114",盔林,2017-03-16,1,3,320,12:40,5.8,290,12:37
"		114",盔林,2017-03-17,0.8,2.8,290,14:20,4.8,360,14:05
"		114",盔林,2017-03-18,1.1,3.8,230,15:15,7.6,250,14:40
"		114",盔林,2017-03-19,0.6,2.5,250,17:34,3.8,290,17:03
"		114",盔林,2017-03-20,0.7,2.5,230,19:48,4.3,230,19:49
"		114",盔林,2017-03-21,1,3.4,20,13:14,7.4,70,12:52
"		114",盔林,2017-03-22,1.1,3.4,250,18:45,6.8,250,17:54
"		114",盔林,2017-03-23,1,2.9,290,16:37,6.6,270,13:40
"		114",盔林,2017-03-24,0.9,2.4,20,1:28,4.3,270,15:25
"		114",盔林,2017-03-25,1.4,3.3,140,3:55,7.3,160,2:16
"		114",盔林,2017-03-26,1,3.8,140,13:10,5.2,160,13:03
"		114",盔林,2017-03-27,1.2,3.9,290,17:13,9.5,290,17:11
"		114",盔林,2017-03-28,0.7,2.2,290,15:23,4.5,290,15:17
"		114",盔林,2017-03-29,0.8,2.3,20,9:31,4.4,340,13:19
"		114",盔林,2017-03-30,0.7,1.7,50,7:48,3.2,250,16:15
"		114",盔林,2017-03-31,1.6,4,20,13:06,5.9,160,8:29
"		114",盔林,2017-04-01,1,3.8,290,18:08,6.6,290,18:03
"		114",盔林,2017-04-02,1.1,3.2,230,18:46,5.8,250,13:58
"		114",盔林,2017-04-03,1.2,3.6,230,15:34,7.4,250,14:58
"		114",盔林,2017-04-04,1,3.4,250,16:39,5.9,230,17:05
"		114",盔林,2017-04-05,1.3,3.5,160,15:18,7.9,140,17:47
"		114",盔林,2017-04-06,1.5,3.2,230,15:00,5.8,200,13:06
"		114",盔林,2017-04-07,0.8,2.7,320,15:12,4.4,340,15:06
"		114",盔林,2017-04-08,1.2,2.9,290,13:51,5.5,290,14:13
"		114",盔林,2017-04-09,1.2,2.9,20,9:56,5,70,12:19
"		114",盔林,2017-04-10,1.7,4.1,180,11:06,7.6,160,14:01
"		114",盔林,2017-04-11,1.5,5.1,230,17:29,9.9,250,17:41
"		114",盔林,2017-04-12,1.9,4.9,250,15:43,12.1,230,17:41
"		114",盔林,2017-04-13,1.4,4.2,250,18:53,8.8,230,18:50
"		114",盔林,2017-04-14,2,5.8,230,12:01,13.5,230,13:49
"		114",盔林,2017-04-15,1.3,4.2,230,16:19,7.5,250,16:15
"		114",盔林,2017-04-16,0.9,3,290,14:15,5.8,290,14:01
"		114",盔林,2017-04-17,0.8,2.9,50,13:58,5.7,20,15:13
"		114",盔林,2017-04-18,1.6,4.8,270,16:00,9.7,250,15:58
"		114",盔林,2017-04-19,1.9,4,230,13:41,7.7,250,13:32
