지역,측정소명,날짜,일산화탄소 농도
춘천시,중앙로,2018-04-01,0.4
춘천시,석사동,2018-04-01,0.6
원주시,중앙동,2018-04-01,0.6
원주시,반곡동,2018-04-01,0.5
강릉시,옥천동,2018-04-01,0.3
동해시,천곡동,2018-04-01,0.5
삼척시,남양동,2018-04-01,0.5
평창군,평창읍,2018-04-01,0.4
춘천시,중앙로,2018-04-02,0.4
춘천시,석사동,2018-04-02,0.5
원주시,중앙동,2018-04-02,0.6
원주시,반곡동,2018-04-02,0.4
강릉시,옥천동,2018-04-02,0.3
동해시,천곡동,2018-04-02,0.4
삼척시,남양동,2018-04-02,0.4
평창군,평창읍,2018-04-02,0.4
춘천시,중앙로,2018-04-03,0.4
춘천시,석사동,2018-04-03,0.5
원주시,중앙동,2018-04-03,0.6
원주시,반곡동,2018-04-03,0.4
강릉시,옥천동,2018-04-03,0.3
동해시,천곡동,2018-04-03,0.2
삼척시,남양동,2018-04-03,0.3
평창군,평창읍,2018-04-03,388.9
춘천시,중앙로,2018-04-04,0.1
춘천시,석사동,2018-04-04,0.4
원주시,중앙동,2018-04-04,0.4
원주시,반곡동,2018-04-04,0.3
강릉시,옥천동,2018-04-04,0.3
동해시,천곡동,2018-04-04,0.2
삼척시,남양동,2018-04-04,0.3
평창군,평창읍,2018-04-04,0.3
춘천시,중앙로,2018-04-05,0.2
춘천시,석사동,2018-04-05,0.3
원주시,중앙동,2018-04-05,0.3
원주시,반곡동,2018-04-05,0.4
강릉시,옥천동,2018-04-05,0.3
동해시,천곡동,2018-04-05,0.3
삼척시,남양동,2018-04-05,0.4
평창군,평창읍,2018-04-05,0.3
춘천시,중앙로,2018-04-06,0.3
춘천시,석사동,2018-04-06,0.3
원주시,중앙동,2018-04-06,0.3
원주시,반곡동,2018-04-06,0.4
강릉시,옥천동,2018-04-06,0.3
동해시,천곡동,2018-04-06,0.3
삼척시,남양동,2018-04-06,0.3
평창군,평창읍,2018-04-06,0.4
춘천시,중앙로,2018-04-07,0.3
춘천시,석사동,2018-04-07,0.3
원주시,중앙동,2018-04-07,0.4
원주시,반곡동,2018-04-07,0.4
강릉시,옥천동,2018-04-07,0.3
동해시,천곡동,2018-04-07,0.3
삼척시,남양동,2018-04-07,0.3
평창군,평창읍,2018-04-07,0.5
춘천시,중앙로,2018-04-08,0.3
춘천시,석사동,2018-04-08,0.4
원주시,중앙동,2018-04-08,0.3
원주시,반곡동,2018-04-08,0.3
강릉시,옥천동,2018-04-08,0.3
동해시,천곡동,2018-04-08,0.2
삼척시,남양동,2018-04-08,0.2
평창군,평창읍,2018-04-08,0.4
춘천시,중앙로,2018-04-09,0.3
춘천시,석사동,2018-04-09,0.4
원주시,중앙동,2018-04-09,0.4
원주시,반곡동,2018-04-09,0.4
강릉시,옥천동,2018-04-09,0.4
동해시,천곡동,2018-04-09,0.5
삼척시,남양동,2018-04-09,0.4
평창군,평창읍,2018-04-09,0.4
춘천시,중앙로,2018-04-10,0.4
춘천시,석사동,2018-04-10,0.4
원주시,중앙동,2018-04-10,0.3
원주시,반곡동,2018-04-10,0.5
강릉시,옥천동,2018-04-10,0.4
동해시,천곡동,2018-04-10,0.5
삼척시,남양동,2018-04-10,0.4
평창군,평창읍,2018-04-10,0.5
춘천시,중앙로,2018-04-11,0.3
춘천시,석사동,2018-04-11,0.4
원주시,중앙동,2018-04-11,0.2
원주시,반곡동,2018-04-11,0.3
강릉시,옥천동,2018-04-11,0.2
동해시,천곡동,2018-04-11,0.2
삼척시,남양동,2018-04-11,0.3
평창군,평창읍,2018-04-11,0.5
춘천시,중앙로,2018-04-12,0.3
춘천시,석사동,2018-04-12,0.3
원주시,중앙동,2018-04-12,0.3
원주시,반곡동,2018-04-12,0.4
강릉시,옥천동,2018-04-12,0.1
동해시,천곡동,2018-04-12,0.5
삼척시,남양동,2018-04-12,1.1
평창군,평창읍,2018-04-12,0.6
춘천시,중앙로,2018-04-13,0.2
춘천시,석사동,2018-04-13,0.3
원주시,중앙동,2018-04-13,0.3
원주시,반곡동,2018-04-13,0.4
강릉시,옥천동,2018-04-13,0.3
동해시,천곡동,2018-04-13,0.3
삼척시,남양동,2018-04-13,0.3
평창군,평창읍,2018-04-13,0.5
춘천시,중앙로,2018-04-14,23.4
춘천시,석사동,2018-04-14,0.4
원주시,중앙동,2018-04-14,0.3
원주시,반곡동,2018-04-14,0.4
강릉시,옥천동,2018-04-14,0.4
동해시,천곡동,2018-04-14,0.3
삼척시,남양동,2018-04-14,0.4
평창군,평창읍,2018-04-14,0.4
춘천시,중앙로,2018-04-15,50.0
춘천시,석사동,2018-04-15,0.4
원주시,중앙동,2018-04-15,0.4
원주시,반곡동,2018-04-15,0.4
강릉시,옥천동,2018-04-15,0.3
동해시,천곡동,2018-04-15,0.3
삼척시,남양동,2018-04-15,0.3
평창군,평창읍,2018-04-15,0.5
춘천시,중앙로,2018-04-16,23.0
춘천시,석사동,2018-04-16,0.5
원주시,중앙동,2018-04-16,0.5
원주시,반곡동,2018-04-16,0.5
강릉시,옥천동,2018-04-16,0.3
동해시,천곡동,2018-04-16,0.3
삼척시,남양동,2018-04-16,0.4
평창군,평창읍,2018-04-16,0.6
춘천시,중앙로,2018-04-17,0.4
춘천시,석사동,2018-04-17,0.5
원주시,중앙동,2018-04-17,0.4
원주시,반곡동,2018-04-17,0.5
강릉시,옥천동,2018-04-17,0.4
동해시,천곡동,2018-04-17,0.7
삼척시,남양동,2018-04-17,0.4
평창군,평창읍,2018-04-17,0.5
춘천시,중앙로,2018-04-18,0.4
춘천시,석사동,2018-04-18,0.5
원주시,중앙동,2018-04-18,0.4
원주시,반곡동,2018-04-18,0.5
강릉시,옥천동,2018-04-18,0.4
동해시,천곡동,2018-04-18,0.4
삼척시,남양동,2018-04-18,0.5
평창군,평창읍,2018-04-18,0.6
춘천시,중앙로,2018-04-19,0.4
춘천시,석사동,2018-04-19,0.6
원주시,중앙동,2018-04-19,0.4
원주시,반곡동,2018-04-19,0.5
강릉시,옥천동,2018-04-19,0.3
동해시,천곡동,2018-04-19,0.3
삼척시,남양동,2018-04-19,0.3
평창군,평창읍,2018-04-19,0.6
춘천시,중앙로,2018-04-20,0.6
춘천시,석사동,2018-04-20,0.7
원주시,중앙동,2018-04-20,0.6
원주시,반곡동,2018-04-20,0.6
강릉시,옥천동,2018-04-20,0.5
동해시,천곡동,2018-04-20,0.5
삼척시,남양동,2018-04-20,0.5
평창군,평창읍,2018-04-20,0.6
춘천시,중앙로,2018-04-21,0.4
춘천시,석사동,2018-04-21,0.6
원주시,중앙동,2018-04-21,0.5
원주시,반곡동,2018-04-21,0.5
강릉시,옥천동,2018-04-21,0.3
동해시,천곡동,2018-04-21,0.6
삼척시,남양동,2018-04-21,0.5
평창군,평창읍,2018-04-21,0.5
춘천시,중앙로,2018-04-22,0.3
춘천시,석사동,2018-04-22,0.4
원주시,중앙동,2018-04-22,0.3
원주시,반곡동,2018-04-22,0.4
강릉시,옥천동,2018-04-22,0.3
동해시,천곡동,2018-04-22,0.3
삼척시,남양동,2018-04-22,0.3
평창군,평창읍,2018-04-22,0.4
춘천시,중앙로,2018-04-23,0.3
춘천시,석사동,2018-04-23,0.4
원주시,중앙동,2018-04-23,0.3
원주시,반곡동,2018-04-23,0.3
강릉시,옥천동,2018-04-23,0.3
동해시,천곡동,2018-04-23,0.2
삼척시,남양동,2018-04-23,0.3
평창군,평창읍,2018-04-23,0.3
춘천시,중앙로,2018-04-24,0.3
춘천시,석사동,2018-04-24,0.3
원주시,중앙동,2018-04-24,0.2
원주시,반곡동,2018-04-24,0.1
강릉시,옥천동,2018-04-24,0.3
동해시,천곡동,2018-04-24,0.2
삼척시,남양동,2018-04-24,0.3
평창군,평창읍,2018-04-24,0.3
춘천시,중앙로,2018-04-25,0.4
춘천시,석사동,2018-04-25,0.3
원주시,중앙동,2018-04-25,0.3
원주시,반곡동,2018-04-25,0.2
강릉시,옥천동,2018-04-25,0.3
동해시,천곡동,2018-04-25,0.8
삼척시,남양동,2018-04-25,0.3
평창군,평창읍,2018-04-25,129.9
춘천시,중앙로,2018-04-26,0.3
춘천시,석사동,2018-04-26,0.3
원주시,중앙동,2018-04-26,0.4
원주시,반곡동,2018-04-26,0.4
강릉시,옥천동,2018-04-26,0.4
동해시,천곡동,2018-04-26,0.4
삼척시,남양동,2018-04-26,0.6
평창군,평창읍,2018-04-26,0.4
춘천시,중앙로,2018-04-27,0.4
춘천시,석사동,2018-04-27,0.4
원주시,중앙동,2018-04-27,0.4
원주시,반곡동,2018-04-27,0.4
강릉시,옥천동,2018-04-27,0.3
동해시,천곡동,2018-04-27,0.3
삼척시,남양동,2018-04-27,0.3
평창군,평창읍,2018-04-27,0.5
춘천시,중앙로,2018-04-28,0.4
춘천시,석사동,2018-04-28,0.4
원주시,중앙동,2018-04-28,0.4
원주시,반곡동,2018-04-28,0.5
강릉시,옥천동,2018-04-28,0.4
동해시,천곡동,2018-04-28,0.7
삼척시,남양동,2018-04-28,0.4
평창군,평창읍,2018-04-28,0.5
춘천시,중앙로,2018-04-29,0.4
춘천시,석사동,2018-04-29,0.4
원주시,중앙동,2018-04-29,0.3
원주시,반곡동,2018-04-29,0.3
