0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,183,62,50,59,66,63,203,99,122,106,33,65,65,51,53,40,28,28,35,46,49,50,47,45,29,38,20,31,50,82,73,47
춘천시,중앙로,194,61,62,69,63,60,196,97,142,160,31,67,79,55,58,21,21,38,50,56,43,43,49,45,27,38,19,32,52,89,69,47
춘천시,석사동,182,57,60,73,64,49,182,89,140,169,29,62,76,49,49,37,30,33,44,49,38,37,44,37,23,30,15,27,45,80,64,44
원주시,중앙동,178,77,57,58,64,58,168,94,133,120,36,71,68,49,54,44,21,12,42,49,37,33,39,42,23,37,19,37,47,78,63,52
원주시,반곡동,200,84,62,68,76,73,202,112,135,129,38,71,69,52,64,52,40,27,30,57,48,42,45,47,26,47,20,38,52,77,65,54
강릉시,옥천동,182,57,46,65,76,70,299,137,121,53,35,60,60,51,53,48,36,35,23,21,51,54,43,34,27,32,23,26,44,53,48,40
동해시,천곡동,178,47,32,38,55,57,187,82,93,51,28,60,52,44,46,46,31,12,4,47,80,84,62,62,40,49,25,35,64,114,114,37
삼척시,남양동,170,51,32,42,64,72,187,81,92,60,35,62,54,57,47,30,14,37,50,44,44,58,47,45,37,32,20,23,48,83,91,56
