0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,2,22,25,20,14,18,19,20,22,-71,-1,14,18,17,21,18,18,20,30,-192,-217,19,11,19,10,28,25,22,27,30,-7,-
춘천시,중앙로,61,18,24,20,8,12,17,21,28,34,12,7,12,15,21,13,16,21,28,28,21,18,5,16,23,27,25,23,28,32,34,-
춘천시,석사동,61,20,26,20,11,13,16,15,27,33,11,5,11,17,22,14,16,21,27,27,20,21,4,16,24,29,26,23,29,33,36,-
양구군,양구읍,57,16,22,23,10,12,15,15,23,31,13,10,16,15,19,15,18,20,24,24,23,19,7,15,18,21,18,22,27,28,28,-
원주시,중앙동,141,35,34,31,63,25,32,65,31,40,69,61,23,28,30,66,63,27,75,37,30,63,14,59,178,62,27,19,24,26,71,-
원주시,반곡동,58,23,24,19,10,12,18,13,19,27,18,9,12,16,20,16,11,19,26,27,19,13,4,10,21,30,29,21,29,29,35,-
원주시,문막읍,53,19,20,16,10,12,18,16,19,27,27,11,14,15,16,13,10,14,23,22,18,13,8,9,17,24,23,18,27,25,30,-
강릉시,옥천동,74,28,31,23,12,19,21,24,19,30,20,17,25,19,22,22,16,23,34,32,24,19,19,24,23,33,31,28,32,34,36,-
동해시,천곡동,57,23,24,15,9,14,21,18,15,23,13,11,19,15,21,15,14,14,27,27,18,13,18,19,18,21,21,19,25,30,32,-
삼척시,남양동,58,25,23,14,11,15,22,19,14,20,15,16,21,17,22,18,12,14,27,25,19,13,16,20,18,21,20,18,22,30,31,-
평창군,평창읍,-932,29,29,22,15,18,24,19,22,25,-395,14,24,24,26,19,19,21,29,-4571,-4988,19,12,16,28,28,26,25,33,36,34,-
정선군,정선읍,-64,23,27,19,13,16,19,17,20,-815,15,10,21,20,22,18,16,21,28,24,20,16,8,14,22,25,23,23,31,35,-391,-
횡성군,횡성읍,60,25,23,17,12,12,21,13,24,27,16,11,15,19,20,13,13,19,29,29,22,17,6,14,25,28,26,19,27,28,32,-
고성군,상리,68,19,21,21,9,13,17,25,20,29,15,14,19,16,21,17,18,21,33,28,31,22,16,25,28,29,29,27,31,36,33,-
양양군,양양읍,52,17,22,17,7,10,13,16,16,22,9,9,14,13,16,13,13,18,27,24,19,13,11,18,20,26,25,20,24,30,22,-
속초시,금호동,76,22,27,26,11,15,16,34,23,31,19,17,24,20,23,21,18,23,35,33,24,23,23,33,34,32,30,27,30,34,29,-
철원군,갈말읍,68,15,17,17,5,87,11,11,32,36,10,5,12,12,20,10,13,22,32,25,17,18,10,25,49,33,32,26,23,27,32,-
홍천군,홍천읍,60,23,23,20,12,11,16,17,28,34,14,8,16,17,21,16,15,18,26,25,21,18,8,16,19,25,26,19,26,27,31,-
영월군,영월읍,-64,26,28,20,16,20,21,21,18,-812,25,15,18,16,20,19,18,17,26,25,20,15,7,13,-416,27,22,19,29,34,32,-
화천군,화천읍,57,19,19,19,21,11,19,17,28,31,12,14,18,17,18,15,17,18,24,22,18,17,13,17,16,19,21,16,22,27,26,-
태백시,황지동,-10,30,34,20,17,22,29,19,22,-396,27,16,24,22,22,25,22,25,35,29,25,20,11,18,22,29,24,27,34,34,-387,-
인제군,인제읍,46,16,19,16,10,9,14,13,23,24,12,6,12,12,16,10,13,16,18,19,17,12,9,12,13,20,16,17,21,22,22,-
