0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,108,40,23,25,25,48,58,79,87,70,45,43,45,21,12,7,17,27,47,31,5,19,31,50,23,18,22,30,37,37,37,17
춘천시,중앙로,120,39,22,23,23,38,55,84,117,87,51,54,63,23,8,7,17,25,38,46,55,18,25,54,24,16,21,31,37,34,35,32
춘천시,석사동,116,39,23,25,28,38,52,75,104,80,49,50,56,21,11,8,15,24,36,42,52,20,25,48,19,17,25,28,36,33,51,32
춘천시,신사우동,125,47,24,26,26,35,53,85,118,92,51,54,53,18,6,8,18,29,43,48,58,17,25,55,27,21,27,33,43,38,40,36
양구군,양구읍,98,31,23,22,23,31,41,58,96,60,41,38,43,25,9,5,14,26,30,38,41,17,26,43,20,16,20,26,30,28,27,28
원주시,중앙동,134,43,21,33,36,49,75,114,101,69,121,79,51,59,8,3,16,28,42,41,54,13,22,45,18,13,20,27,32,37,43,26
원주시,반곡동,153,51,29,37,41,60,86,129,118,81,64,58,65,26,14,8,26,38,52,55,69,26,37,60,25,25,36,37,43,47,45,39
원주시,문막읍,130,42,26,33,35,48,73,105,92,70,51,53,59,24,15,10,23,32,43,46,58,22,26,49,23,23,28,32,40,39,42,36
원주시,지정면,142,48,28,35,38,51,83,121,101,78,50,56,60,19,9,10,26,37,51,50,65,23,28,55,29,24,28,36,44,45,48,45
강릉시,주문진읍,95,34,17,15,14,28,35,58,48,55,34,24,34,14,21,6,11,22,39,54,58,16,42,51,20,14,20,31,33,34,32,38
강릉시,옥천동,99,38,21,22,20,95,22,58,54,59,31,24,31,16,18,7,13,22,38,48,54,13,34,44,22,13,18,26,30,32,32,34
동해시,천곡동,95,26,12,14,12,30,35,61,59,53,37,27,36,18,21,4,12,21,35,45,57,17,47,48,22,13,20,22,30,38,34,40
삼척시,남양동,75,24,12,12,11,27,26,51,44,46,28,17,27,18,17,8,10,13,29,36,48,11,28,38,19,11,14,19,26,28,26,27
평창군,평창읍,85,48,32,36,37,53,69,82,100,80,36,48,43,18,10,9,22,31,45,47,-362,22,31,50,26,22,23,35,44,40,40,32
정선군,정선읍,91,49,28,34,30,52,77,77,90,66,37,46,58,21,11,9,25,37,51,-369,67,27,36,55,30,26,20,38,52,46,43,37
횡성군,횡성읍,121,43,28,34,34,46,71,89,89,64,40,49,49,16,8,10,23,31,44,46,53,22,29,48,23,22,25,31,37,36,37,31
고성군,상리,74,22,11,12,11,18,29,46,56,43,27,26,23,13,13,3,8,14,34,51,38,11,29,44,12,9,18,24,21,27,20,29
양양군,양양읍,81,27,13,12,10,19,33,52,64,55,23,24,18,11,13,4,8,18,36,52,50,11,32,46,17,11,14,25,26,31,27,31
속초시,금호동,97,22,9,8,5,91,34,48,60,57,36,30,38,14,19,5,11,21,42,59,48,17,41,53,18,13,20,29,30,31,28,37
철원군,갈말읍,136,59,26,29,27,32,58,92,106,102,54,55,43,23,9,10,23,33,56,61,61,21,32,59,33,20,32,38,41,42,45,41
홍천군,홍천읍,161,52,38,43,41,134,70,93,98,77,45,54,64,31,16,8,20,34,198,45,56,24,27,53,26,23,25,35,44,48,47,39
영월군,영월읍,2,41,26,31,34,59,81,76,98,91,50,41,43,16,9,8,22,37,48,49,-786,25,26,48,29,20,22,31,43,43,42,-385
화천군,화천읍,130,45,28,29,30,35,56,89,117,93,57,61,58,29,17,6,20,24,38,48,55,26,28,55,28,20,28,35,43,38,37,32
태백시,황지동,97,34,16,11,15,40,120,73,55,50,28,26,31,10,5,5,12,18,30,38,55,16,36,42,23,15,11,25,36,33,29,30
인제군,인제읍,107,42,26,26,24,29,46,66,102,66,35,38,43,14,5,4,15,26,39,42,58,17,28,51,21,21,22,29,35,37,33,26
횡성군,우천면,124,45,28,34,32,50,74,104,95,67,44,50,48,17,4,7,22,30,45,45,62,20,31,48,25,21,20,33,41,36,36,29
