지역,측정소명,날짜,미세먼지 농도
춘천시,중앙로,2018-04-01,71
춘천시,석사동,2018-04-01,73
원주시,중앙동,2018-04-01,67
원주시,반곡동,2018-04-01,81
강릉시,옥천동,2018-04-01,76
동해시,천곡동,2018-04-01,84
삼척시,남양동,2018-04-01,75
평창군,평창읍,2018-04-01,77
춘천시,중앙로,2018-04-02,99
춘천시,석사동,2018-04-02,99
원주시,중앙동,2018-04-02,81
원주시,반곡동,2018-04-02,92
강릉시,옥천동,2018-04-02,100
동해시,천곡동,2018-04-02,124
삼척시,남양동,2018-04-02,95
평창군,평창읍,2018-04-02,87
춘천시,중앙로,2018-04-03,87
춘천시,석사동,2018-04-03,86
원주시,중앙동,2018-04-03,77
원주시,반곡동,2018-04-03,89
강릉시,옥천동,2018-04-03,68
동해시,천곡동,2018-04-03,74
삼척시,남양동,2018-04-03,63
평창군,평창읍,2018-04-03,90
춘천시,중앙로,2018-04-04,16
춘천시,석사동,2018-04-04,23
원주시,중앙동,2018-04-04,21
원주시,반곡동,2018-04-04,28
강릉시,옥천동,2018-04-04,18
동해시,천곡동,2018-04-04,25
삼척시,남양동,2018-04-04,19
평창군,평창읍,2018-04-04,25
춘천시,중앙로,2018-04-05,4
춘천시,석사동,2018-04-05,11
원주시,중앙동,2018-04-05,4
원주시,반곡동,2018-04-05,11
강릉시,옥천동,2018-04-05,22
동해시,천곡동,2018-04-05,24
삼척시,남양동,2018-04-05,21
평창군,평창읍,2018-04-05,5
춘천시,중앙로,2018-04-06,152
춘천시,석사동,2018-04-06,136
원주시,중앙동,2018-04-06,98
원주시,반곡동,2018-04-06,111
강릉시,옥천동,2018-04-06,76
동해시,천곡동,2018-04-06,58
삼척시,남양동,2018-04-06,48
평창군,평창읍,2018-04-06,91
춘천시,중앙로,2018-04-07,62
춘천시,석사동,2018-04-07,64
원주시,중앙동,2018-04-07,49
원주시,반곡동,2018-04-07,62
강릉시,옥천동,2018-04-07,54
동해시,천곡동,2018-04-07,65
삼척시,남양동,2018-04-07,57
평창군,평창읍,2018-04-07,51
춘천시,중앙로,2018-04-08,25
춘천시,석사동,2018-04-08,30
원주시,중앙동,2018-04-08,27
원주시,반곡동,2018-04-08,38
강릉시,옥천동,2018-04-08,21
동해시,천곡동,2018-04-08,30
삼척시,남양동,2018-04-08,24
평창군,평창읍,2018-04-08,29
춘천시,중앙로,2018-04-09,30
춘천시,석사동,2018-04-09,30
원주시,중앙동,2018-04-09,30
원주시,반곡동,2018-04-09,40
강릉시,옥천동,2018-04-09,31
동해시,천곡동,2018-04-09,38
삼척시,남양동,2018-04-09,32
평창군,평창읍,2018-04-09,29
춘천시,중앙로,2018-04-10,46
춘천시,석사동,2018-04-10,45
원주시,중앙동,2018-04-10,15
원주시,반곡동,2018-04-10,55
강릉시,옥천동,2018-04-10,49
동해시,천곡동,2018-04-10,51
삼척시,남양동,2018-04-10,42
평창군,평창읍,2018-04-10,40
춘천시,중앙로,2018-04-11,72
춘천시,석사동,2018-04-11,70
원주시,중앙동,2018-04-11,26
원주시,반곡동,2018-04-11,76
강릉시,옥천동,2018-04-11,41
동해시,천곡동,2018-04-11,55
삼척시,남양동,2018-04-11,42
평창군,평창읍,2018-04-11,58
춘천시,중앙로,2018-04-12,40
춘천시,석사동,2018-04-12,37
원주시,중앙동,2018-04-12,38
원주시,반곡동,2018-04-12,50
강릉시,옥천동,2018-04-12,21
동해시,천곡동,2018-04-12,39
삼척시,남양동,2018-04-12,34
평창군,평창읍,2018-04-12,30
춘천시,중앙로,2018-04-13,40
춘천시,석사동,2018-04-13,38
원주시,중앙동,2018-04-13,12
원주시,반곡동,2018-04-13,46
강릉시,옥천동,2018-04-13,47
동해시,천곡동,2018-04-13,53
삼척시,남양동,2018-04-13,47
평창군,평창읍,2018-04-13,30
춘천시,중앙로,2018-04-14,19
춘천시,석사동,2018-04-14,20
원주시,중앙동,2018-04-14,6
원주시,반곡동,2018-04-14,38
강릉시,옥천동,2018-04-14,23
동해시,천곡동,2018-04-14,26
삼척시,남양동,2018-04-14,25
평창군,평창읍,2018-04-14,14
춘천시,중앙로,2018-04-15,108
춘천시,석사동,2018-04-15,108
원주시,중앙동,2018-04-15,32
원주시,반곡동,2018-04-15,99
강릉시,옥천동,2018-04-15,80
동해시,천곡동,2018-04-15,66
삼척시,남양동,2018-04-15,57
평창군,평창읍,2018-04-15,125
춘천시,중앙로,2018-04-16,44
춘천시,석사동,2018-04-16,52
원주시,중앙동,2018-04-16,40
원주시,반곡동,2018-04-16,60
강릉시,옥천동,2018-04-16,27
동해시,천곡동,2018-04-16,32
삼척시,남양동,2018-04-16,34
평창군,평창읍,2018-04-16,60
춘천시,중앙로,2018-04-17,51
춘천시,석사동,2018-04-17,56
원주시,중앙동,2018-04-17,72
원주시,반곡동,2018-04-17,67
강릉시,옥천동,2018-04-17,51
동해시,천곡동,2018-04-17,63
삼척시,남양동,2018-04-17,53
평창군,평창읍,2018-04-17,44
춘천시,중앙로,2018-04-18,64
춘천시,석사동,2018-04-18,72
원주시,중앙동,2018-04-18,72
원주시,반곡동,2018-04-18,78
강릉시,옥천동,2018-04-18,57
동해시,천곡동,2018-04-18,61
삼척시,남양동,2018-04-18,60
평창군,평창읍,2018-04-18,61
춘천시,중앙로,2018-04-19,78
춘천시,석사동,2018-04-19,86
원주시,중앙동,2018-04-19,67
원주시,반곡동,2018-04-19,71
강릉시,옥천동,2018-04-19,52
동해시,천곡동,2018-04-19,50
삼척시,남양동,2018-04-19,47
평창군,평창읍,2018-04-19,70
춘천시,중앙로,2018-04-20,110
춘천시,석사동,2018-04-20,124
원주시,중앙동,2018-04-20,125
원주시,반곡동,2018-04-20,132
강릉시,옥천동,2018-04-20,102
동해시,천곡동,2018-04-20,93
삼척시,남양동,2018-04-20,100
평창군,평창읍,2018-04-20,100
춘천시,중앙로,2018-04-21,69
춘천시,석사동,2018-04-21,75
원주시,중앙동,2018-04-21,86
원주시,반곡동,2018-04-21,95
강릉시,옥천동,2018-04-21,77
동해시,천곡동,2018-04-21,90
삼척시,남양동,2018-04-21,94
평창군,평창읍,2018-04-21,78
춘천시,중앙로,2018-04-22,37
춘천시,석사동,2018-04-22,40
원주시,중앙동,2018-04-22,42
원주시,반곡동,2018-04-22,50
강릉시,옥천동,2018-04-22,44
동해시,천곡동,2018-04-22,56
삼척시,남양동,2018-04-22,57
평창군,평창읍,2018-04-22,41
춘천시,중앙로,2018-04-23,8
춘천시,석사동,2018-04-23,10
원주시,중앙동,2018-04-23,9
원주시,반곡동,2018-04-23,16
강릉시,옥천동,2018-04-23,11
동해시,천곡동,2018-04-23,16
삼척시,남양동,2018-04-23,16
평창군,평창읍,2018-04-23,9
춘천시,중앙로,2018-04-24,11
춘천시,석사동,2018-04-24,12
원주시,중앙동,2018-04-24,6
원주시,반곡동,2018-04-24,3
강릉시,옥천동,2018-04-24,9
동해시,천곡동,2018-04-24,13
삼척시,남양동,2018-04-24,13
평창군,평창읍,2018-04-24,10
춘천시,중앙로,2018-04-25,36
춘천시,석사동,2018-04-25,41
원주시,중앙동,2018-04-25,32
원주시,반곡동,2018-04-25,25
강릉시,옥천동,2018-04-25,28
동해시,천곡동,2018-04-25,37
삼척시,남양동,2018-04-25,29
평창군,평창읍,2018-04-25,26
춘천시,중앙로,2018-04-26,42
춘천시,석사동,2018-04-26,50
원주시,중앙동,2018-04-26,49
원주시,반곡동,2018-04-26,53
강릉시,옥천동,2018-04-26,45
동해시,천곡동,2018-04-26,47
삼척시,남양동,2018-04-26,43
평창군,평창읍,2018-04-26,38
춘천시,중앙로,2018-04-27,50
춘천시,석사동,2018-04-27,57
원주시,중앙동,2018-04-27,60
원주시,반곡동,2018-04-27,62
강릉시,옥천동,2018-04-27,44
동해시,천곡동,2018-04-27,48
삼척시,남양동,2018-04-27,44
평창군,평창읍,2018-04-27,52
춘천시,중앙로,2018-04-28,51
춘천시,석사동,2018-04-28,65
원주시,중앙동,2018-04-28,74
원주시,반곡동,2018-04-28,77
강릉시,옥천동,2018-04-28,52
동해시,천곡동,2018-04-28,54
삼척시,남양동,2018-04-28,41
평창군,평창읍,2018-04-28,57
춘천시,중앙로,2018-04-29,45
춘천시,석사동,2018-04-29,54
원주시,중앙동,2018-04-29,48
원주시,반곡동,2018-04-29,54
강릉시,옥천동,2018-04-29,45
동해시,천곡동,2018-04-29,45
삼척시,남양동,2018-04-29,39
평창군,평창읍,2018-04-29,46
춘천시,중앙로,2018-04-30,66
춘천시,석사동,2018-04-30,75
원주시,중앙동,2018-04-30,65
원주시,반곡동,2018-04-30,67
강릉시,옥천동,2018-04-30,60
동해시,천곡동,2018-04-30,62
삼척시,남양동,2018-04-30,56
평창군,평창읍,2018-04-30,62
춘천시,중앙로,2018-04-31,0
춘천시,석사동,2018-04-31,0
원주시,중앙동,2018-04-31,0
원주시,반곡동,2018-04-31,0
강릉시,옥천동,2018-04-31,0
동해시,천곡동,2018-04-31,0
삼척시,남양동,2018-04-31,0
평창군,평창읍,2018-04-31,0
