0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,98,22,32,32,30,24,20,29,-41,20,26,38,-10,99,82,84,76,20,32,36,-10,42,27,10,15,44,32,33,34,25,40,42
춘천시,중앙로,110,21,33,36,35,20,20,26,15,20,27,39,48,94,92,86,65,20,27,29,33,45,32,6,15,26,24,34,29,20,38,45
춘천시,석사동,137,26,37,41,38,26,33,54,19,26,34,47,63,106,107,93,70,24,35,40,48,55,39,9,23,37,34,42,36,24,46,57
춘천시,신사우동,122,25,35,40,39,26,25,36,18,26,32,37,58,104,87,93,63,23,34,33,36,54,41,7,14,25,30,34,33,22,44,49
양구군,양구읍,104,13,19,24,24,15,17,28,10,16,24,28,38,91,88,103,78,24,31,30,38,54,27,8,15,24,27,32,34,19,30,36
원주시,중앙동,150,29,80,40,38,28,22,18,14,18,28,79,91,90,108,159,104,16,32,27,48,56,42,15,16,27,29,43,39,60,50,53
원주시,반곡동,127,32,38,40,42,28,25,26,19,25,34,47,57,89,104,85,75,20,33,30,50,54,36,12,12,23,26,38,37,22,49,59
원주시,문막읍,109,27,35,38,35,24,23,20,19,24,30,38,45,75,92,76,59,18,28,27,38,46,24,14,12,22,27,38,31,19,40,47
강릉시,옥천동,108,19,30,27,22,24,13,25,11,14,18,57,31,118,55,76,81,17,31,26,63,22,17,8,20,23,69,27,37,18,42,39
동해시,천곡동,87,13,23,20,18,18,11,29,10,12,16,17,26,94,52,67,73,17,28,26,52,28,16,6,15,19,17,22,38,15,39,35
삼척시,남양동,73,10,19,19,15,16,9,20,6,9,12,12,21,90,48,58,67,12,24,20,43,26,13,4,11,11,13,20,26,12,34,27
평창군,평창읍,94,34,41,43,43,41,26,28,20,28,33,37,-374,101,120,103,94,30,38,35,52,56,32,13,18,23,31,40,39,25,43,47
정선군,정선읍,176,25,36,40,34,36,23,26,21,22,29,114,50,107,132,96,112,26,32,25,49,45,23,8,11,424,19,46,40,22,46,46
횡성군,횡성읍,124,30,43,39,36,30,27,30,25,25,33,44,52,98,101,92,71,19,36,28,45,49,28,6,13,25,26,38,34,22,43,49
고성군,상리,85,13,13,13,16,18,12,29,10,12,19,14,34,113,45,46,71,12,26,31,55,28,20,13,15,19,21,24,30,13,36,30
양양군,양양읍,85,14,21,26,16,15,13,34,12,12,18,13,28,107,47,64,69,13,25,24,51,14,17,8,14,19,19,23,28,21,34,29
속초시,금호동,107,18,21,19,19,19,15,27,13,17,21,20,35,126,50,54,76,15,34,37,72,36,28,19,20,106,26,21,33,10,38,28
철원군,갈말읍,120,24,24,33,32,21,22,37,21,26,29,38,56,108,68,85,55,24,36,24,44,57,29,9,11,17,25,36,33,102,35,39
홍천군,홍천읍,152,34,43,49,45,34,37,30,22,28,32,44,56,104,99,100,77,25,37,33,46,60,40,22,20,33,168,37,39,25,40,59
영월군,영월읍,107,25,34,33,34,32,22,26,17,20,25,32,46,75,86,87,79,18,26,22,40,48,24,6,10,18,23,32,35,21,35,42
화천군,화천읍,104,19,21,26,27,19,21,33,18,23,27,31,47,94,77,80,64,23,31,29,35,47,32,11,15,20,23,31,30,20,31,35
태백시,황지동,-221,14,26,24,24,25,15,17,-1243,10,14,18,-771,100,69,54,79,20,45,184,-1185,15,20,6,8,19,16,32,34,16,45,36
인제군,인제읍,102,19,26,37,24,21,19,35,18,19,26,27,40,104,81,93,79,22,29,23,34,32,14,7,12,16,16,29,32,23,35,33
