지역,측정소명,날짜,미세먼지 농도
춘천시,중앙로,2017-05-평균,194
춘천시,석사동,2017-05-평균,182
원주시,중앙동,2017-05-평균,178
원주시,반곡동,2017-05-평균,200
강릉시,옥천동,2017-05-평균,182
동해시,천곡동,2017-05-평균,178
삼척시,남양동,2017-05-평균,170
춘천시,중앙로,2017-05-01,61
춘천시,석사동,2017-05-01,57
원주시,중앙동,2017-05-01,77
원주시,반곡동,2017-05-01,84
강릉시,옥천동,2017-05-01,57
동해시,천곡동,2017-05-01,47
삼척시,남양동,2017-05-01,51
춘천시,중앙로,2017-05-02,62
춘천시,석사동,2017-05-02,60
원주시,중앙동,2017-05-02,57
원주시,반곡동,2017-05-02,62
강릉시,옥천동,2017-05-02,46
동해시,천곡동,2017-05-02,32
삼척시,남양동,2017-05-02,32
춘천시,중앙로,2017-05-03,69
춘천시,석사동,2017-05-03,73
원주시,중앙동,2017-05-03,58
원주시,반곡동,2017-05-03,68
강릉시,옥천동,2017-05-03,65
동해시,천곡동,2017-05-03,38
삼척시,남양동,2017-05-03,42
춘천시,중앙로,2017-05-04,63
춘천시,석사동,2017-05-04,64
원주시,중앙동,2017-05-04,64
원주시,반곡동,2017-05-04,76
강릉시,옥천동,2017-05-04,76
동해시,천곡동,2017-05-04,55
삼척시,남양동,2017-05-04,64
춘천시,중앙로,2017-05-05,60
춘천시,석사동,2017-05-05,49
원주시,중앙동,2017-05-05,58
원주시,반곡동,2017-05-05,73
강릉시,옥천동,2017-05-05,70
동해시,천곡동,2017-05-05,57
삼척시,남양동,2017-05-05,72
춘천시,중앙로,2017-05-06,196
춘천시,석사동,2017-05-06,182
원주시,중앙동,2017-05-06,168
원주시,반곡동,2017-05-06,202
강릉시,옥천동,2017-05-06,299
동해시,천곡동,2017-05-06,187
삼척시,남양동,2017-05-06,187
춘천시,중앙로,2017-05-07,97
춘천시,석사동,2017-05-07,89
원주시,중앙동,2017-05-07,94
원주시,반곡동,2017-05-07,112
강릉시,옥천동,2017-05-07,137
동해시,천곡동,2017-05-07,82
삼척시,남양동,2017-05-07,81
춘천시,중앙로,2017-05-08,142
춘천시,석사동,2017-05-08,140
원주시,중앙동,2017-05-08,133
원주시,반곡동,2017-05-08,135
강릉시,옥천동,2017-05-08,121
동해시,천곡동,2017-05-08,93
삼척시,남양동,2017-05-08,92
춘천시,중앙로,2017-05-09,160
춘천시,석사동,2017-05-09,169
원주시,중앙동,2017-05-09,120
원주시,반곡동,2017-05-09,129
강릉시,옥천동,2017-05-09,53
동해시,천곡동,2017-05-09,51
삼척시,남양동,2017-05-09,60
춘천시,중앙로,2017-05-10,31
춘천시,석사동,2017-05-10,29
원주시,중앙동,2017-05-10,36
원주시,반곡동,2017-05-10,38
강릉시,옥천동,2017-05-10,35
동해시,천곡동,2017-05-10,28
삼척시,남양동,2017-05-10,35
춘천시,중앙로,2017-05-11,67
춘천시,석사동,2017-05-11,62
원주시,중앙동,2017-05-11,71
원주시,반곡동,2017-05-11,71
강릉시,옥천동,2017-05-11,60
동해시,천곡동,2017-05-11,60
삼척시,남양동,2017-05-11,62
춘천시,중앙로,2017-05-12,79
춘천시,석사동,2017-05-12,76
원주시,중앙동,2017-05-12,68
원주시,반곡동,2017-05-12,69
강릉시,옥천동,2017-05-12,60
동해시,천곡동,2017-05-12,52
삼척시,남양동,2017-05-12,54
춘천시,중앙로,2017-05-13,55
춘천시,석사동,2017-05-13,49
원주시,중앙동,2017-05-13,49
원주시,반곡동,2017-05-13,52
강릉시,옥천동,2017-05-13,51
동해시,천곡동,2017-05-13,44
삼척시,남양동,2017-05-13,57
춘천시,중앙로,2017-05-14,58
춘천시,석사동,2017-05-14,49
원주시,중앙동,2017-05-14,54
원주시,반곡동,2017-05-14,64
강릉시,옥천동,2017-05-14,53
동해시,천곡동,2017-05-14,46
삼척시,남양동,2017-05-14,47
춘천시,중앙로,2017-05-15,21
춘천시,석사동,2017-05-15,37
원주시,중앙동,2017-05-15,44
원주시,반곡동,2017-05-15,52
강릉시,옥천동,2017-05-15,48
동해시,천곡동,2017-05-15,46
삼척시,남양동,2017-05-15,30
춘천시,중앙로,2017-05-16,21
춘천시,석사동,2017-05-16,30
원주시,중앙동,2017-05-16,21
원주시,반곡동,2017-05-16,40
강릉시,옥천동,2017-05-16,36
동해시,천곡동,2017-05-16,31
삼척시,남양동,2017-05-16,14
춘천시,중앙로,2017-05-17,38
춘천시,석사동,2017-05-17,33
원주시,중앙동,2017-05-17,12
원주시,반곡동,2017-05-17,27
강릉시,옥천동,2017-05-17,35
동해시,천곡동,2017-05-17,12
삼척시,남양동,2017-05-17,37
춘천시,중앙로,2017-05-18,50
춘천시,석사동,2017-05-18,44
원주시,중앙동,2017-05-18,42
원주시,반곡동,2017-05-18,30
강릉시,옥천동,2017-05-18,23
동해시,천곡동,2017-05-18,4
삼척시,남양동,2017-05-18,50
춘천시,중앙로,2017-05-19,56
춘천시,석사동,2017-05-19,49
원주시,중앙동,2017-05-19,49
원주시,반곡동,2017-05-19,57
강릉시,옥천동,2017-05-19,21
동해시,천곡동,2017-05-19,47
삼척시,남양동,2017-05-19,44
춘천시,중앙로,2017-05-20,43
춘천시,석사동,2017-05-20,38
원주시,중앙동,2017-05-20,37
원주시,반곡동,2017-05-20,48
강릉시,옥천동,2017-05-20,51
동해시,천곡동,2017-05-20,80
삼척시,남양동,2017-05-20,44
춘천시,중앙로,2017-05-21,43
춘천시,석사동,2017-05-21,37
원주시,중앙동,2017-05-21,33
원주시,반곡동,2017-05-21,42
강릉시,옥천동,2017-05-21,54
동해시,천곡동,2017-05-21,84
삼척시,남양동,2017-05-21,58
춘천시,중앙로,2017-05-22,49
춘천시,석사동,2017-05-22,44
원주시,중앙동,2017-05-22,39
원주시,반곡동,2017-05-22,45
강릉시,옥천동,2017-05-22,43
동해시,천곡동,2017-05-22,62
삼척시,남양동,2017-05-22,47
춘천시,중앙로,2017-05-23,45
춘천시,석사동,2017-05-23,37
원주시,중앙동,2017-05-23,42
원주시,반곡동,2017-05-23,47
강릉시,옥천동,2017-05-23,34
동해시,천곡동,2017-05-23,62
삼척시,남양동,2017-05-23,45
춘천시,중앙로,2017-05-24,27
춘천시,석사동,2017-05-24,23
원주시,중앙동,2017-05-24,23
원주시,반곡동,2017-05-24,26
강릉시,옥천동,2017-05-24,27
동해시,천곡동,2017-05-24,40
삼척시,남양동,2017-05-24,37
춘천시,중앙로,2017-05-25,38
춘천시,석사동,2017-05-25,30
원주시,중앙동,2017-05-25,37
원주시,반곡동,2017-05-25,47
강릉시,옥천동,2017-05-25,32
동해시,천곡동,2017-05-25,49
삼척시,남양동,2017-05-25,32
춘천시,중앙로,2017-05-26,19
춘천시,석사동,2017-05-26,15
원주시,중앙동,2017-05-26,19
원주시,반곡동,2017-05-26,20
강릉시,옥천동,2017-05-26,23
동해시,천곡동,2017-05-26,25
삼척시,남양동,2017-05-26,20
춘천시,중앙로,2017-05-27,32
춘천시,석사동,2017-05-27,27
원주시,중앙동,2017-05-27,37
원주시,반곡동,2017-05-27,38
강릉시,옥천동,2017-05-27,26
동해시,천곡동,2017-05-27,35
삼척시,남양동,2017-05-27,23
춘천시,중앙로,2017-05-28,52
춘천시,석사동,2017-05-28,45
원주시,중앙동,2017-05-28,47
원주시,반곡동,2017-05-28,52
강릉시,옥천동,2017-05-28,44
동해시,천곡동,2017-05-28,64
삼척시,남양동,2017-05-28,48
춘천시,중앙로,2017-05-29,89
춘천시,석사동,2017-05-29,80
원주시,중앙동,2017-05-29,78
원주시,반곡동,2017-05-29,77
강릉시,옥천동,2017-05-29,53
동해시,천곡동,2017-05-29,114
삼척시,남양동,2017-05-29,83
춘천시,중앙로,2017-05-30,69
춘천시,석사동,2017-05-30,64
원주시,중앙동,2017-05-30,63
원주시,반곡동,2017-05-30,65
강릉시,옥천동,2017-05-30,48
동해시,천곡동,2017-05-30,114
삼척시,남양동,2017-05-30,91
춘천시,중앙로,2017-05-31,47
춘천시,석사동,2017-05-31,44
원주시,중앙동,2017-05-31,52
원주시,반곡동,2017-05-31,54
강릉시,옥천동,2017-05-31,40
동해시,천곡동,2017-05-31,37
삼척시,남양동,2017-05-31,56
