지역,측정소명,날짜,미세먼지 농도
춘천시,중앙로,2019-09-01,18
춘천시,석사동,2019-09-01,20
양구군,양구읍,2019-09-01,16
원주시,중앙동,2019-09-01,35
원주시,반곡동,2019-09-01,23
원주시,문막읍,2019-09-01,19
강릉시,옥천동,2019-09-01,28
동해시,천곡동,2019-09-01,23
삼척시,남양동,2019-09-01,25
평창군,평창읍,2019-09-01,29
정선군,정선읍,2019-09-01,23
횡성군,횡성읍,2019-09-01,25
고성군,상리,2019-09-01,19
양양군,양양읍,2019-09-01,17
속초시,금호동,2019-09-01,22
철원군,갈말읍,2019-09-01,15
홍천군,홍천읍,2019-09-01,23
영월군,영월읍,2019-09-01,26
화천군,화천읍,2019-09-01,19
태백시,황지동,2019-09-01,30
인제군,인제읍,2019-09-01,16
춘천시,중앙로,2019-09-02,24
춘천시,석사동,2019-09-02,26
양구군,양구읍,2019-09-02,22
원주시,중앙동,2019-09-02,34
원주시,반곡동,2019-09-02,24
원주시,문막읍,2019-09-02,20
강릉시,옥천동,2019-09-02,31
동해시,천곡동,2019-09-02,24
삼척시,남양동,2019-09-02,23
평창군,평창읍,2019-09-02,29
정선군,정선읍,2019-09-02,27
횡성군,횡성읍,2019-09-02,23
고성군,상리,2019-09-02,21
양양군,양양읍,2019-09-02,22
속초시,금호동,2019-09-02,27
철원군,갈말읍,2019-09-02,17
홍천군,홍천읍,2019-09-02,23
영월군,영월읍,2019-09-02,28
화천군,화천읍,2019-09-02,19
태백시,황지동,2019-09-02,34
인제군,인제읍,2019-09-02,19
춘천시,중앙로,2019-09-03,20
춘천시,석사동,2019-09-03,20
양구군,양구읍,2019-09-03,23
원주시,중앙동,2019-09-03,31
원주시,반곡동,2019-09-03,19
원주시,문막읍,2019-09-03,16
강릉시,옥천동,2019-09-03,23
동해시,천곡동,2019-09-03,15
삼척시,남양동,2019-09-03,14
평창군,평창읍,2019-09-03,22
정선군,정선읍,2019-09-03,19
횡성군,횡성읍,2019-09-03,17
고성군,상리,2019-09-03,21
양양군,양양읍,2019-09-03,17
속초시,금호동,2019-09-03,26
철원군,갈말읍,2019-09-03,17
홍천군,홍천읍,2019-09-03,20
영월군,영월읍,2019-09-03,20
화천군,화천읍,2019-09-03,19
태백시,황지동,2019-09-03,20
인제군,인제읍,2019-09-03,16
춘천시,중앙로,2019-09-04,8
춘천시,석사동,2019-09-04,11
양구군,양구읍,2019-09-04,10
원주시,중앙동,2019-09-04,63
원주시,반곡동,2019-09-04,10
원주시,문막읍,2019-09-04,10
강릉시,옥천동,2019-09-04,12
동해시,천곡동,2019-09-04,9
삼척시,남양동,2019-09-04,11
평창군,평창읍,2019-09-04,15
정선군,정선읍,2019-09-04,13
횡성군,횡성읍,2019-09-04,12
고성군,상리,2019-09-04,9
양양군,양양읍,2019-09-04,7
속초시,금호동,2019-09-04,11
철원군,갈말읍,2019-09-04,5
홍천군,홍천읍,2019-09-04,12
영월군,영월읍,2019-09-04,16
화천군,화천읍,2019-09-04,21
태백시,황지동,2019-09-04,17
인제군,인제읍,2019-09-04,10
춘천시,중앙로,2019-09-05,12
춘천시,석사동,2019-09-05,13
양구군,양구읍,2019-09-05,12
원주시,중앙동,2019-09-05,25
원주시,반곡동,2019-09-05,12
원주시,문막읍,2019-09-05,12
강릉시,옥천동,2019-09-05,19
동해시,천곡동,2019-09-05,14
삼척시,남양동,2019-09-05,15
평창군,평창읍,2019-09-05,18
정선군,정선읍,2019-09-05,16
횡성군,횡성읍,2019-09-05,12
고성군,상리,2019-09-05,13
양양군,양양읍,2019-09-05,10
속초시,금호동,2019-09-05,15
철원군,갈말읍,2019-09-05,87
홍천군,홍천읍,2019-09-05,11
영월군,영월읍,2019-09-05,20
화천군,화천읍,2019-09-05,11
태백시,황지동,2019-09-05,22
인제군,인제읍,2019-09-05,9
춘천시,중앙로,2019-09-06,17
춘천시,석사동,2019-09-06,16
양구군,양구읍,2019-09-06,15
원주시,중앙동,2019-09-06,32
원주시,반곡동,2019-09-06,18
원주시,문막읍,2019-09-06,18
강릉시,옥천동,2019-09-06,21
동해시,천곡동,2019-09-06,21
삼척시,남양동,2019-09-06,22
평창군,평창읍,2019-09-06,24
정선군,정선읍,2019-09-06,19
횡성군,횡성읍,2019-09-06,21
고성군,상리,2019-09-06,17
양양군,양양읍,2019-09-06,13
속초시,금호동,2019-09-06,16
철원군,갈말읍,2019-09-06,11
홍천군,홍천읍,2019-09-06,16
영월군,영월읍,2019-09-06,21
화천군,화천읍,2019-09-06,19
태백시,황지동,2019-09-06,29
인제군,인제읍,2019-09-06,14
춘천시,중앙로,2019-09-07,21
춘천시,석사동,2019-09-07,15
양구군,양구읍,2019-09-07,15
원주시,중앙동,2019-09-07,65
원주시,반곡동,2019-09-07,13
원주시,문막읍,2019-09-07,16
강릉시,옥천동,2019-09-07,24
동해시,천곡동,2019-09-07,18
삼척시,남양동,2019-09-07,19
평창군,평창읍,2019-09-07,19
정선군,정선읍,2019-09-07,17
횡성군,횡성읍,2019-09-07,13
고성군,상리,2019-09-07,25
양양군,양양읍,2019-09-07,16
속초시,금호동,2019-09-07,34
철원군,갈말읍,2019-09-07,11
홍천군,홍천읍,2019-09-07,17
영월군,영월읍,2019-09-07,21
화천군,화천읍,2019-09-07,17
태백시,황지동,2019-09-07,19
인제군,인제읍,2019-09-07,13
춘천시,중앙로,2019-09-08,28
춘천시,석사동,2019-09-08,27
양구군,양구읍,2019-09-08,23
원주시,중앙동,2019-09-08,31
원주시,반곡동,2019-09-08,19
원주시,문막읍,2019-09-08,19
강릉시,옥천동,2019-09-08,19
동해시,천곡동,2019-09-08,15
삼척시,남양동,2019-09-08,14
평창군,평창읍,2019-09-08,22
정선군,정선읍,2019-09-08,20
횡성군,횡성읍,2019-09-08,24
고성군,상리,2019-09-08,20
양양군,양양읍,2019-09-08,16
속초시,금호동,2019-09-08,23
철원군,갈말읍,2019-09-08,32
홍천군,홍천읍,2019-09-08,28
영월군,영월읍,2019-09-08,18
화천군,화천읍,2019-09-08,28
태백시,황지동,2019-09-08,22
인제군,인제읍,2019-09-08,23
춘천시,중앙로,2019-09-09,34
춘천시,석사동,2019-09-09,33
양구군,양구읍,2019-09-09,31
원주시,중앙동,2019-09-09,40
원주시,반곡동,2019-09-09,27
원주시,문막읍,2019-09-09,27
강릉시,옥천동,2019-09-09,30
동해시,천곡동,2019-09-09,23
삼척시,남양동,2019-09-09,20
평창군,평창읍,2019-09-09,25
정선군,정선읍,2019-09-09,-815
횡성군,횡성읍,2019-09-09,27
고성군,상리,2019-09-09,29
양양군,양양읍,2019-09-09,22
속초시,금호동,2019-09-09,31
철원군,갈말읍,2019-09-09,36
홍천군,홍천읍,2019-09-09,34
영월군,영월읍,2019-09-09,-812
화천군,화천읍,2019-09-09,31
태백시,황지동,2019-09-09,-396
인제군,인제읍,2019-09-09,24
춘천시,중앙로,2019-09-10,12
춘천시,석사동,2019-09-10,11
양구군,양구읍,2019-09-10,13
원주시,중앙동,2019-09-10,69
원주시,반곡동,2019-09-10,18
원주시,문막읍,2019-09-10,27
강릉시,옥천동,2019-09-10,20
동해시,천곡동,2019-09-10,13
삼척시,남양동,2019-09-10,15
평창군,평창읍,2019-09-10,-395
정선군,정선읍,2019-09-10,15
횡성군,횡성읍,2019-09-10,16
고성군,상리,2019-09-10,15
양양군,양양읍,2019-09-10,9
속초시,금호동,2019-09-10,19
철원군,갈말읍,2019-09-10,10
홍천군,홍천읍,2019-09-10,14
영월군,영월읍,2019-09-10,25
화천군,화천읍,2019-09-10,12
태백시,황지동,2019-09-10,27
인제군,인제읍,2019-09-10,12
춘천시,중앙로,2019-09-11,7
춘천시,석사동,2019-09-11,5
양구군,양구읍,2019-09-11,10
원주시,중앙동,2019-09-11,61
원주시,반곡동,2019-09-11,9
원주시,문막읍,2019-09-11,11
강릉시,옥천동,2019-09-11,17
동해시,천곡동,2019-09-11,11
삼척시,남양동,2019-09-11,16
평창군,평창읍,2019-09-11,14
정선군,정선읍,2019-09-11,10
횡성군,횡성읍,2019-09-11,11
고성군,상리,2019-09-11,14
양양군,양양읍,2019-09-11,9
속초시,금호동,2019-09-11,17
철원군,갈말읍,2019-09-11,5
홍천군,홍천읍,2019-09-11,8
영월군,영월읍,2019-09-11,15
화천군,화천읍,2019-09-11,14
태백시,황지동,2019-09-11,16
인제군,인제읍,2019-09-11,6
춘천시,중앙로,2019-09-12,12
춘천시,석사동,2019-09-12,11
양구군,양구읍,2019-09-12,16
원주시,중앙동,2019-09-12,23
원주시,반곡동,2019-09-12,12
원주시,문막읍,2019-09-12,14
강릉시,옥천동,2019-09-12,25
동해시,천곡동,2019-09-12,19
삼척시,남양동,2019-09-12,21
평창군,평창읍,2019-09-12,24
정선군,정선읍,2019-09-12,21
횡성군,횡성읍,2019-09-12,15
고성군,상리,2019-09-12,19
양양군,양양읍,2019-09-12,14
속초시,금호동,2019-09-12,24
철원군,갈말읍,2019-09-12,12
홍천군,홍천읍,2019-09-12,16
영월군,영월읍,2019-09-12,18
화천군,화천읍,2019-09-12,18
태백시,황지동,2019-09-12,24
인제군,인제읍,2019-09-12,12
춘천시,중앙로,2019-09-13,15
춘천시,석사동,2019-09-13,17
양구군,양구읍,2019-09-13,15
원주시,중앙동,2019-09-13,28
원주시,반곡동,2019-09-13,16
원주시,문막읍,2019-09-13,15
강릉시,옥천동,2019-09-13,19
동해시,천곡동,2019-09-13,15
삼척시,남양동,2019-09-13,17
평창군,평창읍,2019-09-13,24
정선군,정선읍,2019-09-13,20
횡성군,횡성읍,2019-09-13,19
고성군,상리,2019-09-13,16
