0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,53,29,21,12,6,18,-9,-14,19,14,21,24,23,28,24,19,17,12,11,12,2,14,22,19,21,18,20,17,23,24,37,27
춘천시,중앙로,65,23,20,9,3,14,28,35,18,17,22,30,25,32,29,20,17,14,12,12,11,16,17,20,25,21,23,19,17,27,43,32
춘천시,석사동,70,23,18,11,7,18,33,37,20,18,25,29,26,31,26,20,21,15,16,16,17,18,19,25,27,23,22,17,18,32,45,30
춘천시,신사우동,52,19,17,11,5,15,25,28,16,13,18,23,20,24,21,15,13,12,11,11,13,13,12,16,18,16,15,14,14,21,32,23
양구군,양구읍,53,17,17,10,5,14,20,29,33,17,18,26,25,23,20,15,14,12,9,11,10,12,13,17,16,15,15,14,12,17,27,23
원주시,중앙동,101,27,25,14,12,63,33,20,17,17,29,65,26,81,24,22,23,18,13,18,100,18,20,28,65,22,62,25,23,29,41,31
원주시,반곡동,73,29,26,12,7,21,35,19,15,13,27,23,25,31,24,20,22,18,12,14,19,20,20,26,24,24,22,26,26,44,53,31
원주시,문막읍,62,23,20,13,6,20,30,13,13,27,24,17,20,27,21,19,17,13,11,13,15,16,20,21,21,20,19,22,20,29,44,25
강릉시,옥천동,90,26,17,16,6,18,107,30,98,12,23,25,26,30,31,30,23,13,14,14,16,19,98,22,26,23,25,19,12,16,26,39
동해시,천곡동,63,22,16,15,11,24,27,22,9,9,29,23,26,32,29,24,21,14,16,16,19,21,16,20,19,21,21,17,14,15,27,35
삼척시,남양동,51,19,13,13,8,17,20,19,9,9,20,18,25,27,33,20,15,10,12,12,14,11,10,16,13,15,17,13,11,14,24,30
평창군,평창읍,67,26,24,16,9,21,28,24,15,16,20,22,23,25,23,17,16,12,10,11,94,10,9,10,10,9,10,12,7,94,27,20
정선군,정선읍,-17,21,22,12,5,15,-813,20,19,15,19,24,21,25,28,21,17,13,10,10,14,16,97,19,17,19,24,21,18,19,36,30
횡성군,횡성읍,51,22,17,7,6,17,31,22,16,13,19,16,18,23,18,14,14,10,8,9,10,12,14,19,18,15,16,16,14,19,34,21
고성군,상리,45,17,10,10,5,9,20,19,9,9,18,20,21,22,22,21,16,10,10,11,9,11,10,14,15,14,15,13,10,11,16,30
양양군,양양읍,43,17,12,10,4,10,20,20,8,8,17,18,22,19,22,18,14,10,11,12,9,10,10,14,15,13,15,13,9,10,16,25
속초시,금호동,63,21,14,14,10,15,24,22,12,9,22,23,23,25,28,24,19,13,14,14,12,12,13,18,19,18,18,16,93,13,21,34
철원군,갈말읍,96,174,21,14,5,18,26,37,23,19,24,29,33,30,25,19,14,11,11,13,15,13,30,23,20,18,16,19,39,37,165,22
홍천군,홍천읍,64,22,93,10,4,15,25,23,16,13,16,18,16,21,20,15,15,10,8,9,11,9,13,16,17,13,12,15,89,20,31,21
영월군,영월읍,56,21,19,11,7,16,24,15,12,13,18,20,22,22,22,18,18,13,11,14,14,18,18,21,20,22,21,17,14,19,32,24
화천군,화천읍,52,20,17,9,5,15,25,31,18,13,19,23,23,24,20,14,14,11,12,11,10,12,12,20,18,15,15,16,13,19,30,21
태백시,황지동,-84,23,18,10,4,9,16,-822,12,10,16,13,14,21,24,17,12,5,6,10,-407,10,11,11,12,12,14,14,10,11,18,22
인제군,인제읍,52,19,15,10,5,13,22,28,18,13,20,23,22,21,22,17,16,14,11,10,10,11,13,18,18,17,17,17,15,16,26,20
