0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,57,22,16,-11,27,33,67,212,408,59,21,-114,-494,-178,33,25,9,9,18,29,24,9,25,31,59,85,22,38,26,16,18,26
춘천시,중앙로,165,20,12,24,23,33,71,276,522,48,19,18,17,29,33,24,3,5,20,30,21,11,26,29,104,88,36,30,22,14,14,24
춘천시,석사동,182,25,18,30,31,37,77,292,542,53,27,25,24,33,41,31,6,8,25,32,24,13,28,31,108,95,40,32,24,20,18,28
춘천시,신사우동,160,20,15,27,25,33,72,264,504,51,19,18,18,28,30,21,5,8,19,26,20,11,26,29,94,79,38,29,20,15,15,23
양구군,양구읍,136,16,15,22,22,30,63,218,433,39,19,16,16,23,26,23,7,10,16,24,18,10,22,26,67,62,32,22,17,12,14,21
원주시,중앙동,202,32,16,27,37,39,65,248,450,90,29,24,23,73,47,30,50,45,20,38,31,10,29,33,127,109,37,153,26,24,24,35
원주시,반곡동,168,27,15,24,34,38,63,260,451,80,24,21,20,32,51,31,8,3,19,33,28,8,26,29,86,101,35,32,24,20,25,34
원주시,문막읍,147,21,12,21,28,34,54,237,376,72,18,17,16,27,46,27,8,4,18,29,24,7,27,27,83,89,29,29,23,20,23,27
강릉시,옥천동,161,25,22,24,29,32,76,190,389,57,25,23,21,107,33,34,12,10,23,33,38,12,30,41,84,80,46,33,24,15,17,28
동해시,천곡동,119,21,27,24,28,26,53,137,279,44,23,22,21,23,26,22,10,9,17,26,25,8,24,35,48,78,34,28,20,12,16,21
삼척시,남양동,109,21,19,21,24,22,59,128,262,48,20,17,15,19,23,19,9,7,15,24,21,9,19,30,41,76,31,25,21,12,14,18
평창군,평창읍,-1671,33,19,-809,35,41,67,191,374,72,34,-2899,-9998,-4561,41,30,12,10,24,38,28,12,29,40,61,86,123,37,33,23,27,40
정선군,정선읍,35,28,14,24,31,38,74,188,489,79,18,17,-816,28,36,28,7,5,18,37,25,8,27,42,-360,87,40,35,32,20,18,30
횡성군,횡성읍,166,29,14,25,30,35,62,252,447,101,22,15,24,28,40,24,6,7,17,38,23,8,26,30,83,95,33,35,30,22,23,34
고성군,상리,120,8,18,19,20,26,77,173,323,36,20,18,16,16,18,18,7,7,12,20,23,9,22,28,91,40,57,24,11,7,14,19
양양군,양양읍,119,14,15,15,21,24,68,173,360,40,19,16,15,15,19,24,7,7,11,22,21,7,18,28,69,50,34,29,14,8,13,18
속초시,금호동,143,9,24,20,23,29,81,189,309,41,19,20,18,19,21,25,9,9,14,30,30,11,23,40,87,128,39,108,13,8,15,23
철원군,갈말읍,174,24,15,111,25,42,80,273,455,45,27,22,22,32,37,30,8,8,20,28,26,11,25,31,109,69,43,32,29,16,16,26
홍천군,홍천읍,174,31,14,28,34,36,65,232,432,67,23,24,20,27,39,25,7,6,17,32,27,11,25,28,90,163,33,31,106,19,16,28
영월군,영월읍,139,24,11,19,26,35,57,178,368,76,16,17,16,24,30,26,8,6,21,30,26,6,33,33,55,78,32,31,24,21,26,33
화천군,화천읍,126,15,14,20,17,30,58,213,381,35,18,15,15,20,26,19,6,7,17,21,18,12,21,24,64,54,34,21,16,13,12,21
태백시,황지동,32,22,13,16,21,26,62,128,309,56,17,15,-403,21,31,14,4,3,14,25,21,3,18,29,47,100,-387,23,18,12,12,29
인제군,인제읍,147,15,16,22,22,38,68,218,512,59,16,16,17,21,25,19,6,9,14,24,19,9,22,26,61,71,36,25,19,13,13,22
