0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,104,40,69,47,38,38,34,42,52,49,38,61,42,34,39,24,24,-80,40,24,32,38,56,41,21,31,31,44,58,54,-23,-
춘천시,중앙로,141,52,65,46,48,53,43,50,63,66,51,97,50,52,47,28,36,51,45,28,41,46,59,32,19,28,32,40,56,48,35,-
춘천시,석사동,149,49,67,43,55,59,46,49,70,72,50,92,52,51,46,32,40,56,46,30,49,48,61,36,22,33,41,47,61,54,37,-
원주시,중앙동,187,69,171,94,50,56,51,85,70,54,52,87,51,51,52,32,28,67,49,24,37,57,97,144,28,32,31,57,90,72,34,-
원주시,반곡동,165,64,80,57,48,56,49,59,75,59,53,90,56,53,54,38,33,68,51,33,41,61,69,41,31,39,35,61,90,72,37,-
강릉시,옥천동,110,26,78,60,49,34,44,34,58,52,38,52,50,26,43,23,18,27,34,18,23,20,45,19,16,25,36,44,47,45,20,-
동해시,천곡동,88,34,48,37,30,26,21,36,40,47,30,36,44,23,32,20,18,27,27,15,18,21,37,16,14,29,25,33,35,41,18,-
삼척시,남양동,86,30,44,40,27,22,22,27,44,40,30,32,37,20,35,23,17,22,30,16,22,18,38,20,17,33,27,31,34,40,20,-
평창군,평창읍,-94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-957,39,24,26,35,45,22,18,28,23,40,53,56,-387,-
