0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,121,46,51,40,68,92,82,49,30,37,34,36,53,50,33,46,48,48,35,30,26,67,70,-117,42,66,66,-12,90,-,-,-
춘천시,중앙로,165,54,64,47,84,83,97,57,33,38,43,41,49,51,46,47,59,54,51,36,50,83,83,59,50,68,64,55,107,-,-,-
춘천시,석사동,182,55,72,54,86,86,99,58,41,40,43,43,56,53,52,46,86,58,55,40,52,89,92,68,60,81,76,68,116,-,-,-
양구군,양구읍,132,48,52,46,72,79,79,45,26,30,33,33,44,39,35,35,46,49,31,25,36,63,59,41,43,54,46,47,89,-,-,-
원주시,중앙동,222,57,69,51,78,126,94,75,36,39,42,44,105,78,53,103,59,69,61,61,143,103,116,79,57,92,135,79,118,-,-,-
원주시,반곡동,192,58,66,47,84,97,98,75,39,44,49,48,70,66,53,64,57,61,59,52,62,101,106,73,50,81,86,71,105,-,-,-
원주시,문막읍,153,41,52,35,63,69,76,57,31,32,44,36,53,49,41,50,50,50,42,40,51,83,84,59,45,75,71,59,91,-,-,-
강릉시,옥천동,125,37,37,27,50,111,88,29,25,28,26,30,47,76,18,43,36,36,20,19,30,49,52,45,38,56,55,38,102,-,-,-
동해시,천곡동,121,36,36,28,51,120,89,37,28,29,30,29,48,40,19,41,38,38,25,16,31,50,49,44,38,55,58,42,64,-,-,-
삼척시,남양동,120,38,33,29,50,116,79,40,28,30,27,30,47,48,24,40,40,39,21,17,33,46,47,47,39,52,55,43,65,-,-,-
평창군,평창읍,156,50,53,53,74,87,73,60,37,36,31,44,53,54,33,53,51,58,44,39,44,67,79,52,44,66,75,53,96,-,-,-
정선군,정선읍,39,50,46,36,61,83,65,52,27,25,21,32,41,43,21,40,36,49,27,27,-387,52,60,38,37,52,58,-382,78,-,-,-
횡성군,횡성읍,158,49,55,56,56,56,56,38,32,33,35,38,56,51,35,50,48,54,43,41,55,86,100,52,43,88,82,72,123,-,-,-
고성군,상리,116,32,47,35,65,106,89,20,26,29,30,30,50,35,22,28,38,34,21,12,32,46,48,40,35,70,42,35,59,-,-,-
양양군,양양읍,106,32,39,27,58,94,84,21,23,25,28,28,42,30,19,25,36,33,19,11,27,44,48,40,30,55,45,33,63,-,-,-
속초시,금호동,132,34,44,35,67,127,102,24,28,71,33,31,52,37,27,37,38,34,23,18,34,51,53,48,39,73,52,40,71,-,-,-
철원군,갈말읍,143,46,59,39,86,78,86,73,29,35,39,40,46,40,36,42,56,44,30,31,51,71,55,27,35,60,47,54,99,-,-,-
홍천군,홍천읍,168,57,61,50,78,90,92,62,33,76,38,45,56,53,43,52,53,57,42,44,44,77,80,54,47,74,75,52,98,-,-,-
영월군,영월읍,162,52,54,42,73,78,72,62,35,37,33,42,57,68,38,53,53,57,43,37,50,81,89,61,43,68,84,58,98,-,-,-
화천군,화천읍,127,45,47,43,73,70,71,50,27,33,32,36,42,36,32,36,48,46,29,26,41,60,53,35,36,52,46,42,86,-,-,-
태백시,황지동,-304,50,38,16,54,94,58,44,24,24,19,27,48,51,18,37,37,38,20,15,33,44,50,-3305,37,57,59,-793,71,-,-,-
