지역,측정소명,날짜,미세먼지 농도
춘천시,중앙로,2022-03-01,40
춘천시,석사동,2022-03-01,35
춘천시,신사우동,2022-03-01,40
양구군,양구읍,2022-03-01,33
원주시,중앙동,2022-03-01,48
원주시,반곡동,2022-03-01,48
원주시,문막읍,2022-03-01,42
원주시,지정면,2022-03-01,35
강릉시,주문진읍,2022-03-01,37
강릉시,옥천동,2022-03-01,36
동해시,천곡동,2022-03-01,27
삼척시,남양동,2022-03-01,25
평창군,평창읍,2022-03-01,45
정선군,정선읍,2022-03-01,50
횡성군,횡성읍,2022-03-01,46
고성군,상리,2022-03-01,27
양양군,양양읍,2022-03-01,27
속초시,금호동,2022-03-01,26
철원군,갈말읍,2022-03-01,40
홍천군,홍천읍,2022-03-01,48
영월군,영월읍,2022-03-01,46
화천군,화천읍,2022-03-01,42
태백시,황지동,2022-03-01,35
인제군,인제읍,2022-03-01,31
춘천시,중앙로,2022-03-02,32
춘천시,석사동,2022-03-02,28
춘천시,신사우동,2022-03-02,36
양구군,양구읍,2022-03-02,28
원주시,중앙동,2022-03-02,32
원주시,반곡동,2022-03-02,33
원주시,문막읍,2022-03-02,29
원주시,지정면,2022-03-02,25
강릉시,주문진읍,2022-03-02,27
강릉시,옥천동,2022-03-02,30
동해시,천곡동,2022-03-02,26
삼척시,남양동,2022-03-02,23
평창군,평창읍,2022-03-02,36
정선군,정선읍,2022-03-02,-799
횡성군,횡성읍,2022-03-02,35
고성군,상리,2022-03-02,21
양양군,양양읍,2022-03-02,22
속초시,금호동,2022-03-02,20
철원군,갈말읍,2022-03-02,29
홍천군,홍천읍,2022-03-02,39
영월군,영월읍,2022-03-02,32
화천군,화천읍,2022-03-02,34
태백시,황지동,2022-03-02,25
인제군,인제읍,2022-03-02,29
춘천시,중앙로,2022-03-03,44
춘천시,석사동,2022-03-03,39
춘천시,신사우동,2022-03-03,46
양구군,양구읍,2022-03-03,32
원주시,중앙동,2022-03-03,50
원주시,반곡동,2022-03-03,51
원주시,문막읍,2022-03-03,41
원주시,지정면,2022-03-03,37
강릉시,주문진읍,2022-03-03,39
강릉시,옥천동,2022-03-03,-299
동해시,천곡동,2022-03-03,34
삼척시,남양동,2022-03-03,29
평창군,평창읍,2022-03-03,40
정선군,정선읍,2022-03-03,53
횡성군,횡성읍,2022-03-03,49
고성군,상리,2022-03-03,33
양양군,양양읍,2022-03-03,37
속초시,금호동,2022-03-03,35
철원군,갈말읍,2022-03-03,43
홍천군,홍천읍,2022-03-03,52
영월군,영월읍,2022-03-03,41
화천군,화천읍,2022-03-03,39
태백시,황지동,2022-03-03,-384
인제군,인제읍,2022-03-03,42
춘천시,중앙로,2022-03-04,76
춘천시,석사동,2022-03-04,74
춘천시,신사우동,2022-03-04,81
양구군,양구읍,2022-03-04,66
원주시,중앙동,2022-03-04,89
원주시,반곡동,2022-03-04,97
원주시,문막읍,2022-03-04,81
원주시,지정면,2022-03-04,68
강릉시,주문진읍,2022-03-04,100
강릉시,옥천동,2022-03-04,95
동해시,천곡동,2022-03-04,85
삼척시,남양동,2022-03-04,69
평창군,평창읍,2022-03-04,78
정선군,정선읍,2022-03-04,91
횡성군,횡성읍,2022-03-04,82
고성군,상리,2022-03-04,78
양양군,양양읍,2022-03-04,80
속초시,금호동,2022-03-04,88
철원군,갈말읍,2022-03-04,76
홍천군,홍천읍,2022-03-04,89
영월군,영월읍,2022-03-04,73
화천군,화천읍,2022-03-04,79
태백시,황지동,2022-03-04,75
인제군,인제읍,2022-03-04,87
춘천시,중앙로,2022-03-05,87
춘천시,석사동,2022-03-05,75
춘천시,신사우동,2022-03-05,99
양구군,양구읍,2022-03-05,72
원주시,중앙동,2022-03-05,104
원주시,반곡동,2022-03-05,101
원주시,문막읍,2022-03-05,88
원주시,지정면,2022-03-05,71
강릉시,주문진읍,2022-03-05,95
강릉시,옥천동,2022-03-05,90
동해시,천곡동,2022-03-05,211
삼척시,남양동,2022-03-05,69
평창군,평창읍,2022-03-05,102
정선군,정선읍,2022-03-05,118
횡성군,횡성읍,2022-03-05,86
고성군,상리,2022-03-05,80
양양군,양양읍,2022-03-05,80
속초시,금호동,2022-03-05,86
철원군,갈말읍,2022-03-05,110
홍천군,홍천읍,2022-03-05,100
영월군,영월읍,2022-03-05,101
화천군,화천읍,2022-03-05,90
태백시,황지동,2022-03-05,99
인제군,인제읍,2022-03-05,87
춘천시,중앙로,2022-03-06,39
춘천시,석사동,2022-03-06,36
춘천시,신사우동,2022-03-06,42
양구군,양구읍,2022-03-06,34
원주시,중앙동,2022-03-06,78
원주시,반곡동,2022-03-06,41
원주시,문막읍,2022-03-06,34
원주시,지정면,2022-03-06,30
강릉시,주문진읍,2022-03-06,38
강릉시,옥천동,2022-03-06,32
동해시,천곡동,2022-03-06,121
삼척시,남양동,2022-03-06,30
평창군,평창읍,2022-03-06,35
정선군,정선읍,2022-03-06,45
횡성군,횡성읍,2022-03-06,38
고성군,상리,2022-03-06,35
양양군,양양읍,2022-03-06,35
속초시,금호동,2022-03-06,34
철원군,갈말읍,2022-03-06,46
홍천군,홍천읍,2022-03-06,42
