지역,측정소명,날짜,미세먼지 농도
태백시,황지동,2020-11-07,42
인제군,인제읍,2020-11-07,59
춘천시,중앙로,2020-11-08,56
춘천시,석사동,2020-11-08,46
춘천시,신사우동,2020-11-08,62
양구군,양구읍,2020-11-08,44
원주시,중앙동,2020-11-08,106
원주시,반곡동,2020-11-08,53
원주시,문막읍,2020-11-08,46
강릉시,옥천동,2020-11-08,63
동해시,천곡동,2020-11-08,44
삼척시,남양동,2020-11-08,45
평창군,평창읍,2020-11-08,62
정선군,정선읍,2020-11-08,71
횡성군,횡성읍,2020-11-08,49
고성군,상리,2020-11-08,55
양양군,양양읍,2020-11-08,52
속초시,금호동,2020-11-08,69
철원군,갈말읍,2020-11-08,66
홍천군,홍천읍,2020-11-08,58
영월군,영월읍,2020-11-08,58
화천군,화천읍,2020-11-08,48
태백시,황지동,2020-11-08,54
인제군,인제읍,2020-11-08,56
춘천시,중앙로,2020-11-09,27
춘천시,석사동,2020-11-09,26
춘천시,신사우동,2020-11-09,29
양구군,양구읍,2020-11-09,20
원주시,중앙동,2020-11-09,29
원주시,반곡동,2020-11-09,26
원주시,문막읍,2020-11-09,24
강릉시,옥천동,2020-11-09,22
동해시,천곡동,2020-11-09,12
삼척시,남양동,2020-11-09,14
평창군,평창읍,2020-11-09,31
정선군,정선읍,2020-11-09,22
횡성군,횡성읍,2020-11-09,23
고성군,상리,2020-11-09,17
양양군,양양읍,2020-11-09,20
속초시,금호동,2020-11-09,23
철원군,갈말읍,2020-11-09,29
홍천군,홍천읍,2020-11-09,32
영월군,영월읍,2020-11-09,20
화천군,화천읍,2020-11-09,23
태백시,황지동,2020-11-09,-2907
인제군,인제읍,2020-11-09,21
춘천시,중앙로,2020-11-10,30
춘천시,석사동,2020-11-10,25
춘천시,신사우동,2020-11-10,28
양구군,양구읍,2020-11-10,21
원주시,중앙동,2020-11-10,109
원주시,반곡동,2020-11-10,29
원주시,문막읍,2020-11-10,27
강릉시,옥천동,2020-11-10,25
동해시,천곡동,2020-11-10,14
삼척시,남양동,2020-11-10,15
평창군,평창읍,2020-11-10,32
정선군,정선읍,2020-11-10,23
횡성군,횡성읍,2020-11-10,24
고성군,상리,2020-11-10,19
양양군,양양읍,2020-11-10,22
속초시,금호동,2020-11-10,25
철원군,갈말읍,2020-11-10,107
홍천군,홍천읍,2020-11-10,97
영월군,영월읍,2020-11-10,24
화천군,화천읍,2020-11-10,22
태백시,황지동,2020-11-10,-4575
인제군,인제읍,2020-11-10,21
춘천시,중앙로,2020-11-11,39
춘천시,석사동,2020-11-11,35
춘천시,신사우동,2020-11-11,33
양구군,양구읍,2020-11-11,24
원주시,중앙동,2020-11-11,77
원주시,반곡동,2020-11-11,42
원주시,문막읍,2020-11-11,37
강릉시,옥천동,2020-11-11,21
동해시,천곡동,2020-11-11,16
