지역,측정소명,날짜,미세먼지 농도
춘천시,중앙로,2018-03-01,34
춘천시,석사동,2018-03-01,36
원주시,중앙동,2018-03-01,25
원주시,반곡동,2018-03-01,37
강릉시,옥천동,2018-03-01,15
동해시,천곡동,2018-03-01,18
삼척시,남양동,2018-03-01,21
평창군,평창읍,2018-03-01,26
춘천시,중앙로,2018-03-02,65
춘천시,석사동,2018-03-02,66
원주시,중앙동,2018-03-02,36
원주시,반곡동,2018-03-02,57
강릉시,옥천동,2018-03-02,30
동해시,천곡동,2018-03-02,38
삼척시,남양동,2018-03-02,34
평창군,평창읍,2018-03-02,46
춘천시,중앙로,2018-03-03,61
춘천시,석사동,2018-03-03,69
원주시,중앙동,2018-03-03,33
원주시,반곡동,2018-03-03,56
강릉시,옥천동,2018-03-03,37
동해시,천곡동,2018-03-03,41
삼척시,남양동,2018-03-03,38
평창군,평창읍,2018-03-03,38
춘천시,중앙로,2018-03-04,26
춘천시,석사동,2018-03-04,24
원주시,중앙동,2018-03-04,24
원주시,반곡동,2018-03-04,41
강릉시,옥천동,2018-03-04,18
동해시,천곡동,2018-03-04,19
삼척시,남양동,2018-03-04,21
평창군,평창읍,2018-03-04,32
춘천시,중앙로,2018-03-05,15
춘천시,석사동,2018-03-05,13
원주시,중앙동,2018-03-05,4
원주시,반곡동,2018-03-05,11
강릉시,옥천동,2018-03-05,13
동해시,천곡동,2018-03-05,19
삼척시,남양동,2018-03-05,20
평창군,평창읍,2018-03-05,9
춘천시,중앙로,2018-03-06,29
춘천시,석사동,2018-03-06,35
원주시,중앙동,2018-03-06,17
원주시,반곡동,2018-03-06,86
강릉시,옥천동,2018-03-06,23
동해시,천곡동,2018-03-06,27
삼척시,남양동,2018-03-06,24
평창군,평창읍,2018-03-06,19
춘천시,중앙로,2018-03-07,35
춘천시,석사동,2018-03-07,34
원주시,중앙동,2018-03-07,16
원주시,반곡동,2018-03-07,33
강릉시,옥천동,2018-03-07,22
동해시,천곡동,2018-03-07,25
삼척시,남양동,2018-03-07,25
평창군,평창읍,2018-03-07,20
춘천시,중앙로,2018-03-08,15
춘천시,석사동,2018-03-08,15
원주시,중앙동,2018-03-08,10
원주시,반곡동,2018-03-08,24
강릉시,옥천동,2018-03-08,8
동해시,천곡동,2018-03-08,8
삼척시,남양동,2018-03-08,10
평창군,평창읍,2018-03-08,11
춘천시,중앙로,2018-03-09,29
춘천시,석사동,2018-03-09,30
원주시,중앙동,2018-03-09,35
원주시,반곡동,2018-03-09,53
강릉시,옥천동,2018-03-09,28
