0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,104,48,48,29,14,-3,9,42,31,26,31,42,31,13,24,33,68,122,30,50,67,-31,54,32,22,20,23,29,59,49,26,-
춘천시,중앙로,115,49,47,25,12,15,26,34,27,24,34,47,31,9,25,34,118,93,28,47,66,64,54,34,19,18,22,28,55,48,19,-
춘천시,석사동,129,55,49,30,15,23,32,36,29,26,41,52,36,12,28,38,114,111,31,51,71,70,58,35,26,22,28,31,62,54,26,-
춘천시,신사우동,123,48,45,26,13,16,27,34,28,28,38,50,32,10,27,39,124,97,28,53,72,79,53,35,20,19,26,30,60,48,22,-
양구군,양구읍,110,46,46,22,13,15,26,33,24,24,31,45,31,9,24,29,101,118,25,46,60,59,48,33,19,17,21,27,53,41,19,-
원주시,중앙동,144,44,43,34,10,16,36,50,30,26,74,52,34,14,27,49,89,118,33,54,78,80,66,36,19,22,62,39,66,64,72,-
원주시,반곡동,117,44,43,32,11,17,35,42,30,27,34,52,27,12,26,34,44,109,31,46,64,71,60,32,19,20,20,33,60,65,28,-
원주시,문막읍,104,37,41,28,9,15,27,37,26,22,31,44,31,13,24,29,47,101,28,42,57,59,57,29,18,18,19,30,48,49,27,-
강릉시,옥천동,150,62,58,34,20,18,29,47,117,31,25,42,39,19,24,32,57,190,35,52,141,60,64,39,32,26,25,28,67,57,28,-
동해시,천곡동,114,58,52,29,19,19,28,39,28,27,24,32,34,20,20,28,40,151,33,42,53,53,49,29,23,22,23,28,61,52,25,-
삼척시,남양동,104,54,46,26,18,18,21,36,27,23,19,25,25,16,19,23,37,137,30,38,54,48,46,30,23,20,20,28,56,48,24,-
평창군,평창읍,126,55,49,37,19,21,35,48,33,30,37,51,34,20,33,40,42,110,35,52,63,72,52,37,27,23,25,33,67,51,28,-
정선군,정선읍,2,58,58,35,13,-402,30,42,26,26,30,37,24,15,29,37,43,151,35,58,63,-701,55,32,22,19,20,27,73,47,21,-
횡성군,횡성읍,116,45,46,30,11,13,29,44,25,23,33,50,30,13,25,37,54,129,30,53,74,73,53,31,18,17,19,28,52,51,29,-
고성군,상리,107,42,53,34,16,13,24,34,24,26,19,32,34,10,20,26,71,135,31,52,56,45,52,29,19,20,18,22,55,39,23,-
양양군,양양읍,104,43,52,26,17,13,20,33,24,25,19,36,32,10,18,25,50,136,30,53,52,50,49,30,24,20,17,22,56,39,23,-
속초시,금호동,120,46,56,31,19,15,24,44,28,27,23,37,40,15,19,31,56,173,31,56,65,47,52,29,26,24,23,30,63,44,24,-
철원군,갈말읍,123,39,47,27,13,14,33,42,29,28,34,40,33,13,29,53,106,53,28,61,78,70,80,34,21,22,30,33,63,49,30,-
홍천군,홍천읍,128,48,48,24,14,16,32,116,28,27,34,49,34,13,27,34,76,141,27,51,68,64,53,36,20,20,20,36,53,45,26,-
영월군,영월읍,103,42,42,31,12,17,29,44,27,24,29,34,24,15,28,33,32,85,30,47,55,54,48,29,19,18,18,25,64,48,25,-
화천군,화천읍,102,39,43,26,13,13,23,33,25,25,31,43,28,10,24,28,91,78,22,45,60,55,48,29,17,16,20,27,46,41,17,-
태백시,황지동,-62,58,50,30,10,15,-395,38,28,24,17,27,16,10,20,26,43,149,32,43,58,-1206,49,29,24,17,14,21,67,49,20,-
인제군,인제읍,105,52,51,20,15,12,22,27,18,24,28,39,26,9,12,14,70,129,26,54,59,59,53,33,18,19,17,30,56,43,19,-
