지역,측정소명,날짜,미세먼지 농도
춘천시,중앙로,2022-06-01,23
춘천시,석사동,2022-06-01,20
춘천시,신사우동,2022-06-01,26
양구군,양구읍,2022-06-01,20
원주시,중앙동,2022-06-01,22
원주시,반곡동,2022-06-01,28
원주시,문막읍,2022-06-01,22
원주시,지정면,2022-06-01,21
강릉시,주문진읍,2022-06-01,26
강릉시,옥천동,2022-06-01,23
동해시,천곡동,2022-06-01,27
삼척시,남양동,2022-06-01,25
평창군,평창읍,2022-06-01,19
정선군,정선읍,2022-06-01,24
횡성군,횡성읍,2022-06-01,22
고성군,상리,2022-06-01,24
양양군,양양읍,2022-06-01,21
속초시,금호동,2022-06-01,24
철원군,갈말읍,2022-06-01,25
홍천군,홍천읍,2022-06-01,18
영월군,영월읍,2022-06-01,22
화천군,화천읍,2022-06-01,23
태백시,황지동,2022-06-01,20
인제군,인제읍,2022-06-01,28
춘천시,중앙로,2022-06-02,27
춘천시,석사동,2022-06-02,24
춘천시,신사우동,2022-06-02,28
양구군,양구읍,2022-06-02,20
원주시,중앙동,2022-06-02,29
원주시,반곡동,2022-06-02,32
원주시,문막읍,2022-06-02,31
원주시,지정면,2022-06-02,27
강릉시,주문진읍,2022-06-02,27
강릉시,옥천동,2022-06-02,24
동해시,천곡동,2022-06-02,28
삼척시,남양동,2022-06-02,24
평창군,평창읍,2022-06-02,17
정선군,정선읍,2022-06-02,24
횡성군,횡성읍,2022-06-02,26
고성군,상리,2022-06-02,24
양양군,양양읍,2022-06-02,21
속초시,금호동,2022-06-02,23
철원군,갈말읍,2022-06-02,27
홍천군,홍천읍,2022-06-02,24
영월군,영월읍,2022-06-02,26
화천군,화천읍,2022-06-02,22
태백시,황지동,2022-06-02,18
인제군,인제읍,2022-06-02,23
춘천시,중앙로,2022-06-03,27
춘천시,석사동,2022-06-03,24
춘천시,신사우동,2022-06-03,27
양구군,양구읍,2022-06-03,17
원주시,중앙동,2022-06-03,41
원주시,반곡동,2022-06-03,39
원주시,문막읍,2022-06-03,30
원주시,지정면,2022-06-03,32
강릉시,주문진읍,2022-06-03,22
강릉시,옥천동,2022-06-03,20
동해시,천곡동,2022-06-03,19
삼척시,남양동,2022-06-03,18
평창군,평창읍,2022-06-03,24
정선군,정선읍,2022-06-03,27
횡성군,횡성읍,2022-06-03,28
고성군,상리,2022-06-03,16
양양군,양양읍,2022-06-03,16
속초시,금호동,2022-06-03,20
철원군,갈말읍,2022-06-03,26
홍천군,홍천읍,2022-06-03,26
영월군,영월읍,2022-06-03,31
화천군,화천읍,2022-06-03,21
태백시,황지동,2022-06-03,31
인제군,인제읍,2022-06-03,22
춘천시,중앙로,2022-06-04,27
춘천시,석사동,2022-06-04,23
춘천시,신사우동,2022-06-04,27
양구군,양구읍,2022-06-04,16
원주시,중앙동,2022-06-04,72
원주시,반곡동,2022-06-04,34
원주시,문막읍,2022-06-04,29
원주시,지정면,2022-06-04,32
강릉시,주문진읍,2022-06-04,22
강릉시,옥천동,2022-06-04,20
동해시,천곡동,2022-06-04,18
삼척시,남양동,2022-06-04,16
평창군,평창읍,2022-06-04,24
정선군,정선읍,2022-06-04,31
횡성군,횡성읍,2022-06-04,31
고성군,상리,2022-06-04,15
양양군,양양읍,2022-06-04,16
속초시,금호동,2022-06-04,19
철원군,갈말읍,2022-06-04,27
홍천군,홍천읍,2022-06-04,23
영월군,영월읍,2022-06-04,26
화천군,화천읍,2022-06-04,21
태백시,황지동,2022-06-04,21
인제군,인제읍,2022-06-04,19
춘천시,중앙로,2022-06-05,26
춘천시,석사동,2022-06-05,17
춘천시,신사우동,2022-06-05,21
양구군,양구읍,2022-06-05,14
원주시,중앙동,2022-06-05,25
원주시,반곡동,2022-06-05,25
원주시,문막읍,2022-06-05,24
원주시,지정면,2022-06-05,25
강릉시,주문진읍,2022-06-05,24
강릉시,옥천동,2022-06-05,20
동해시,천곡동,2022-06-05,23
삼척시,남양동,2022-06-05,17
평창군,평창읍,2022-06-05,15
정선군,정선읍,2022-06-05,23
횡성군,횡성읍,2022-06-05,22
고성군,상리,2022-06-05,16
양양군,양양읍,2022-06-05,17
속초시,금호동,2022-06-05,24
철원군,갈말읍,2022-06-05,20
홍천군,홍천읍,2022-06-05,17
영월군,영월읍,2022-06-05,15
화천군,화천읍,2022-06-05,18
태백시,황지동,2022-06-05,13
인제군,인제읍,2022-06-05,11
춘천시,중앙로,2022-06-06,5
춘천시,석사동,2022-06-06,5
춘천시,신사우동,2022-06-06,5
양구군,양구읍,2022-06-06,4
원주시,중앙동,2022-06-06,12
원주시,반곡동,2022-06-06,11
원주시,문막읍,2022-06-06,10
원주시,지정면,2022-06-06,10
강릉시,주문진읍,2022-06-06,21
강릉시,옥천동,2022-06-06,11
동해시,천곡동,2022-06-06,10
삼척시,남양동,2022-06-06,10
평창군,평창읍,2022-06-06,4
정선군,정선읍,2022-06-06,7
횡성군,횡성읍,2022-06-06,7
고성군,상리,2022-06-06,11
양양군,양양읍,2022-06-06,7
속초시,금호동,2022-06-06,15
철원군,갈말읍,2022-06-06,5
홍천군,홍천읍,2022-06-06,7
영월군,영월읍,2022-06-06,8
화천군,화천읍,2022-06-06,6
태백시,황지동,2022-06-06,3
인제군,인제읍,2022-06-06,4
춘천시,중앙로,2022-06-07,5
춘천시,석사동,2022-06-07,5
춘천시,신사우동,2022-06-07,6
양구군,양구읍,2022-06-07,5
원주시,중앙동,2022-06-07,6
원주시,반곡동,2022-06-07,7
원주시,문막읍,2022-06-07,5
원주시,지정면,2022-06-07,7
강릉시,주문진읍,2022-06-07,24
강릉시,옥천동,2022-06-07,18
동해시,천곡동,2022-06-07,14
삼척시,남양동,2022-06-07,14
평창군,평창읍,2022-06-07,3
정선군,정선읍,2022-06-07,7
횡성군,횡성읍,2022-06-07,6
고성군,상리,2022-06-07,15
양양군,양양읍,2022-06-07,12
속초시,금호동,2022-06-07,15
철원군,갈말읍,2022-06-07,5
홍천군,홍천읍,2022-06-07,5
영월군,영월읍,2022-06-07,7
