지역,측정소명,날짜,미세먼지 농도
춘천시,중앙로,2023-09-01,25
춘천시,신사우동,2023-09-01,20
양구군,양구읍,2023-09-01,15
원주시,중앙동,2023-09-01,28
원주시,반곡동,2023-09-01,23
원주시,문막읍,2023-09-01,22
원주시,지정면,2023-09-01,24
강릉시,주문진읍,2023-09-01,21
강릉시,옥천동,2023-09-01,15
동해시,천곡동,2023-09-01,26
삼척시,남양동,2023-09-01,22
평창군,평창읍,2023-09-01,16
정선군,정선읍,2023-09-01,11
횡성군,횡성읍,2023-09-01,17
고성군,상리,2023-09-01,43
양양군,양양읍,2023-09-01,17
속초시,금호동,2023-09-01,27
철원군,갈말읍,2023-09-01,25
홍천군,홍천읍,2023-09-01,19
영월군,영월읍,2023-09-01,22
화천군,화천읍,2023-09-01,22
태백시,황지동,2023-09-01,8
인제군,인제읍,2023-09-01,17
춘천시,중앙로,2023-09-02,31
춘천시,신사우동,2023-09-02,21
양구군,양구읍,2023-09-02,18
원주시,중앙동,2023-09-02,34
원주시,반곡동,2023-09-02,30
원주시,문막읍,2023-09-02,27
원주시,지정면,2023-09-02,31
강릉시,주문진읍,2023-09-02,27
강릉시,옥천동,2023-09-02,20
동해시,천곡동,2023-09-02,27
삼척시,남양동,2023-09-02,23
평창군,평창읍,2023-09-02,22
정선군,정선읍,2023-09-02,17
횡성군,횡성읍,2023-09-02,21
고성군,상리,2023-09-02,28
양양군,양양읍,2023-09-02,23
속초시,금호동,2023-09-02,31
철원군,갈말읍,2023-09-02,23
홍천군,홍천읍,2023-09-02,22
영월군,영월읍,2023-09-02,20
화천군,화천읍,2023-09-02,22
태백시,황지동,2023-09-02,11
인제군,인제읍,2023-09-02,24
춘천시,중앙로,2023-09-03,22
춘천시,신사우동,2023-09-03,17
양구군,양구읍,2023-09-03,17
원주시,중앙동,2023-09-03,23
원주시,반곡동,2023-09-03,22
원주시,문막읍,2023-09-03,21
원주시,지정면,2023-09-03,24
강릉시,주문진읍,2023-09-03,23
강릉시,옥천동,2023-09-03,21
