0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,11,31,-,-17,27,32,35,62,57,-110,-174,10,7,46,40,40,66,59,47,-195,-210,20,15,25,32,28,34,32,22,22,21,-
춘천시,중앙로,112,27,37,19,27,37,40,72,56,27,30,39,46,58,54,52,70,76,55,13,17,23,19,26,29,34,39,34,22,21,25,-
춘천시,석사동,108,30,35,21,32,35,36,59,46,26,25,35,39,50,45,47,66,62,57,11,13,22,15,23,28,45,50,40,30,28,32,-
춘천시,신사우동,117,32,33,20,27,42,43,80,62,29,28,33,44,63,50,56,71,76,52,13,17,27,19,27,31,36,38,34,27,28,29,-
양구군,양구읍,85,28,24,18,22,26,30,54,44,20,21,24,33,42,37,41,60,64,38,8,14,16,12,22,22,27,23,26,17,18,20,-
원주시,중앙동,138,39,41,21,27,38,50,82,106,29,109,77,42,68,56,54,93,68,44,12,19,22,16,27,31,40,49,44,23,27,26,-
원주시,반곡동,114,29,35,21,26,37,41,63,53,26,29,42,44,58,55,54,85,63,40,12,23,25,17,28,34,36,48,42,24,26,27,-
원주시,문막읍,104,29,34,18,25,31,40,66,46,24,27,37,42,55,47,49,78,58,42,15,19,21,16,24,29,29,36,34,22,24,26,-
강릉시,옥천동,106,29,55,22,100,34,35,57,63,22,25,21,23,40,36,35,74,65,47,14,56,21,12,18,19,20,27,33,22,21,15,-
동해시,천곡동,64,25,47,20,15,22,28,34,44,12,14,16,17,25,27,22,50,47,28,14,8,13,8,13,14,14,19,16,11,8,5,-
삼척시,남양동,63,20,47,20,18,21,28,34,45,14,15,14,16,24,23,21,44,44,28,15,10,15,8,11,12,12,18,20,14,10,9,-
평창군,평창읍,114,34,38,25,27,37,40,72,62,31,32,34,40,51,42,41,68,61,42,16,26,28,22,29,35,34,42,38,30,28,30,-
정선군,정선읍,-10,31,51,-815,22,31,36,66,71,22,23,21,29,42,36,35,66,55,196,-404,21,22,15,25,28,30,32,36,27,27,21,-
횡성군,횡성읍,104,35,32,20,23,28,35,68,49,23,24,33,39,55,46,55,74,66,39,11,17,23,16,24,28,31,38,35,22,24,25,-
고성군,상리,79,34,38,29,23,30,22,50,55,17,19,17,21,32,32,30,70,60,46,13,8,15,10,12,14,15,22,14,15,14,12,-
양양군,양양읍,75,30,39,19,19,26,21,48,52,20,22,17,18,34,31,27,68,57,17,22,11,15,9,13,14,14,22,20,17,17,12,-
속초시,금호동,116,36,47,25,22,38,33,58,69,23,25,24,26,44,42,35,76,78,63,22,13,22,15,18,182,19,27,25,22,19,15,-
철원군,갈말읍,126,41,39,24,32,44,52,86,66,29,107,36,40,52,36,51,57,72,41,13,20,22,25,25,31,40,53,40,30,25,27,-
홍천군,홍천읍,143,47,40,27,31,38,44,77,58,32,97,99,45,56,48,55,84,69,55,14,21,26,20,109,31,36,41,38,30,28,32,-
영월군,영월읍,97,30,26,22,19,37,38,61,58,20,24,26,32,43,38,34,57,46,29,15,15,19,14,24,36,38,43,43,28,25,28,-
화천군,화천읍,84,30,26,18,26,25,31,67,48,23,22,27,32,44,36,36,35,38,38,10,13,17,15,21,18,24,30,25,23,20,19,-
태백시,황지동,-1785,22,-787,16,14,27,24,42,54,-2907,-4575,-486,-538,34,32,26,52,36,19,-4163,-4989,16,11,15,21,21,31,30,18,16,15,-
인제군,인제읍,82,23,30,17,21,24,24,59,56,21,21,24,31,39,37,34,63,46,25,6,13,20,14,19,20,19,26,28,20,19,19,-
