지역,측정소명,날짜,이산화질소 농도
춘천시,중앙로,2017-10-01,0.012
춘천시,석사동,2017-10-01,0.012
원주시,중앙동,2017-10-01,0.020
원주시,반곡동,2017-10-01,0.017
강릉시,옥천동,2017-10-01,0.008
동해시,천곡동,2017-10-01,0.020
삼척시,남양동,2017-10-01,0.017
춘천시,중앙로,2017-10-02,0.008
춘천시,석사동,2017-10-02,0.009
원주시,중앙동,2017-10-02,0.014
원주시,반곡동,2017-10-02,0.011
강릉시,옥천동,2017-10-02,0.010
동해시,천곡동,2017-10-02,0.021
삼척시,남양동,2017-10-02,0.017
춘천시,중앙로,2017-10-03,0.006
춘천시,석사동,2017-10-03,0.004
원주시,중앙동,2017-10-03,0.009
원주시,반곡동,2017-10-03,0.007
강릉시,옥천동,2017-10-03,0.008
동해시,천곡동,2017-10-03,0.013
삼척시,남양동,2017-10-03,0.011
춘천시,중앙로,2017-10-04,0.004
춘천시,석사동,2017-10-04,0.004
원주시,중앙동,2017-10-04,0.008
원주시,반곡동,2017-10-04,0.005
강릉시,옥천동,2017-10-04,0.006
동해시,천곡동,2017-10-04,0.014
삼척시,남양동,2017-10-04,0.008
춘천시,중앙로,2017-10-05,0.007
춘천시,석사동,2017-10-05,0.009
원주시,중앙동,2017-10-05,0.014
원주시,반곡동,2017-10-05,0.009
강릉시,옥천동,2017-10-05,0.012
동해시,천곡동,2017-10-05,0.016
삼척시,남양동,2017-10-05,0.009
춘천시,중앙로,2017-10-06,0.007
춘천시,석사동,2017-10-06,0.006
원주시,중앙동,2017-10-06,0.013
원주시,반곡동,2017-10-06,0.010
강릉시,옥천동,2017-10-06,0.012
동해시,천곡동,2017-10-06,0.019
삼척시,남양동,2017-10-06,0.018
춘천시,중앙로,2017-10-07,0.008
춘천시,석사동,2017-10-07,0.008
원주시,중앙동,2017-10-07,0.013
원주시,반곡동,2017-10-07,0.011
강릉시,옥천동,2017-10-07,0.009
동해시,천곡동,2017-10-07,0.015
삼척시,남양동,2017-10-07,0.014
춘천시,중앙로,2017-10-08,0.009
춘천시,석사동,2017-10-08,0.010
원주시,중앙동,2017-10-08,0.013
원주시,반곡동,2017-10-08,0
강릉시,옥천동,2017-10-08,0.012
동해시,천곡동,2017-10-08,0.017
삼척시,남양동,2017-10-08,0.010
춘천시,중앙로,2017-10-09,0.012
춘천시,석사동,2017-10-09,0.011
원주시,중앙동,2017-10-09,0.017
원주시,반곡동,2017-10-09,0
강릉시,옥천동,2017-10-09,0.011
동해시,천곡동,2017-10-09,0.020
삼척시,남양동,2017-10-09,0.015
춘천시,중앙로,2017-10-10,0.012
춘천시,석사동,2017-10-10,0.010
원주시,중앙동,2017-10-10,0.019
원주시,반곡동,2017-10-10,0.032
강릉시,옥천동,2017-10-10,0.013
동해시,천곡동,2017-10-10,0.014
삼척시,남양동,2017-10-10,0.014
춘천시,중앙로,2017-10-11,0.007
춘천시,석사동,2017-10-11,0.007
원주시,중앙동,2017-10-11,0.015
원주시,반곡동,2017-10-11,0.016
강릉시,옥천동,2017-10-11,0.007
동해시,천곡동,2017-10-11,0.009
삼척시,남양동,2017-10-11,0.013
춘천시,중앙로,2017-10-12,0.013
춘천시,석사동,2017-10-12,0.012
원주시,중앙동,2017-10-12,0.018
원주시,반곡동,2017-10-12,0.016
강릉시,옥천동,2017-10-12,0.009
동해시,천곡동,2017-10-12,0.014
삼척시,남양동,2017-10-12,0.017
춘천시,중앙로,2017-10-13,0.011
춘천시,석사동,2017-10-13,0.014
원주시,중앙동,2017-10-13,0.021
원주시,반곡동,2017-10-13,0.019
강릉시,옥천동,2017-10-13,0.009
동해시,천곡동,2017-10-13,0.010
삼척시,남양동,2017-10-13,0.015
춘천시,중앙로,2017-10-14,0.012
춘천시,석사동,2017-10-14,0.014
원주시,중앙동,2017-10-14,0.017
원주시,반곡동,2017-10-14,0.015
강릉시,옥천동,2017-10-14,0.009
동해시,천곡동,2017-10-14,0.012
삼척시,남양동,2017-10-14,0.010
춘천시,중앙로,2017-10-15,0.010
춘천시,석사동,2017-10-15,0.014
원주시,중앙동,2017-10-15,0.017
원주시,반곡동,2017-10-15,0.015
강릉시,옥천동,2017-10-15,0.009
동해시,천곡동,2017-10-15,0.015
삼척시,남양동,2017-10-15,0.009
춘천시,중앙로,2017-10-16,0.014
춘천시,석사동,2017-10-16,0.018
원주시,중앙동,2017-10-16,0.021
원주시,반곡동,2017-10-16,0.018
강릉시,옥천동,2017-10-16,0.009
동해시,천곡동,2017-10-16,0.020
삼척시,남양동,2017-10-16,0.011
춘천시,중앙로,2017-10-17,0.014
춘천시,석사동,2017-10-17,0.019
원주시,중앙동,2017-10-17,0.021
원주시,반곡동,2017-10-17,0.017
강릉시,옥천동,2017-10-17,0.012
동해시,천곡동,2017-10-17,0.010
삼척시,남양동,2017-10-17,0.011
춘천시,중앙로,2017-10-18,0.016
춘천시,석사동,2017-10-18,0.017
원주시,중앙동,2017-10-18,0.019
원주시,반곡동,2017-10-18,0.016
강릉시,옥천동,2017-10-18,0.016
동해시,천곡동,2017-10-18,0.014
삼척시,남양동,2017-10-18,0.018
춘천시,중앙로,2017-10-19,0.008
춘천시,석사동,2017-10-19,0.012
원주시,중앙동,2017-10-19,0.016
원주시,반곡동,2017-10-19,0.012
강릉시,옥천동,2017-10-19,0.009
동해시,천곡동,2017-10-19,0.017
삼척시,남양동,2017-10-19,0.011
춘천시,중앙로,2017-10-20,0.014
춘천시,석사동,2017-10-20,0.016
원주시,중앙동,2017-10-20,0.020
원주시,반곡동,2017-10-20,0.018
강릉시,옥천동,2017-10-20,0.011
동해시,천곡동,2017-10-20,0.019
삼척시,남양동,2017-10-20,0.010
춘천시,중앙로,2017-10-21,0.015
춘천시,석사동,2017-10-21,0.016
원주시,중앙동,2017-10-21,0.022
원주시,반곡동,2017-10-21,0.020
강릉시,옥천동,2017-10-21,0.010
동해시,천곡동,2017-10-21,0.020
삼척시,남양동,2017-10-21,0.010
춘천시,중앙로,2017-10-22,0.010
춘천시,석사동,2017-10-22,0.008
원주시,중앙동,2017-10-22,0.012
원주시,반곡동,2017-10-22,0.010
강릉시,옥천동,2017-10-22,0.005
동해시,천곡동,2017-10-22,0.005
삼척시,남양동,2017-10-22,0.007
춘천시,중앙로,2017-10-23,0.009
춘천시,석사동,2017-10-23,0.014
원주시,중앙동,2017-10-23,0.021
원주시,반곡동,2017-10-23,0.016
강릉시,옥천동,2017-10-23,0.008
동해시,천곡동,2017-10-23,0.009
삼척시,남양동,2017-10-23,0.009
춘천시,중앙로,2017-10-24,0.017
춘천시,석사동,2017-10-24,0.019
원주시,중앙동,2017-10-24,0.024
원주시,반곡동,2017-10-24,0.021
강릉시,옥천동,2017-10-24,0.013
동해시,천곡동,2017-10-24,0.025
삼척시,남양동,2017-10-24,0.014
춘천시,중앙로,2017-10-25,0.019
춘천시,석사동,2017-10-25,0.021
원주시,중앙동,2017-10-25,0.026
원주시,반곡동,2017-10-25,0.025
강릉시,옥천동,2017-10-25,0.013
동해시,천곡동,2017-10-25,0.025
삼척시,남양동,2017-10-25,0.013
춘천시,중앙로,2017-10-26,0.022
춘천시,석사동,2017-10-26,0.024
원주시,중앙동,2017-10-26,0.032
원주시,반곡동,2017-10-26,0.030
