지역,측정소명,날짜,이산화질소 농도
춘천시,중앙로,2017-12-01,0.021
춘천시,석사동,2017-12-01,0.021
원주시,중앙동,2017-12-01,0.028
원주시,반곡동,2017-12-01,0.023
강릉시,옥천동,2017-12-01,0.011
동해시,천곡동,2017-12-01,0.011
삼척시,남양동,2017-12-01,0.019
춘천시,중앙로,2017-12-02,0.033
춘천시,석사동,2017-12-02,0.030
원주시,중앙동,2017-12-02,0.031
원주시,반곡동,2017-12-02,0.030
강릉시,옥천동,2017-12-02,0.011
동해시,천곡동,2017-12-02,0.017
삼척시,남양동,2017-12-02,0.021
춘천시,중앙로,2017-12-03,0.031
춘천시,석사동,2017-12-03,0.030
원주시,중앙동,2017-12-03,0.029
원주시,반곡동,2017-12-03,0.033
강릉시,옥천동,2017-12-03,0.008
동해시,천곡동,2017-12-03,0.022
삼척시,남양동,2017-12-03,0.022
춘천시,중앙로,2017-12-04,0.017
춘천시,석사동,2017-12-04,0.015
원주시,중앙동,2017-12-04,0.023
원주시,반곡동,2017-12-04,0.021
강릉시,옥천동,2017-12-04,0.010
동해시,천곡동,2017-12-04,0.014
삼척시,남양동,2017-12-04,0.019
춘천시,중앙로,2017-12-05,0.010
춘천시,석사동,2017-12-05,0.014
원주시,중앙동,2017-12-05,0.019
원주시,반곡동,2017-12-05,0.016
강릉시,옥천동,2017-12-05,0.008
동해시,천곡동,2017-12-05,0.007
삼척시,남양동,2017-12-05,0.013
춘천시,중앙로,2017-12-06,0.019
춘천시,석사동,2017-12-06,0.031
원주시,중앙동,2017-12-06,0.029
원주시,반곡동,2017-12-06,0.027
강릉시,옥천동,2017-12-06,0.015
동해시,천곡동,2017-12-06,0.018
삼척시,남양동,2017-12-06,0.019
춘천시,중앙로,2017-12-07,0.013
춘천시,석사동,2017-12-07,0.024
원주시,중앙동,2017-12-07,0.025
원주시,반곡동,2017-12-07,0.022
강릉시,옥천동,2017-12-07,0.021
동해시,천곡동,2017-12-07,0.016
삼척시,남양동,2017-12-07,0.021
춘천시,중앙로,2017-12-08,0.013
춘천시,석사동,2017-12-08,0.021
원주시,중앙동,2017-12-08,0.026
원주시,반곡동,2017-12-08,0.024
강릉시,옥천동,2017-12-08,0.014
동해시,천곡동,2017-12-08,0.009
삼척시,남양동,2017-12-08,0.015
춘천시,중앙로,2017-12-09,0.026
춘천시,석사동,2017-12-09,0.031
원주시,중앙동,2017-12-09,0.029
원주시,반곡동,2017-12-09,0.029
강릉시,옥천동,2017-12-09,0.012
동해시,천곡동,2017-12-09,0.011
삼척시,남양동,2017-12-09,0.019
춘천시,중앙로,2017-12-10,0.023
춘천시,석사동,2017-12-10,0.030
원주시,중앙동,2017-12-10,0.021
원주시,반곡동,2017-12-10,0.022
강릉시,옥천동,2017-12-10,0.011
동해시,천곡동,2017-12-10,0.018
삼척시,남양동,2017-12-10,0.017
춘천시,중앙로,2017-12-11,0.003
춘천시,석사동,2017-12-11,0.009
원주시,중앙동,2017-12-11,0.011
원주시,반곡동,2017-12-11,0.009
강릉시,옥천동,2017-12-11,0.005
동해시,천곡동,2017-12-11,0.005
삼척시,남양동,2017-12-11,0.008
춘천시,중앙로,2017-12-12,0.012
춘천시,석사동,2017-12-12,0.022
원주시,중앙동,2017-12-12,0.019
원주시,반곡동,2017-12-12,0.017
강릉시,옥천동,2017-12-12,0.008
동해시,천곡동,2017-12-12,0.006
삼척시,남양동,2017-12-12,0.011
춘천시,중앙로,2017-12-13,0.027
춘천시,석사동,2017-12-13,0.033
원주시,중앙동,2017-12-13,0.026
원주시,반곡동,2017-12-13,0.028
강릉시,옥천동,2017-12-13,0.012
동해시,천곡동,2017-12-13,0.019
삼척시,남양동,2017-12-13,0.018
춘천시,중앙로,2017-12-14,0.034
춘천시,석사동,2017-12-14,0.037
원주시,중앙동,2017-12-14,0.032
원주시,반곡동,2017-12-14,0.035
강릉시,옥천동,2017-12-14,0.016
동해시,천곡동,2017-12-14,0.034
삼척시,남양동,2017-12-14,0.020
춘천시,중앙로,2017-12-15,0.040
춘천시,석사동,2017-12-15,0.045
원주시,중앙동,2017-12-15,0.036
원주시,반곡동,2017-12-15,0.041
강릉시,옥천동,2017-12-15,0.014
동해시,천곡동,2017-12-15,0.024
삼척시,남양동,2017-12-15,0.023
춘천시,중앙로,2017-12-16,0.011
춘천시,석사동,2017-12-16,0.023
원주시,중앙동,2017-12-16,0.023
원주시,반곡동,2017-12-16,0.023
강릉시,옥천동,2017-12-16,0.013
동해시,천곡동,2017-12-16,0.014
삼척시,남양동,2017-12-16,0.021
춘천시,중앙로,2017-12-17,0.014
춘천시,석사동,2017-12-17,0.021
원주시,중앙동,2017-12-17,0.020
원주시,반곡동,2017-12-17,0.021
강릉시,옥천동,2017-12-17,0.007
동해시,천곡동,2017-12-17,0.007
삼척시,남양동,2017-12-17,0.010
춘천시,중앙로,2017-12-18,0.027
춘천시,석사동,2017-12-18,0.044
원주시,중앙동,2017-12-18,0.029
원주시,반곡동,2017-12-18,0.035
강릉시,옥천동,2017-12-18,0.011
동해시,천곡동,2017-12-18,0.018
삼척시,남양동,2017-12-18,0.019
춘천시,중앙로,2017-12-19,0.023
춘천시,석사동,2017-12-19,0.028
원주시,중앙동,2017-12-19,0.027
원주시,반곡동,2017-12-19,0.029
강릉시,옥천동,2017-12-19,0.010
동해시,천곡동,2017-12-19,0.012
삼척시,남양동,2017-12-19,0.015
춘천시,중앙로,2017-12-20,0.033
춘천시,석사동,2017-12-20,0.037
원주시,중앙동,2017-12-20,0.029
원주시,반곡동,2017-12-20,0.036
강릉시,옥천동,2017-12-20,0.011
동해시,천곡동,2017-12-20,0.022
삼척시,남양동,2017-12-20,0.023
춘천시,중앙로,2017-12-21,0.037
춘천시,석사동,2017-12-21,0.043
원주시,중앙동,2017-12-21,0.033
원주시,반곡동,2017-12-21,0.038
강릉시,옥천동,2017-12-21,0.010
동해시,천곡동,2017-12-21,0.023
삼척시,남양동,2017-12-21,0.025
춘천시,중앙로,2017-12-22,0.039
춘천시,석사동,2017-12-22,0.056
원주시,중앙동,2017-12-22,0.035
원주시,반곡동,2017-12-22,0.045
강릉시,옥천동,2017-12-22,0.010
동해시,천곡동,2017-12-22,0.020
삼척시,남양동,2017-12-22,0.025
춘천시,중앙로,2017-12-23,0.037
춘천시,석사동,2017-12-23,0.052
원주시,중앙동,2017-12-23,0.035
원주시,반곡동,2017-12-23,0.045
강릉시,옥천동,2017-12-23,0.013
동해시,천곡동,2017-12-23,0.035
삼척시,남양동,2017-12-23,0.030
춘천시,중앙로,2017-12-24,0.033
춘천시,석사동,2017-12-24,0.043
원주시,중앙동,2017-12-24,0.023
원주시,반곡동,2017-12-24,0.031
강릉시,옥천동,2017-12-24,0.014
동해시,천곡동,2017-12-24,0.033
삼척시,남양동,2017-12-24,0.033
춘천시,중앙로,2017-12-25,0.012
춘천시,석사동,2017-12-25,0.020
원주시,중앙동,2017-12-25,0.016
원주시,반곡동,2017-12-25,0.018
강릉시,옥천동,2017-12-25,0.006
동해시,천곡동,2017-12-25,0.009
삼척시,남양동,2017-12-25,0.012
춘천시,중앙로,2017-12-26,0.017
춘천시,석사동,2017-12-26,0.020
원주시,중앙동,2017-12-26,0.019
원주시,반곡동,2017-12-26,0.020
강릉시,옥천동,2017-12-26,0.011
동해시,천곡동,2017-12-26,0.010
삼척시,남양동,2017-12-26,0.019
춘천시,중앙로,2017-12-27,0.018
춘천시,석사동,2017-12-27,0.027
원주시,중앙동,2017-12-27,0.022
원주시,반곡동,2017-12-27,0.023
강릉시,옥천동,2017-12-27,0.011
동해시,천곡동,2017-12-27,0.008
삼척시,남양동,2017-12-27,0.014
춘천시,중앙로,2017-12-28,0.040
춘천시,석사동,2017-12-28,0.039
원주시,중앙동,2017-12-28,0.026
원주시,반곡동,2017-12-28,0.033
강릉시,옥천동,2017-12-28,0.017
동해시,천곡동,2017-12-28,0.024
삼척시,남양동,2017-12-28,0.022
춘천시,중앙로,2017-12-29,0.043
춘천시,석사동,2017-12-29,0.045
원주시,중앙동,2017-12-29,0.037
원주시,반곡동,2017-12-29,0.050
강릉시,옥천동,2017-12-29,0.021
동해시,천곡동,2017-12-29,0.021
삼척시,남양동,2017-12-29,0.033
춘천시,중앙로,2017-12-30,0.045
춘천시,석사동,2017-12-30,0.039
원주시,중앙동,2017-12-30,0.032
원주시,반곡동,2017-12-30,0.045
강릉시,옥천동,2017-12-30,0.020
동해시,천곡동,2017-12-30,0.035
삼척시,남양동,2017-12-30,0.025
춘천시,중앙로,2017-12-31,0.018
춘천시,석사동,2017-12-31,0.021
원주시,중앙동,2017-12-31,0.016
원주시,반곡동,2017-12-31,0.021
강릉시,옥천동,2017-12-31,0.010
동해시,천곡동,2017-12-31,0.009
삼척시,남양동,2017-12-31,0.013
