지역,측정소명,날짜,이산화질소 농도
춘천시,중앙로,2020-05-01,0.010
춘천시,석사동,2020-05-01,0.009
춘천시,신사우동,2020-05-01,0.007
원주시,중앙동,2020-05-01,0.011
원주시,문막읍,2020-05-01,0.009
강릉시,옥천동,2020-05-01,0.010
동해시,천곡동,2020-05-01,0.011
삼척시,남양동,2020-05-01,0.012
속초시,금호동,2020-05-01,0.011
태백시,황지동,2020-05-01,0.005
춘천시,중앙로,2020-05-02,0.010
춘천시,석사동,2020-05-02,0.009
춘천시,신사우동,2020-05-02,0.008
원주시,중앙동,2020-05-02,0.010
원주시,문막읍,2020-05-02,0.009
강릉시,옥천동,2020-05-02,0.008
동해시,천곡동,2020-05-02,0.016
삼척시,남양동,2020-05-02,0.009
속초시,금호동,2020-05-02,0.006
태백시,황지동,2020-05-02,0.006
춘천시,중앙로,2020-05-03,0.008
춘천시,석사동,2020-05-03,0.008
춘천시,신사우동,2020-05-03,0.006
원주시,중앙동,2020-05-03,0.011
원주시,문막읍,2020-05-03,0.008
강릉시,옥천동,2020-05-03,0.014
동해시,천곡동,2020-05-03,0.015
삼척시,남양동,2020-05-03,0.011
속초시,금호동,2020-05-03,0.008
태백시,황지동,2020-05-03,0.005
춘천시,중앙로,2020-05-04,0.010
춘천시,석사동,2020-05-04,0.009
춘천시,신사우동,2020-05-04,0.007
원주시,중앙동,2020-05-04,0.013
원주시,문막읍,2020-05-04,0.010
강릉시,옥천동,2020-05-04,0.013
동해시,천곡동,2020-05-04,0.011
삼척시,남양동,2020-05-04,0.008
속초시,금호동,2020-05-04,0.007
태백시,황지동,2020-05-04,0.009
춘천시,중앙로,2020-05-05,0.010
춘천시,석사동,2020-05-05,0.008
춘천시,신사우동,2020-05-05,0.007
원주시,중앙동,2020-05-05,0.013
원주시,문막읍,2020-05-05,0.011
강릉시,옥천동,2020-05-05,0.018
동해시,천곡동,2020-05-05,0.014
삼척시,남양동,2020-05-05,0.011
속초시,금호동,2020-05-05,0.008
태백시,황지동,2020-05-05,0.006
춘천시,중앙로,2020-05-06,0.008
춘천시,석사동,2020-05-06,0.007
춘천시,신사우동,2020-05-06,0.005
원주시,중앙동,2020-05-06,0.010
원주시,문막읍,2020-05-06,0.009
강릉시,옥천동,2020-05-06,0.010
동해시,천곡동,2020-05-06,0.010
삼척시,남양동,2020-05-06,0.006
속초시,금호동,2020-05-06,0.004
태백시,황지동,2020-05-06,0.009
춘천시,중앙로,2020-05-07,0.008
춘천시,석사동,2020-05-07,0.009
춘천시,신사우동,2020-05-07,0.005
원주시,중앙동,2020-05-07,0.010
원주시,문막읍,2020-05-07,0.010
강릉시,옥천동,2020-05-07,0.014
동해시,천곡동,2020-05-07,0.020
삼척시,남양동,2020-05-07,0.011
속초시,금호동,2020-05-07,0.006
태백시,황지동,2020-05-07,0.007
춘천시,중앙로,2020-05-08,0.011
