지역,측정소명,날짜,이산화질소 농도
춘천시,중앙로,2019-06-01,0.012
춘천시,석사동,2019-06-01,0.011
원주시,중앙동,2019-06-01,0.012
원주시,반곡동,2019-06-01,0.011
원주시,문막읍,2019-06-01,0.012
강릉시,옥천동,2019-06-01,0.007
동해시,천곡동,2019-06-01,0.014
삼척시,남양동,2019-06-01,0.010
속초시,금호동,2019-06-01,0.009
태백시,황지동,2019-06-01,0.008
춘천시,중앙로,2019-06-02,0.011
춘천시,석사동,2019-06-02,0.010
원주시,중앙동,2019-06-02,0.011
원주시,반곡동,2019-06-02,0.011
원주시,문막읍,2019-06-02,0.011
강릉시,옥천동,2019-06-02,0.014
동해시,천곡동,2019-06-02,0.021
삼척시,남양동,2019-06-02,0.015
속초시,금호동,2019-06-02,0.011
태백시,황지동,2019-06-02,0.010
춘천시,중앙로,2019-06-03,0.014
춘천시,석사동,2019-06-03,0.015
원주시,중앙동,2019-06-03,0.016
원주시,반곡동,2019-06-03,0.016
원주시,문막읍,2019-06-03,0.016
강릉시,옥천동,2019-06-03,0.017
동해시,천곡동,2019-06-03,0.028
삼척시,남양동,2019-06-03,0.019
속초시,금호동,2019-06-03,0.018
태백시,황지동,2019-06-03,0.012
춘천시,중앙로,2019-06-04,0.016
춘천시,석사동,2019-06-04,0.015
원주시,중앙동,2019-06-04,0.015
원주시,반곡동,2019-06-04,0.013
원주시,문막읍,2019-06-04,0.016
강릉시,옥천동,2019-06-04,0.011
동해시,천곡동,2019-06-04,0.026
삼척시,남양동,2019-06-04,0.020
속초시,금호동,2019-06-04,0.016
태백시,황지동,2019-06-04,0.010
춘천시,중앙로,2019-06-05,0.018
춘천시,석사동,2019-06-05,0.017
원주시,중앙동,2019-06-05,0.013
원주시,반곡동,2019-06-05,0.013
원주시,문막읍,2019-06-05,0.015
강릉시,옥천동,2019-06-05,0.010
동해시,천곡동,2019-06-05,0.007
삼척시,남양동,2019-06-05,0.009
속초시,금호동,2019-06-05,0.004
태백시,황지동,2019-06-05,0.013
춘천시,중앙로,2019-06-06,0.017
춘천시,석사동,2019-06-06,0.017
원주시,중앙동,2019-06-06,0.013
원주시,반곡동,2019-06-06,0.014
원주시,문막읍,2019-06-06,0.014
강릉시,옥천동,2019-06-06,0.011
동해시,천곡동,2019-06-06,0.016
삼척시,남양동,2019-06-06,0.019
속초시,금호동,2019-06-06,0.008
태백시,황지동,2019-06-06,0.013
춘천시,중앙로,2019-06-07,0.010
춘천시,석사동,2019-06-07,0.006
원주시,중앙동,2019-06-07,0.005
원주시,반곡동,2019-06-07,0.005
원주시,문막읍,2019-06-07,0.007
강릉시,옥천동,2019-06-07,0.007
동해시,천곡동,2019-06-07,0.005
삼척시,남양동,2019-06-07,0.008
속초시,금호동,2019-06-07,0.005
태백시,황지동,2019-06-07,0.007
춘천시,중앙로,2019-06-08,0.009
춘천시,석사동,2019-06-08,0.009
원주시,중앙동,2019-06-08,0.009
원주시,반곡동,2019-06-08,0.011
원주시,문막읍,2019-06-08,0.009
강릉시,옥천동,2019-06-08,0.008
동해시,천곡동,2019-06-08,0.007
삼척시,남양동,2019-06-08,0.009
속초시,금호동,2019-06-08,0.007
태백시,황지동,2019-06-08,0.008
춘천시,중앙로,2019-06-09,0.007
춘천시,석사동,2019-06-09,0.006
원주시,중앙동,2019-06-09,0.007
원주시,반곡동,2019-06-09,0.008
원주시,문막읍,2019-06-09,0.008
강릉시,옥천동,2019-06-09,0.007
동해시,천곡동,2019-06-09,0.010
