지역,측정소명,날짜,이산화질소 농도
춘천시,중앙로,2023-02-01,0.022
춘천시,석사동,2023-02-01,0.031
춘천시,신사우동,2023-02-01,0.016
원주시,중앙동,2023-02-01,0.025
원주시,반곡동,2023-02-01,0.020
원주시,문막읍,2023-02-01,0.015
원주시,지정면,2023-02-01,0.013
강릉시,주문진읍,2023-02-01,0.008
강릉시,옥천동,2023-02-01,0.019
동해시,천곡동,2023-02-01,0.013
삼척시,남양동,2023-02-01,0.017
속초시,금호동,2023-02-01,0.008
태백시,황지동,2023-02-01,0.008
춘천시,중앙로,2023-02-02,0.020
춘천시,석사동,2023-02-02,0.025
춘천시,신사우동,2023-02-02,0.011
원주시,중앙동,2023-02-02,0.027
원주시,반곡동,2023-02-02,0.021
원주시,문막읍,2023-02-02,0.018
원주시,지정면,2023-02-02,0.016
강릉시,주문진읍,2023-02-02,0.007
강릉시,옥천동,2023-02-02,0.016
동해시,천곡동,2023-02-02,0.014
삼척시,남양동,2023-02-02,0.014
속초시,금호동,2023-02-02,0.016
태백시,황지동,2023-02-02,1.178
춘천시,중앙로,2023-02-03,0.018
춘천시,석사동,2023-02-03,0.026
춘천시,신사우동,2023-02-03,0.012
원주시,중앙동,2023-02-03,0.031
원주시,반곡동,2023-02-03,0.027
원주시,문막읍,2023-02-03,0.024
원주시,지정면,2023-02-03,0.021
강릉시,주문진읍,2023-02-03,0.007
강릉시,옥천동,2023-02-03,0.018
동해시,천곡동,2023-02-03,0.020
삼척시,남양동,2023-02-03,0.016
속초시,금호동,2023-02-03,0.014
태백시,황지동,2023-02-03,0.015
춘천시,중앙로,2023-02-04,0.020
춘천시,석사동,2023-02-04,0.025
춘천시,신사우동,2023-02-04,0.012
원주시,중앙동,2023-02-04,0.031
원주시,반곡동,2023-02-04,0.023
원주시,문막읍,2023-02-04,0.018
원주시,지정면,2023-02-04,0.018
강릉시,주문진읍,2023-02-04,0.009
강릉시,옥천동,2023-02-04,0.014
동해시,천곡동,2023-02-04,0.013
삼척시,남양동,2023-02-04,0.019
속초시,금호동,2023-02-04,0.009
태백시,황지동,2023-02-04,0.012
춘천시,중앙로,2023-02-05,0.025
춘천시,석사동,2023-02-05,0.031
춘천시,신사우동,2023-02-05,0.017
원주시,중앙동,2023-02-05,0.030
원주시,반곡동,2023-02-05,0.022
원주시,문막읍,2023-02-05,0.019
원주시,지정면,2023-02-05,0.017
강릉시,주문진읍,2023-02-05,0.010
강릉시,옥천동,2023-02-05,0.012
동해시,천곡동,2023-02-05,0.016
삼척시,남양동,2023-02-05,0.015
속초시,금호동,2023-02-05,0.018
태백시,황지동,2023-02-05,0.013
춘천시,중앙로,2023-02-06,0.030
춘천시,석사동,2023-02-06,0.039
춘천시,신사우동,2023-02-06,0.022
원주시,중앙동,2023-02-06,0.040
원주시,반곡동,2023-02-06,0.034
원주시,문막읍,2023-02-06,0.026
원주시,지정면,2023-02-06,0.022
강릉시,주문진읍,2023-02-06,0.017
강릉시,옥천동,2023-02-06,0.024
동해시,천곡동,2023-02-06,0.033
삼척시,남양동,2023-02-06,0.019
속초시,금호동,2023-02-06,0.030
태백시,황지동,2023-02-06,0.017
춘천시,중앙로,2023-02-07,0.035
춘천시,석사동,2023-02-07,0.037
춘천시,신사우동,2023-02-07,0.023
원주시,중앙동,2023-02-07,0.041
원주시,반곡동,2023-02-07,0.035
원주시,문막읍,2023-02-07,0.025
원주시,지정면,2023-02-07,0.024
강릉시,주문진읍,2023-02-07,0.009
강릉시,옥천동,2023-02-07,0.025
동해시,천곡동,2023-02-07,0.020
삼척시,남양동,2023-02-07,0.020
속초시,금호동,2023-02-07,0.013
태백시,황지동,2023-02-07,0.021
춘천시,중앙로,2023-02-08,0.026
춘천시,석사동,2023-02-08,0.029
춘천시,신사우동,2023-02-08,0.016
원주시,중앙동,2023-02-08,0.037
원주시,반곡동,2023-02-08,0.031
원주시,문막읍,2023-02-08,0.027
원주시,지정면,2023-02-08,0.023
강릉시,주문진읍,2023-02-08,0.009
강릉시,옥천동,2023-02-08,0.020
동해시,천곡동,2023-02-08,0.022
삼척시,남양동,2023-02-08,0.017
속초시,금호동,2023-02-08,0.021
태백시,황지동,2023-02-08,0.019
