지역,측정소명,날짜,이산화질소 농도
춘천시,중앙로,2019-07-01,0.019
춘천시,석사동,2019-07-01,0.010
원주시,중앙동,2019-07-01,0.009
원주시,반곡동,2019-07-01,0.008
원주시,문막읍,2019-07-01,0.011
강릉시,옥천동,2019-07-01,0.009
동해시,천곡동,2019-07-01,0.013
삼척시,남양동,2019-07-01,0.012
속초시,금호동,2019-07-01,0.005
태백시,황지동,2019-07-01,0.004
춘천시,중앙로,2019-07-02,0.006
춘천시,석사동,2019-07-02,0.010
원주시,중앙동,2019-07-02,0.010
원주시,반곡동,2019-07-02,0.011
원주시,문막읍,2019-07-02,0.012
강릉시,옥천동,2019-07-02,0.010
동해시,천곡동,2019-07-02,0.015
삼척시,남양동,2019-07-02,0.009
속초시,금호동,2019-07-02,0.006
태백시,황지동,2019-07-02,0.005
춘천시,중앙로,2019-07-03,0.008
춘천시,석사동,2019-07-03,0.011
원주시,중앙동,2019-07-03,0.011
원주시,반곡동,2019-07-03,0.012
원주시,문막읍,2019-07-03,0.011
강릉시,옥천동,2019-07-03,0.012
동해시,천곡동,2019-07-03,0.022
삼척시,남양동,2019-07-03,0.011
속초시,금호동,2019-07-03,0.011
태백시,황지동,2019-07-03,0.007
춘천시,중앙로,2019-07-04,0.007
춘천시,석사동,2019-07-04,0.011
원주시,중앙동,2019-07-04,0.012
원주시,반곡동,2019-07-04,0.014
원주시,문막읍,2019-07-04,0.015
강릉시,옥천동,2019-07-04,0.010
동해시,천곡동,2019-07-04,0.022
삼척시,남양동,2019-07-04,0.011
속초시,금호동,2019-07-04,0.010
태백시,황지동,2019-07-04,0.006
춘천시,중앙로,2019-07-05,0.009
춘천시,석사동,2019-07-05,0.012
원주시,중앙동,2019-07-05,0.015
원주시,반곡동,2019-07-05,0.016
원주시,문막읍,2019-07-05,0.015
강릉시,옥천동,2019-07-05,0.010
동해시,천곡동,2019-07-05,0.011
삼척시,남양동,2019-07-05,0.009
속초시,금호동,2019-07-05,0.007
태백시,황지동,2019-07-05,0.007
춘천시,중앙로,2019-07-06,0.002
춘천시,석사동,2019-07-06,0.005
원주시,중앙동,2019-07-06,0.008
원주시,반곡동,2019-07-06,0.008
원주시,문막읍,2019-07-06,0.010
강릉시,옥천동,2019-07-06,0.006
동해시,천곡동,2019-07-06,0.006
삼척시,남양동,2019-07-06,0.007
속초시,금호동,2019-07-06,0.003
태백시,황지동,2019-07-06,0.006
춘천시,중앙로,2019-07-07,0.001
춘천시,석사동,2019-07-07,0.003
원주시,중앙동,2019-07-07,0.003
원주시,반곡동,2019-07-07,0.004
원주시,문막읍,2019-07-07,0.006
강릉시,옥천동,2019-07-07,0.003
동해시,천곡동,2019-07-07,0.002
삼척시,남양동,2019-07-07,0.004
속초시,금호동,2019-07-07,0.003
태백시,황지동,2019-07-07,0.004
춘천시,중앙로,2019-07-08,0.005
춘천시,석사동,2019-07-08,0.003
원주시,중앙동,2019-07-08,0.005
원주시,반곡동,2019-07-08,0.005
원주시,문막읍,2019-07-08,0.008
강릉시,옥천동,2019-07-08,0.007
동해시,천곡동,2019-07-08,0.003
삼척시,남양동,2019-07-08,0.005
속초시,금호동,2019-07-08,0.004
태백시,황지동,2019-07-08,0.005
춘천시,중앙로,2019-07-09,0.006
춘천시,석사동,2019-07-09,0.003
원주시,중앙동,2019-07-09,0.005
원주시,반곡동,2019-07-09,0.005
원주시,문막읍,2019-07-09,0.008
강릉시,옥천동,2019-07-09,0.006
동해시,천곡동,2019-07-09,0.003
삼척시,남양동,2019-07-09,0.005
속초시,금호동,2019-07-09,0.003
태백시,황지동,2019-07-09,0.004
춘천시,중앙로,2019-07-10,0.006
춘천시,석사동,2019-07-10,0.002
원주시,중앙동,2019-07-10,0.005
원주시,반곡동,2019-07-10,0.004
원주시,문막읍,2019-07-10,0.008
강릉시,옥천동,2019-07-10,0.007
동해시,천곡동,2019-07-10,0.005
삼척시,남양동,2019-07-10,0.011
속초시,금호동,2019-07-10,0.003
태백시,황지동,2019-07-10,0.005
춘천시,중앙로,2019-07-11,0.004
