지역,측정소명,날짜,이산화질소 농도
춘천시,중앙로,2021-09-01,0.005
춘천시,석사동,2021-09-01,0.004
춘천시,신사우동,2021-09-01,0.003
원주시,중앙동,2021-09-01,0.008
원주시,반곡동,2021-09-01,0.009
원주시,문막읍,2021-09-01,0.007
원주시,지정면,2021-09-01,0
강릉시,옥천동,2021-09-01,0.011
동해시,천곡동,2021-09-01,0.005
삼척시,남양동,2021-09-01,0.007
속초시,금호동,2021-09-01,0.006
태백시,황지동,2021-09-01,0.006
춘천시,중앙로,2021-09-02,0.005
춘천시,석사동,2021-09-02,0.004
춘천시,신사우동,2021-09-02,0.003
원주시,중앙동,2021-09-02,0.009
원주시,반곡동,2021-09-02,0.009
원주시,문막읍,2021-09-02,0.008
원주시,지정면,2021-09-02,0.008
강릉시,옥천동,2021-09-02,0.010
동해시,천곡동,2021-09-02,0.007
삼척시,남양동,2021-09-02,0.006
속초시,금호동,2021-09-02,0.005
태백시,황지동,2021-09-02,0.004
춘천시,중앙로,2021-09-03,0.005
춘천시,석사동,2021-09-03,0.002
춘천시,신사우동,2021-09-03,0.002
원주시,중앙동,2021-09-03,0.007
원주시,반곡동,2021-09-03,0.007
원주시,문막읍,2021-09-03,0.007
원주시,지정면,2021-09-03,0.004
강릉시,옥천동,2021-09-03,0.009
동해시,천곡동,2021-09-03,0.008
삼척시,남양동,2021-09-03,0.005
속초시,금호동,2021-09-03,0.005
태백시,황지동,2021-09-03,0.004
춘천시,중앙로,2021-09-04,0.004
춘천시,석사동,2021-09-04,0.003
춘천시,신사우동,2021-09-04,0.002
원주시,중앙동,2021-09-04,0.006
원주시,반곡동,2021-09-04,0.006
원주시,문막읍,2021-09-04,0.007
원주시,지정면,2021-09-04,0.004
강릉시,옥천동,2021-09-04,0.008
동해시,천곡동,2021-09-04,0.005
삼척시,남양동,2021-09-04,0.006
속초시,금호동,2021-09-04,0.004
태백시,황지동,2021-09-04,0.004
춘천시,중앙로,2021-09-05,0.003
춘천시,석사동,2021-09-05,0.003
춘천시,신사우동,2021-09-05,0.002
원주시,중앙동,2021-09-05,0.004
원주시,반곡동,2021-09-05,0.005
원주시,문막읍,2021-09-05,0.007
원주시,지정면,2021-09-05,0.003
강릉시,옥천동,2021-09-05,0.006
동해시,천곡동,2021-09-05,0.004
삼척시,남양동,2021-09-05,0.004
속초시,금호동,2021-09-05,0.004
태백시,황지동,2021-09-05,0.003
춘천시,중앙로,2021-09-06,0.006
춘천시,석사동,2021-09-06,0.003
춘천시,신사우동,2021-09-06,0.003
원주시,중앙동,2021-09-06,0.008
원주시,반곡동,2021-09-06,0.006
원주시,문막읍,2021-09-06,0.009
원주시,지정면,2021-09-06,0.005
강릉시,옥천동,2021-09-06,0.010
동해시,천곡동,2021-09-06,0.006
삼척시,남양동,2021-09-06,0.006
속초시,금호동,2021-09-06,0.005
태백시,황지동,2021-09-06,0.003
춘천시,중앙로,2021-09-07,0.007
춘천시,석사동,2021-09-07,0.006
춘천시,신사우동,2021-09-07,0.004
원주시,중앙동,2021-09-07,0.011
원주시,반곡동,2021-09-07,0.010
원주시,문막읍,2021-09-07,0.012
원주시,지정면,2021-09-07,0.008
강릉시,옥천동,2021-09-07,0.014
동해시,천곡동,2021-09-07,0.012
삼척시,남양동,2021-09-07,0.011
속초시,금호동,2021-09-07,0.005
태백시,황지동,2021-09-07,0.004
춘천시,중앙로,2021-09-08,0.005
춘천시,석사동,2021-09-08,0.007
춘천시,신사우동,2021-09-08,0.004
원주시,중앙동,2021-09-08,0.009
원주시,반곡동,2021-09-08,0.007
원주시,문막읍,2021-09-08,0.008
원주시,지정면,2021-09-08,0.005
강릉시,옥천동,2021-09-08,0.008
동해시,천곡동,2021-09-08,0.008
삼척시,남양동,2021-09-08,0.007
속초시,금호동,2021-09-08,0.004
태백시,황지동,2021-09-08,1.172
춘천시,중앙로,2021-09-09,0.005
춘천시,석사동,2021-09-09,0.008
춘천시,신사우동,2021-09-09,0.004
원주시,중앙동,2021-09-09,0.011
원주시,반곡동,2021-09-09,0.010
원주시,문막읍,2021-09-09,0.007
원주시,지정면,2021-09-09,0.006
강릉시,옥천동,2021-09-09,0.013
동해시,천곡동,2021-09-09,0.015
삼척시,남양동,2021-09-09,0.008
속초시,금호동,2021-09-09,0.007
태백시,황지동,2021-09-09,0.004
춘천시,중앙로,2021-09-10,0.008
춘천시,석사동,2021-09-10,0.010
춘천시,신사우동,2021-09-10,0.005
원주시,중앙동,2021-09-10,0.011
원주시,반곡동,2021-09-10,0.009
원주시,문막읍,2021-09-10,0.008
원주시,지정면,2021-09-10,0.008
강릉시,옥천동,2021-09-10,0.014
동해시,천곡동,2021-09-10,0.014
삼척시,남양동,2021-09-10,0.009
속초시,금호동,2021-09-10,0.008
태백시,황지동,2021-09-10,0.006
춘천시,중앙로,2021-09-11,0.006
춘천시,석사동,2021-09-11,0.008
춘천시,신사우동,2021-09-11,0.004
원주시,중앙동,2021-09-11,0.009
원주시,반곡동,2021-09-11,0.008
원주시,문막읍,2021-09-11,0.007
원주시,지정면,2021-09-11,0.007
강릉시,옥천동,2021-09-11,0.010
동해시,천곡동,2021-09-11,0.013
삼척시,남양동,2021-09-11,0.008
속초시,금호동,2021-09-11,0.008
태백시,황지동,2021-09-11,0.005
춘천시,중앙로,2021-09-12,0.006
춘천시,석사동,2021-09-12,0.008
춘천시,신사우동,2021-09-12,0.003
원주시,중앙동,2021-09-12,0.007
원주시,반곡동,2021-09-12,0.007
원주시,문막읍,2021-09-12,0.006
원주시,지정면,2021-09-12,0.005
강릉시,옥천동,2021-09-12,0.009
동해시,천곡동,2021-09-12,0.011
삼척시,남양동,2021-09-12,0.007
속초시,금호동,2021-09-12,0.005
태백시,황지동,2021-09-12,0.005
춘천시,중앙로,2021-09-13,0.006
춘천시,석사동,2021-09-13,0.010
춘천시,신사우동,2021-09-13,0.004
원주시,중앙동,2021-09-13,0.011
원주시,반곡동,2021-09-13,0.009
원주시,문막읍,2021-09-13,0.009
원주시,지정면,2021-09-13,0.008
강릉시,옥천동,2021-09-13,0.011
동해시,천곡동,2021-09-13,0.005
삼척시,남양동,2021-09-13,0.005
속초시,금호동,2021-09-13,0.006
태백시,황지동,2021-09-13,0.004
춘천시,중앙로,2021-09-14,0.005
춘천시,석사동,2021-09-14,0.004
춘천시,신사우동,2021-09-14,0.003
원주시,중앙동,2021-09-14,0.009
원주시,반곡동,2021-09-14,0.009
원주시,문막읍,2021-09-14,0.010
원주시,지정면,2021-09-14,0.007
강릉시,옥천동,2021-09-14,0.012
동해시,천곡동,2021-09-14,0.003
삼척시,남양동,2021-09-14,0.003
속초시,금호동,2021-09-14,0.007
태백시,황지동,2021-09-14,0.005
춘천시,중앙로,2021-09-15,0.005
춘천시,석사동,2021-09-15,0.004
춘천시,신사우동,2021-09-15,0.003
원주시,중앙동,2021-09-15,0.007
원주시,반곡동,2021-09-15,0.006
원주시,문막읍,2021-09-15,0.010
원주시,지정면,2021-09-15,0.006
강릉시,옥천동,2021-09-15,0.011
동해시,천곡동,2021-09-15,0.003
삼척시,남양동,2021-09-15,0.004
속초시,금호동,2021-09-15,0.005
태백시,황지동,2021-09-15,0.003
춘천시,중앙로,2021-09-16,0.005
춘천시,석사동,2021-09-16,0.005
춘천시,신사우동,2021-09-16,0.003
원주시,중앙동,2021-09-16,0.010
원주시,반곡동,2021-09-16,0.009
원주시,문막읍,2021-09-16,0.009
원주시,지정면,2021-09-16,0.008
강릉시,옥천동,2021-09-16,0.010
동해시,천곡동,2021-09-16,0.009
삼척시,남양동,2021-09-16,0.005
속초시,금호동,2021-09-16,0.006
태백시,황지동,2021-09-16,0.005
춘천시,중앙로,2021-09-17,0.005
춘천시,석사동,2021-09-17,0.004
춘천시,신사우동,2021-09-17,0.004
원주시,중앙동,2021-09-17,0.009
원주시,반곡동,2021-09-17,0.007
원주시,문막읍,2021-09-17,0.009
