지역,측정소명,날짜,이산화질소 농도
춘천시,중앙로,2017-03-01,0.023
춘천시,석사동,2017-03-01,0.030
원주시,중앙동,2017-03-01,0.029
원주시,반곡동,2017-03-01,0.029
강릉시,옥천동,2017-03-01,0.018
동해시,천곡동,2017-03-01,0.019
삼척시,남양동,2017-03-01,0.019
춘천시,중앙로,2017-03-02,0.011
춘천시,석사동,2017-03-02,0.017
원주시,중앙동,2017-03-02,0.023
원주시,반곡동,2017-03-02,0.019
강릉시,옥천동,2017-03-02,0.017
동해시,천곡동,2017-03-02,0.021
삼척시,남양동,2017-03-02,0.019
춘천시,중앙로,2017-03-03,0.020
춘천시,석사동,2017-03-03,0.024
원주시,중앙동,2017-03-03,0.032
원주시,반곡동,2017-03-03,0.031
강릉시,옥천동,2017-03-03,0.014
동해시,천곡동,2017-03-03,0.017
삼척시,남양동,2017-03-03,0.018
춘천시,중앙로,2017-03-04,0.020
춘천시,석사동,2017-03-04,0.026
원주시,중앙동,2017-03-04,0.031
원주시,반곡동,2017-03-04,0.032
강릉시,옥천동,2017-03-04,0.017
동해시,천곡동,2017-03-04,0.021
삼척시,남양동,2017-03-04,0.015
춘천시,중앙로,2017-03-05,0.019
춘천시,석사동,2017-03-05,0.022
원주시,중앙동,2017-03-05,0.026
원주시,반곡동,2017-03-05,0.025
강릉시,옥천동,2017-03-05,0.018
동해시,천곡동,2017-03-05,0.030
삼척시,남양동,2017-03-05,0.016
춘천시,중앙로,2017-03-06,0.006
춘천시,석사동,2017-03-06,0.010
원주시,중앙동,2017-03-06,0.016
원주시,반곡동,2017-03-06,0.012
강릉시,옥천동,2017-03-06,0.010
동해시,천곡동,2017-03-06,0.008
삼척시,남양동,2017-03-06,0.008
춘천시,중앙로,2017-03-07,0.005
춘천시,석사동,2017-03-07,0.008
원주시,중앙동,2017-03-07,0.018
원주시,반곡동,2017-03-07,0.012
강릉시,옥천동,2017-03-07,0.008
동해시,천곡동,2017-03-07,0.006
삼척시,남양동,2017-03-07,0.008
춘천시,중앙로,2017-03-08,0.007
춘천시,석사동,2017-03-08,0.012
원주시,중앙동,2017-03-08,0.019
원주시,반곡동,2017-03-08,0.014
