ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Àü¿î·®(1/10),Æò±Õ ÁßÇÏÃþ¿î·®(1/10)
105,°­¸ª,2017-09-04,22.9,,
105,°­¸ª,2017-09-05,20.8,,
105,°­¸ª,2017-09-06,22.2,,
105,°­¸ª,2017-09-07,23.5,,
105,°­¸ª,2017-09-08,25.0,,
105,°­¸ª,2017-09-09,24.6,,
105,°­¸ª,2017-09-10,23.3,,
105,°­¸ª,2017-09-11,19.0,,
105,°­¸ª,2017-09-12,22.1,,
105,°­¸ª,2017-09-13,20.5,,
105,°­¸ª,2017-09-14,20.2,,
105,°­¸ª,2017-09-15,19.9,,
105,°­¸ª,2017-09-16,19.6,,
105,°­¸ª,2017-09-17,18.4,,
105,°­¸ª,2017-09-18,22.0,,
105,°­¸ª,2017-09-19,22.4,,
105,°­¸ª,2017-09-20,20.8,,
105,°­¸ª,2017-09-21,20.0,,
105,°­¸ª,2017-09-22,20.6,,
105,°­¸ª,2017-09-23,21.9,,
105,°­¸ª,2017-09-24,22.5,,
105,°­¸ª,2017-09-25,22.3,,
105,°­¸ª,2017-09-26,22.5,,
105,°­¸ª,2017-09-27,20.5,,
105,°­¸ª,2017-09-28,20.1,,
105,°­¸ª,2017-09-29,18.1,,
105,°­¸ª,2017-09-30,21.9,,
105,°­¸ª,2017-10-01,20.2,,
105,°­¸ª,2017-10-02,17.8,,
105,°­¸ª,2017-10-03,14.7,,
105,°­¸ª,2017-10-04,15.1,,
105,°­¸ª,2017-10-05,16.3,,
105,°­¸ª,2017-10-06,15.5,,
105,°­¸ª,2017-10-07,17.9,,
105,°­¸ª,2017-10-08,19.7,,
105,°­¸ª,2017-10-09,21.1,,
105,°­¸ª,2017-10-10,18.1,,
105,°­¸ª,2017-10-11,15.5,,
105,°­¸ª,2017-10-12,13.5,,
105,°­¸ª,2017-10-13,12.4,,
105,°­¸ª,2017-10-14,13.2,,
105,°­¸ª,2017-10-15,14.0,,
105,°­¸ª,2017-10-16,15.0,,
105,°­¸ª,2017-10-17,15.2,,
105,°­¸ª,2017-10-18,13.8,,
105,°­¸ª,2017-10-19,14.4,,
105,°­¸ª,2017-10-20,15.3,,
105,°­¸ª,2017-10-21,15.1,,
105,°­¸ª,2017-10-22,14.0,,
105,°­¸ª,2017-10-23,12.3,,
105,°­¸ª,2017-10-24,11.6,,
105,°­¸ª,2017-10-25,14.5,,
105,°­¸ª,2017-10-26,15.1,,
105,°­¸ª,2017-10-27,15.7,,
105,°­¸ª,2017-10-28,16.0,,
105,°­¸ª,2017-10-29,13.9,,
