¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’±‚ø¬(°∆C),∆Ú±’ ¿¸øÓ∑Æ(1/10),∆Ú±’ ¡ﬂ«œ√˛øÓ∑Æ(1/10)
101,√·√µ,2017-05-26,16.3,,
101,√·√µ,2017-05-27,19.3,,
101,√·√µ,2017-05-28,20.7,,
101,√·√µ,2017-05-29,23.8,,
101,√·√µ,2017-05-30,22.6,,
101,√·√µ,2017-05-31,20.8,,
101,√·√µ,2017-06-01,21.3,,
101,√·√µ,2017-06-02,20.1,,
101,√·√µ,2017-06-03,20.9,,
101,√·√µ,2017-06-04,20.7,,
101,√·√µ,2017-06-05,21.9,,
101,√·√µ,2017-06-06,18.3,,
101,√·√µ,2017-06-07,17.2,,
101,√·√µ,2017-06-08,20.7,,
101,√·√µ,2017-06-09,20.7,,
101,√·√µ,2017-06-10,21.2,,
101,√·√µ,2017-06-11,20.0,,
101,√·√µ,2017-06-12,20.1,,
101,√·√µ,2017-06-13,18.7,,
101,√·√µ,2017-06-14,21.0,,
101,√·√µ,2017-06-15,23.5,,
101,√·√µ,2017-06-16,24.8,,
101,√·√µ,2017-06-17,25.3,,
101,√·√µ,2017-06-18,25.9,,
101,√·√µ,2017-06-19,25.1,,
101,√·√µ,2017-06-20,26.1,,
101,√·√µ,2017-06-21,25.4,,
101,√·√µ,2017-06-22,24.5,,
101,√·√µ,2017-06-23,26.8,,
101,√·√µ,2017-06-24,24.5,,
101,√·√µ,2017-06-25,22.5,,
101,√·√µ,2017-06-26,23.5,,
101,√·√µ,2017-06-27,24.8,,
101,√·√µ,2017-06-28,25.7,,
101,√·√µ,2017-06-29,26.3,,
101,√·√µ,2017-06-30,26.0,,
101,√·√µ,2017-07-01,25.0,,
101,√·√µ,2017-07-02,24.2,,
101,√·√µ,2017-07-03,24.9,,
101,√·√µ,2017-07-04,27.1,,
101,√·√µ,2017-07-05,27.2,,
101,√·√µ,2017-07-06,27.3,,
101,√·√µ,2017-07-07,26.5,,
101,√·√µ,2017-07-08,26.2,,
101,√·√µ,2017-07-09,27.3,,
101,√·√µ,2017-07-10,24.5,,
101,√·√µ,2017-07-11,26.2,,
101,√·√µ,2017-07-12,27.3,,
101,√·√µ,2017-07-13,27.2,,
101,√·√µ,2017-07-14,27.0,,
101,√·√µ,2017-07-15,25.6,,
101,√·√µ,2017-07-16,26.1,,
101,√·√µ,2017-07-17,27.1,,
101,√·√µ,2017-07-18,27.0,,
101,√·√µ,2017-07-19,28.1,,
101,√·√µ,2017-07-20,29.5,,
101,√·√µ,2017-07-21,29.5,,
101,√·√µ,2017-07-22,27.3,,
101,√·√µ,2017-07-23,26.3,,
101,√·√µ,2017-07-24,26.6,,
101,√·√µ,2017-07-25,27.8,,
101,√·√µ,2017-07-26,26.9,,
101,√·√µ,2017-07-27,25.7,,
101,√·√µ,2017-07-28,24.6,,
101,√·√µ,2017-07-29,26.1,,
101,√·√µ,2017-07-30,26.4,,
101,√·√µ,2017-07-31,25.1,,
101,√·√µ,2017-08-01,27.9,,
101,√·√µ,2017-08-02,28.8,,
101,√·√µ,2017-08-03,28.5,,
101,√·√µ,2017-08-04,28.4,,
101,√·√µ,2017-08-05,29.6,,
101,√·√µ,2017-08-06,28.6,,
101,√·√µ,2017-08-07,28.6,,
101,√·√µ,2017-08-08,26.6,,
101,√·√µ,2017-08-09,26.0,,
101,√·√µ,2017-08-10,24.0,,
101,√·√µ,2017-08-11,25.3,,
101,√·√µ,2017-08-12,25.4,,
101,√·√µ,2017-08-13,24.7,,
101,√·√µ,2017-08-14,24.0,,
101,√·√µ,2017-08-15,21.8,,
101,√·√µ,2017-08-16,22.7,,
101,√·√µ,2017-08-17,23.2,,
101,√·√µ,2017-08-18,24.7,,
101,√·√µ,2017-08-19,24.6,,
101,√·√µ,2017-08-20,22.9,,
101,√·√µ,2017-08-21,24.2,,
101,√·√µ,2017-08-22,25.8,,
101,√·√µ,2017-08-23,25.1,,
101,√·√µ,2017-08-24,26.1,,
101,√·√µ,2017-08-25,24.1,,
101,√·√µ,2017-08-26,21.1,,
101,√·√µ,2017-08-27,20.2,,
101,√·√µ,2017-08-28,20.2,,
101,√·√µ,2017-08-29,19.9,,
101,√·√µ,2017-08-30,17.5,,
101,√·√µ,2017-08-31,19.5,,
101,√·√µ,2017-09-01,20.4,,
101,√·√µ,2017-09-02,20.9,,
101,√·√µ,2017-09-03,20.9,,
101,√·√µ,2017-09-04,21.6,,
101,√·√µ,2017-09-05,19.7,,
101,√·√µ,2017-09-06,19.8,,
101,√·√µ,2017-09-07,21.7,,
101,√·√µ,2017-09-08,22.1,,
101,√·√µ,2017-09-09,21.5,,
101,√·√µ,2017-09-10,21.9,,
101,√·√µ,2017-09-11,19.8,,
101,√·√µ,2017-09-12,19.6,,
101,√·√µ,2017-09-13,18.5,,
101,√·√µ,2017-09-14,18.8,,
101,√·√µ,2017-09-15,19.4,,
101,√·√µ,2017-09-16,18.9,,
101,√·√µ,2017-09-17,19.9,,
101,√·√µ,2017-09-18,19.2,,
101,√·√µ,2017-09-19,18.2,,
101,√·√µ,2017-09-20,17.2,,
101,√·√µ,2017-09-21,16.5,,
101,√·√µ,2017-09-22,17.6,,
101,√·√µ,2017-09-23,19.3,,
101,√·√µ,2017-09-24,20.4,,
101,√·√µ,2017-09-25,20.1,,
101,√·√µ,2017-09-26,21.1,,
101,√·√µ,2017-09-27,20.6,,
101,√·√µ,2017-09-28,18.6,,
101,√·√µ,2017-09-29,13.5,,
101,√·√µ,2017-09-30,16.3,,
101,√·√µ,2017-10-01,16.4,,
101,√·√µ,2017-10-02,19.5,,
101,√·√µ,2017-10-03,16.7,,
101,√·√µ,2017-10-04,15.1,,
101,√·√µ,2017-10-05,15.9,,
101,√·√µ,2017-10-06,15.8,,
101,√·√µ,2017-10-07,19.8,,
101,√·√µ,2017-10-08,20.9,,
101,√·√µ,2017-10-09,20.3,,
101,√·√µ,2017-10-10,18.9,,
101,√·√µ,2017-10-11,15.4,,
101,√·√µ,2017-10-12,12.1,,
101,√·√µ,2017-10-13,11.3,,
101,√·√µ,2017-10-14,11.1,,
101,√·√µ,2017-10-15,12.9,,
101,√·√µ,2017-10-16,14.5,,
101,√·√µ,2017-10-17,13.6,,
101,√·√µ,2017-10-18,13.9,,
101,√·√µ,2017-10-19,14.7,,
101,√·√µ,2017-10-20,13.3,,
101,√·√µ,2017-10-21,13.4,,
101,√·√µ,2017-10-22,12.3,,
101,√·√µ,2017-10-23,11.8,,
101,√·√µ,2017-10-24,10.3,,
101,√·√µ,2017-10-25,10.1,,
101,√·√µ,2017-10-26,11.3,,
101,√·√µ,2017-10-27,13.6,,
101,√·√µ,2017-10-28,12.9,,
101,√·√µ,2017-10-29,10.3,,
101,√·√µ,2017-10-30,5.4,,
101,√·√µ,2017-10-31,6.7,,
101,√·√µ,2017-11-01,11.0,,
101,√·√µ,2017-11-02,12.9,,
101,√·√µ,2017-11-03,12.8,,
101,√·√µ,2017-11-04,7.4,,
101,√·√µ,2017-11-05,5.2,,
101,√·√µ,2017-11-06,8.2,,
101,√·√µ,2017-11-07,10.7,,
101,√·√µ,2017-11-08,11.7,,
101,√·√µ,2017-11-09,6.4,,
101,√·√µ,2017-11-10,7.1,,
101,√·√µ,2017-11-11,4.6,,
101,√·√µ,2017-11-12,2.8,,
101,√·√µ,2017-11-13,4.7,,
101,√·√µ,2017-11-14,5.6,,
101,√·√µ,2017-11-15,1.9,,
101,√·√µ,2017-11-16,-1.0,,
101,√·√µ,2017-11-17,-0.2,,
101,√·√µ,2017-11-18,-1.0,,
101,√·√µ,2017-11-19,-2.2,,
101,√·√µ,2017-11-20,-2.6,,
101,√·√µ,2017-11-21,-1.0,,
101,√·√µ,2017-11-22,1.4,,
101,√·√µ,2017-11-23,-1.1,,
101,√·√µ,2017-11-24,-1.4,,
101,√·√µ,2017-11-25,-1.0,,
101,√·√µ,2017-11-26,1.6,,
101,√·√µ,2017-11-27,-0.3,,
101,√·√µ,2017-11-28,3.4,,
101,√·√µ,2017-11-29,4.6,,
101,√·√µ,2017-11-30,-1.0,,
101,√·√µ,2017-12-01,-3.6,,
101,√·√µ,2017-12-02,-1.5,,
101,√·√µ,2017-12-03,2.5,,
101,√·√µ,2017-12-04,0.1,,
101,√·√µ,2017-12-05,-5.2,,
101,√·√µ,2017-12-06,-1.8,,
101,√·√µ,2017-12-07,0.6,,
101,√·√µ,2017-12-08,-4.2,,
101,√·√µ,2017-12-09,-3.4,,
101,√·√µ,2017-12-10,-0.9,,
101,√·√µ,2017-12-11,-7.4,,
101,√·√µ,2017-12-12,-11.6,,
101,√·√µ,2017-12-13,-11.5,,
101,√·√µ,2017-12-14,-9.5,,
101,√·√µ,2017-12-15,-6.5,,
101,√·√µ,2017-12-16,-5.8,,
101,√·√µ,2017-12-17,-9.7,,
101,√·√µ,2017-12-18,-5.4,,
101,√·√µ,2017-12-19,-6.2,,
101,√·√µ,2017-12-20,-6.6,,
101,√·√µ,2017-12-21,-3.3,,
101,√·√µ,2017-12-22,-0.6,,
101,√·√µ,2017-12-23,2.7,,
101,√·√µ,2017-12-24,1.2,,
101,√·√µ,2017-12-25,-2.6,,
101,√·√µ,2017-12-26,-5.3,,
101,√·√µ,2017-12-27,-8.8,,
101,√·√µ,2017-12-28,-6.4,,
101,√·√µ,2017-12-29,-0.3,,
101,√·√µ,2017-12-30,-0.5,,
101,√·√µ,2017-12-31,-0.2,,
101,√·√µ,2018-01-01,-4.5,,
101,√·√µ,2018-01-02,-3.5,,
101,√·√µ,2018-01-03,-5.6,,
101,√·√µ,2018-01-04,-6.1,,
101,√·√µ,2018-01-05,-4.2,,
101,√·√µ,2018-01-06,-5.7,,
101,√·√µ,2018-01-07,-4.0,,
101,√·√µ,2018-01-08,0.6,,
101,√·√µ,2018-01-09,-4.1,,
101,√·√µ,2018-01-10,-8.5,,
101,√·√µ,2018-01-11,-11.3,,
101,√·√µ,2018-01-12,-12.2,,
101,√·√µ,2018-01-13,-8.1,,
101,√·√µ,2018-01-14,-3.1,,
101,√·√µ,2018-01-15,3.6,,
101,√·√µ,2018-01-16,0.7,,
101,√·√µ,2018-01-17,3.6,,
101,√·√µ,2018-01-18,1.2,,
101,√·√µ,2018-01-19,-0.9,,
101,√·√µ,2018-01-20,-0.9,,
101,√·√µ,2018-01-21,-2.2,,
101,√·√µ,2018-01-22,-0.9,,
101,√·√µ,2018-01-23,-10.5,,
101,√·√µ,2018-01-24,-14.3,,
101,√·√µ,2018-01-25,-14.8,,
101,√·√µ,2018-01-26,-15.7,,
101,√·√µ,2018-01-27,-12.5,,
101,√·√µ,2018-01-28,-6.2,,
101,√·√µ,2018-01-29,-10.1,,
101,√·√µ,2018-01-30,-7.8,,
101,√·√µ,2018-01-31,-3.5,,
101,√·√µ,2018-02-01,-6.4,,
101,√·√µ,2018-02-02,-5.5,,
101,√·√µ,2018-02-03,-6.7,,
101,√·√µ,2018-02-04,-10.8,,
101,√·√µ,2018-02-05,-10.9,,
101,√·√µ,2018-02-06,-11.6,,
101,√·√µ,2018-02-07,-10.6,,
101,√·√µ,2018-02-08,-7.6,,
101,√·√µ,2018-02-09,-4.3,,
101,√·√µ,2018-02-10,-1.1,,
101,√·√µ,2018-02-11,-5.6,,
101,√·√µ,2018-02-12,-5.7,,
101,√·√µ,2018-02-13,-2.3,,
101,√·√µ,2018-02-14,3.6,,
101,√·√µ,2018-02-15,-0.5,,
101,√·√µ,2018-02-16,-1.7,,
101,√·√µ,2018-02-17,-2.1,,
101,√·√µ,2018-02-18,-0.9,,
101,√·√µ,2018-02-19,-0.5,,
101,√·√µ,2018-02-20,-0.6,,
101,√·√µ,2018-02-21,-2.5,,
101,√·√µ,2018-02-22,-0.4,,
101,√·√µ,2018-02-23,1.9,,
101,√·√µ,2018-02-24,2.4,,
101,√·√µ,2018-02-25,1.5,,
101,√·√µ,2018-02-26,1.3,,
101,√·√µ,2018-02-27,0.6,,
101,√·√µ,2018-02-28,3.0,,
101,√·√µ,2018-03-01,1.1,,
101,√·√µ,2018-03-02,-1.5,,
101,√·√µ,2018-03-03,6.5,,
101,√·√µ,2018-03-04,8.5,,
101,√·√µ,2018-03-05,2.9,,
101,√·√µ,2018-03-06,2.4,,
101,√·√µ,2018-03-07,4.6,,
101,√·√µ,2018-03-08,4.9,,
101,√·√µ,2018-03-09,5.0,,
101,√·√µ,2018-03-10,4.2,,
101,√·√µ,2018-03-11,5.4,,
101,√·√µ,2018-03-12,5.9,,
101,√·√µ,2018-03-13,10.4,,
101,√·√µ,2018-03-14,14.2,,
101,√·√µ,2018-03-15,11.8,,
101,√·√µ,2018-03-16,3.4,,
101,√·√µ,2018-03-17,4.6,,
101,√·√µ,2018-03-18,6.8,,
101,√·√µ,2018-03-19,6.8,,
101,√·√µ,2018-03-20,2.9,,
101,√·√µ,2018-03-21,2.5,,
101,√·√µ,2018-03-22,6.1,,
101,√·√µ,2018-03-23,6.3,,
101,√·√µ,2018-03-24,8.7,,
101,√·√µ,2018-03-25,9.7,,
101,√·√µ,2018-03-26,10.9,,
101,√·√µ,2018-03-27,12.7,,
101,√·√µ,2018-03-28,14.4,,
101,√·√µ,2018-03-29,15.1,,
101,√·√µ,2018-03-30,14.5,,
101,√·√µ,2018-03-31,13.9,,
101,√·√µ,2018-04-01,15.0,,
101,√·√µ,2018-04-02,18.6,,
101,√·√µ,2018-04-03,18.3,,
101,√·√µ,2018-04-04,9.8,,
101,√·√µ,2018-04-05,6.3,,
101,√·√µ,2018-04-06,6.6,,
101,√·√µ,2018-04-07,4.6,,
101,√·√µ,2018-04-08,2.4,,
101,√·√µ,2018-04-09,6.1,,
101,√·√µ,2018-04-10,13.2,,
101,√·√µ,2018-04-11,13.8,,
101,√·√µ,2018-04-12,12.5,,
101,√·√µ,2018-04-13,12.8,,
101,√·√µ,2018-04-14,9.2,,
101,√·√µ,2018-04-15,9.9,,
101,√·√µ,2018-04-16,10.7,,
101,√·√µ,2018-04-17,12.4,,
101,√·√µ,2018-04-18,13.2,,
101,√·√µ,2018-04-19,14.7,,
101,√·√µ,2018-04-20,17.9,,
101,√·√µ,2018-04-21,18.4,,
101,√·√µ,2018-04-22,13.9,,
101,√·√µ,2018-04-23,9.0,,
101,√·√µ,2018-04-24,10.4,,
101,√·√µ,2018-04-25,12.4,,
101,√·√µ,2018-04-26,15.4,,
101,√·√µ,2018-04-27,15.7,,
101,√·√µ,2018-04-28,16.1,,
101,√·√µ,2018-04-29,15.9,,
101,√·√µ,2018-04-30,18.2,,
101,√·√µ,2018-05-01,19.7,,
101,√·√µ,2018-05-02,13.4,,
101,√·√µ,2018-05-03,9.2,,
101,√·√µ,2018-05-04,13.7,,
101,√·√µ,2018-05-05,18.7,,
101,√·√µ,2018-05-06,16.1,,
101,√·√µ,2018-05-07,17.6,,
101,√·√µ,2018-05-08,15.0,,
101,√·√µ,2018-05-09,13.6,,
101,√·√µ,2018-05-10,15.8,,
101,√·√µ,2018-05-11,16.4,,
101,√·√µ,2018-05-12,13.3,,
101,√·√µ,2018-05-13,17.6,,
101,√·√µ,2018-05-14,18.7,,
101,√·√µ,2018-05-15,22.2,,
101,√·√µ,2018-05-16,21.3,,
101,√·√µ,2018-05-17,20.2,,
101,√·√µ,2018-05-18,13.7,,
101,√·√µ,2018-05-19,15.5,,
101,√·√µ,2018-05-20,15.4,,
101,√·√µ,2018-05-21,17.0,,
101,√·√µ,2018-05-22,17.7,,
101,√·√µ,2018-05-23,18.9,,
101,√·√µ,2018-05-24,18.6,,
101,√·√µ,2018-05-25,19.5,,
101,√·√µ,2018-05-26,21.3,,
101,√·√µ,2018-05-27,20.8,,
101,√·√µ,2018-05-28,21.5,,
101,√·√µ,2018-05-29,22.9,,
101,√·√µ,2018-05-30,21.7,,
101,√·√µ,2018-05-31,21.1,,
101,√·√µ,2018-06-01,23.5,,
101,√·√µ,2018-06-02,24.0,,
101,√·√µ,2018-06-03,22.4,,
101,√·√µ,2018-06-04,22.1,,
101,√·√µ,2018-06-05,23.7,,
101,√·√µ,2018-06-06,24.0,,
101,√·√µ,2018-06-07,24.1,,
101,√·√µ,2018-06-08,22.9,,
101,√·√µ,2018-06-09,22.1,,
101,√·√µ,2018-06-10,20.2,,
101,√·√µ,2018-06-11,19.9,,
101,√·√µ,2018-06-12,21.5,,
101,√·√µ,2018-06-13,21.7,,
101,√·√µ,2018-06-14,20.1,,
101,√·√µ,2018-06-15,19.6,,
101,√·√µ,2018-06-16,21.2,,
101,√·√µ,2018-06-17,22.3,,
101,√·√µ,2018-06-18,24.4,,
101,√·√µ,2018-06-19,23.0,,
101,√·√µ,2018-06-20,24.4,,
101,√·√µ,2018-06-21,23.8,,
101,√·√µ,2018-06-22,25.1,,
101,√·√µ,2018-06-23,24.7,,
101,√·√µ,2018-06-24,26.4,,
101,√·√µ,2018-06-25,26.5,,
101,√·√µ,2018-06-26,22.4,,
101,√·√µ,2018-06-27,23.7,,
101,√·√µ,2018-06-28,23.6,,
101,√·√µ,2018-06-29,24.5,,
101,√·√µ,2018-06-30,24.8,,
101,√·√µ,2018-07-01,22.1,,
101,√·√µ,2018-07-02,21.8,,
101,√·√µ,2018-07-03,25.6,,
101,√·√µ,2018-07-04,26.5,,
101,√·√µ,2018-07-05,23.6,,
101,√·√µ,2018-07-06,21.9,,
101,√·√µ,2018-07-07,20.4,,
101,√·√µ,2018-07-08,20.7,,
101,√·√µ,2018-07-09,19.6,,
101,√·√µ,2018-07-10,22.0,,
101,√·√µ,2018-07-11,25.2,,
101,√·√µ,2018-07-12,26.6,,
101,√·√µ,2018-07-13,26.9,,
101,√·√µ,2018-07-14,27.5,,
101,√·√µ,2018-07-15,27.8,,
101,√·√µ,2018-07-16,27.8,,
101,√·√µ,2018-07-17,27.3,,
101,√·√µ,2018-07-18,27.5,,
101,√·√µ,2018-07-19,28.1,,
101,√·√µ,2018-07-20,28.2,,
101,√·√µ,2018-07-21,28.8,,
101,√·√µ,2018-07-22,29.1,,
101,√·√µ,2018-07-23,29.8,,
101,√·√µ,2018-07-24,31.0,,
101,√·√µ,2018-07-25,30.3,,
101,√·√µ,2018-07-26,29.9,,
101,√·√µ,2018-07-27,30.7,,
101,√·√µ,2018-07-28,30.6,,
101,√·√µ,2018-07-29,29.8,,
101,√·√µ,2018-07-30,30.1,,
101,√·√µ,2018-07-31,29.8,,
101,√·√µ,2018-08-01,31.5,,
101,√·√µ,2018-08-02,32.2,,
101,√·√µ,2018-08-03,32.8,,
101,√·√µ,2018-08-04,31.6,,
101,√·√µ,2018-08-05,30.2,,
101,√·√µ,2018-08-06,29.5,,
101,√·√µ,2018-08-07,29.6,,
101,√·√µ,2018-08-08,28.8,,
101,√·√µ,2018-08-09,27.8,,
101,√·√µ,2018-08-10,28.7,,
101,√·√µ,2018-08-11,28.7,,
101,√·√µ,2018-08-12,28.9,,
101,√·√µ,2018-08-13,29.7,,
101,√·√µ,2018-08-14,30.5,,
101,√·√µ,2018-08-15,28.8,,
101,√·√µ,2018-08-16,26.1,,
101,√·√µ,2018-08-17,23.5,,
101,√·√µ,2018-08-18,23.5,,
101,√·√µ,2018-08-19,25.2,,
101,√·√µ,2018-08-20,27.0,,
101,√·√µ,2018-08-21,26.7,,
101,√·√µ,2018-08-22,28.4,,
101,√·√µ,2018-08-23,27.4,,
101,√·√µ,2018-08-24,24.1,,
101,√·√µ,2018-08-25,24.9,,
101,√·√µ,2018-08-26,22.9,,
101,√·√µ,2018-08-27,22.2,,
101,√·√µ,2018-08-28,23.9,,
101,√·√µ,2018-08-29,21.9,,
101,√·√µ,2018-08-30,25.1,,
101,√·√µ,2018-08-31,24.6,,
101,√·√µ,2018-09-01,23.4,,
101,√·√µ,2018-09-02,22.5,,
101,√·√µ,2018-09-03,22.5,,
101,√·√µ,2018-09-04,23.1,,
101,√·√µ,2018-09-05,22.9,,
101,√·√µ,2018-09-06,21.2,,
101,√·√µ,2018-09-07,21.3,,
101,√·√µ,2018-09-08,18.9,,
101,√·√µ,2018-09-09,19.9,,
101,√·√µ,2018-09-10,19.7,,
101,√·√µ,2018-09-11,18.8,,
101,√·√µ,2018-09-12,20.2,,
101,√·√µ,2018-09-13,20.6,,
101,√·√µ,2018-09-14,21.6,,
101,√·√µ,2018-09-15,22.6,,
101,√·√µ,2018-09-16,22.5,,
101,√·√µ,2018-09-17,21.7,,
101,√·√µ,2018-09-18,20.0,,
101,√·√µ,2018-09-19,19.8,,
101,√·√µ,2018-09-20,18.2,,
101,√·√µ,2018-09-21,18.5,,
101,√·√µ,2018-09-22,19.9,,
101,√·√µ,2018-09-23,16.7,,
101,√·√µ,2018-09-24,15.3,,
101,√·√µ,2018-09-25,15.4,,
101,√·√µ,2018-09-26,16.8,,
101,√·√µ,2018-09-27,15.7,,
101,√·√µ,2018-09-28,14.4,,
101,√·√µ,2018-09-29,17.5,,
101,√·√µ,2018-09-30,16.5,,
101,√·√µ,2018-10-01,13.7,,
101,√·√µ,2018-10-02,13.4,,
101,√·√µ,2018-10-03,14.2,,
101,√·√µ,2018-10-04,16.8,,
101,√·√µ,2018-10-05,15.8,,
101,√·√µ,2018-10-06,17.4,,
101,√·√µ,2018-10-07,15.8,,
101,√·√µ,2018-10-08,11.9,,
101,√·√µ,2018-10-09,12.9,,
101,√·√µ,2018-10-10,11.7,,
101,√·√µ,2018-10-11,7.8,,
